"","WS_c1.which.mclass....7...1."
"682","AT1G56045"
"683","AT1G56200"
"684","AT1G56460"
"685","AT1G56550"
"686","AT1G56560"
"687","AT1G57590"
"688","AT1G57610"
"689","AT1G57620"
"690","AT1G57820"
"691","AT1G57860"
"692","AT1G57870"
"693","AT1G58060"
"694","AT1G58100"
"695","AT1G58200"
"696","AT1G58280"
"697","AT1G58350"
"698","AT1G59520"
"699","AT1G59650"
"700","AT1G59820"
"701","AT1G59830"
"702","AT1G60095"
"703","AT1G60220"
"704","AT1G60270"
"705","AT1G60390"
"706","AT1G60640"
"707","AT1G60730"
"708","AT1G60800"
"709","AT1G60850"
"710","AT1G60860"
"711","AT1G60890"
"712","AT1G60940"
"713","AT1G60950"
"714","AT1G60995"
"715","AT1G61010"
"716","AT1G61040"
"717","AT1G61140"
"718","AT1G61150"
"719","AT1G61210"
"720","AT1G61350"
"721","AT1G61360"
"722","AT1G61430"
"723","AT1G61560"
"724","AT1G61590"
"725","AT1G61620"
"726","AT1G61660"
"727","AT1G61667"
"728","AT1G61690"
"729","AT1G61730"
"730","AT1G61770"
"731","AT1G61820"
"732","AT1G61870"
"733","AT1G62200"
"734","AT1G62330"
"735","AT1G62430"
"736","AT1G62500"
"737","AT1G62560"
"738","AT1G62640"
"739","AT1G62710"
"740","AT1G62750"
"741","AT1G62830"
"742","AT1G62870"
"743","AT1G62960"
"744","AT1G62970"
"745","AT1G62975"
"746","AT1G62980"
"747","AT1G63090"
"748","AT1G63100"
"749","AT1G63110"
"750","AT1G63170"
"751","AT1G63220"
"752","AT1G63290"
"753","AT1G63300"
"754","AT1G63430"
"755","AT1G63440"
"756","AT1G63460"
"757","AT1G63490"
"758","AT1G63500"
"759","AT1G63640"
"760","AT1G63720"
"761","AT1G63780"
"762","AT1G63800"
"763","AT1G63830"
"764","AT1G64050"
"765","AT1G64170"
"766","AT1G64280"
"767","AT1G64330"
"768","AT1G64385"
"769","AT1G64440"
"770","AT1G64570"
"771","AT1G64610"
"772","AT1G64640"
"773","AT1G64750"
"774","AT1G64760"
"775","AT1G64980"
"776","AT1G64990"
"777","AT1G65020"
"778","AT1G65060"
"779","AT1G65260"
"780","AT1G65310"
"781","AT1G65430"
"782","AT1G65540"
"783","AT1G65590"
"784","AT1G65610"
"785","AT1G65650"
"786","AT1G65660"
"787","AT1G66070"
"788","AT1G66140"
"789","AT1G66260"
"790","AT1G66340"
"791","AT1G66350"
"792","AT1G66430"
"793","AT1G66500"
"794","AT1G66530"
"795","AT1G66670"
"796","AT1G66760"
"797","AT1G67030"
"798","AT1G67060"
"799","AT1G67080"
"800","AT1G67110"
"801","AT1G67250"
"802","AT1G67280"
"803","AT1G67300"
"804","AT1G67325"
"805","AT1G67340"
"806","AT1G67360"
"807","AT1G67490"
"808","AT1G67500"
"809","AT1G67510"
"810","AT1G67530"
"811","AT1G67550"
"812","AT1G67580"
"813","AT1G67720"
"814","AT1G67800"
"815","AT1G67890"
"816","AT1G67900"
"817","AT1G67930"
"818","AT1G68000"
"819","AT1G68020"
"820","AT1G68070"
"821","AT1G68100"
"822","AT1G68220"
"823","AT1G68370"
"824","AT1G68490"
"825","AT1G68550"
"826","AT1G68580"
"827","AT1G68670"
"828","AT1G68710"
"829","AT1G68740"
"830","AT1G68810"
"831","AT1G68820"
"832","AT1G68830"
"833","AT1G68850"
"834","AT1G68880"
"835","AT1G68920"
"836","AT1G68990"
"837","AT1G69030"
"838","AT1G69040"
"839","AT1G69220"
"840","AT1G69250"
"841","AT1G69252"
"842","AT1G69295"
"843","AT1G69640"
"844","AT1G69670"
"845","AT1G69740"
"846","AT1G69770"
"847","AT1G69780"
"848","AT1G69830"
"849","AT1G69840"
"850","AT1G69980"
"851","AT1G70060"
"852","AT1G70080"
"853","AT1G70170"
"854","AT1G70180"
"855","AT1G70190"
"856","AT1G70210"
"857","AT1G70230"
"858","AT1G70280"
"859","AT1G70290"
"860","AT1G70340"
"861","AT1G70480"
"862","AT1G70520"
"863","AT1G70530"
"864","AT1G70570"
"865","AT1G70580"
"866","AT1G70660"
"867","AT1G70700"
"868","AT1G70740"
"869","AT1G70750"
"870","AT1G70890"
"871","AT1G70900"
"872","AT1G71020"
"873","AT1G71070"
"874","AT1G71080"
"875","AT1G71090"
"876","AT1G71200"
"877","AT1G71210"
"878","AT1G71260"
"879","AT1G71340"
"880","AT1G71350"
"881","AT1G71440"
"882","AT1G71696"
"883","AT1G71697"
"884","AT1G71780"
"885","AT1G71800"
"886","AT1G71830"
"887","AT1G71840"
"888","AT1G71900"
"889","AT1G72010"
"890","AT1G72040"
"891","AT1G72050"
"892","AT1G72090"
"893","AT1G72140"
"894","AT1G72180"
"895","AT1G72200"
"896","AT1G72230"
"897","AT1G72250"
"898","AT1G72300"
"899","AT1G72310"
"900","AT1G72390"
"901","AT1G72430"
"902","AT1G72470"
"903","AT1G72480"
"904","AT1G72560"
"905","AT1G72650"
"906","AT1G72730"
"907","AT1G72740"
"908","AT1G72770"
"909","AT1G72810"
"910","AT1G72820"
"911","AT1G72830"
"912","AT1G72880"
"913","AT1G73010"
"914","AT1G73100"
"915","AT1G73170"
"916","AT1G73200"
"917","AT1G73250"
"918","AT1G73460"
"919","AT1G73620"
"920","AT1G73650"
"921","AT1G73670"
"922","AT1G73720"
"923","AT1G73840"
"924","AT1G73880"
"925","AT1G73930"
"926","AT1G73980"
"927","AT1G73990"
"928","AT1G74160"
"929","AT1G74210"
"930","AT1G74250"
"931","AT1G74310"
"932","AT1G74520"
"933","AT1G74740"
"934","AT1G74770"
"935","AT1G74790"
"936","AT1G74800"
"937","AT1G75130"
"938","AT1G75140"
"939","AT1G75170"
"940","AT1G75180"
"941","AT1G75200"
"942","AT1G75210"
"943","AT1G75310"
