"","X","WS_c1.which.mclass....3...1."
"1745",1745,"AT3G04370"
"2162",2162,"AT3G43920"
"1646",1646,"AT2G46210"
"3359",3359,"AT5G18250"
"2355",2355,"AT3G57430"
"2761",2761,"AT4G21750"
"1784",1784,"AT3G06355"
"1095",1095,"AT2G02148"
"60",60,"AT1G04610"
"1146",1146,"AT2G07850"
"779",779,"AT1G63330"
"2509",2509,"AT4G03410"
"699",699,"AT1G58420"
"3523",3523,"AT5G37680"
"3297",3297,"AT5G14285"
"3845",3845,"AT5G58990"
"3806",3806,"AT5G56020"
"3350",3350,"AT5G17680"
"1269",1269,"AT2G22370"
"3296",3296,"AT5G14140"
"1287",1287,"AT2G23130"
"726",726,"AT1G60989"
"238",238,"AT1G13520"
"3838",3838,"AT5G58600"
"3915",3915,"AT5G64010"
"1074",1074,"AT1G80940"
"3211",3211,"AT5G07800"
"159",159,"AT1G09627"
"429",429,"AT1G27420"
"3486",3486,"AT5G27110"
"653",653,"AT1G55080"
"980",980,"AT1G74730"
"3261",3261,"AT5G11160"
"2614",2614,"AT4G13870"
"3646",3646,"AT5G45650"
"1055",1055,"AT1G79890"
"2936",2936,"AT4G32175"
"2666",2666,"AT4G16444"
"3967",3967,"AT5G66790"
"1938",1938,"AT3G15390"
"378",378,"AT1G22740"
"949",949,"AT1G73400"
"3294",3294,"AT5G13910"
"1885",1885,"AT3G12690"
"320",320,"AT1G18030"
"1718",1718,"AT3G02980"
"2806",2806,"AT4G24310"
"3504",3504,"AT5G28750"
"3255",3255,"AT5G10800"
"1509",1509,"AT2G37700"
"905",905,"AT1G70810"
"488",488,"AT1G31814"
"3815",3815,"AT5G56780"
"197",197,"AT1G11175"
"1115",1115,"AT2G03720"
"2991",2991,"AT4G35900"
"3447",3447,"AT5G24160"
"3624",3624,"AT5G44150"
"1927",1927,"AT3G14750"
"3592",3592,"AT5G42370"
"1676",1676,"AT2G48090"
"921",921,"AT1G71865"
"1503",1503,"AT2G37530"
"1576",1576,"AT2G41880"
"1231",1231,"AT2G19900"
"1286",1286,"AT2G23100"
"2493",2493,"AT4G02405"
"1773",1773,"AT3G05800"
"973",973,"AT1G74440"
"3970",3970,"AT5G66960"
"1794",1794,"AT3G06890"
"3553",3553,"AT5G40090"
"3212",3212,"AT5G07900"
"1620",1620,"AT2G44580"
"2441",2441,"AT3G62910"
"592",592,"AT1G51260"
"3215",3215,"AT5G08270"
"2137",2137,"AT3G28540"
"2205",2205,"AT3G47450"
"3072",3072,"AT5G01490"
"1778",1778,"AT3G06020"
"3002",3002,"AT4G36650"
"3238",3238,"AT5G09790"
"1075",1075,"AT2G01090"
"2132",2132,"AT3G28360"
"3093",3093,"AT5G02140"
"185",185,"AT1G10530"
"205",205,"AT1G11460"
"2295",2295,"AT3G52790"
"2193",2193,"AT3G46780"
"1273",1273,"AT2G22650"
"1965",1965,"AT3G17611"
"246",246,"AT1G13780"
"2109",2109,"AT3G26830"
"2850",2850,"AT4G26810"
"1580",1580,"AT2G42110"
"3990",3990,"ATMG01360"
"3135",3135,"AT5G04000"
"852",852,"AT1G67850"
"1840",1840,"AT3G09275"
"1241",1241,"AT2G20495"
"1697",1697,"AT3G01990"
"2736",2736,"AT4G20090"
"2218",2218,"AT3G48160"
"2428",2428,"AT3G62020"
"1184",1184,"AT2G16586"
"1684",1684,"AT3G01430"
"2444",2444,"AT3G63290"
"353",353,"AT1G20630"
"857",857,"AT1G68130"
"1023",1023,"AT1G78210"
"1311",1311,"AT2G24860"
"1355",1355,"AT2G28460"
"2678",2678,"AT4G16800"
"2422",2422,"AT3G61410"
"1472",1472,"AT2G35710"
"1552",1552,"AT2G40205"
"3969",3969,"AT5G66900"
"500",500,"AT1G32940"
"4",4,"AT1G01225"
"3772",3772,"AT5G53940"
"304",304,"AT1G17480"
"914",914,"AT1G71380"
"518",518,"AT1G34540"
"85",85,"AT1G05640"
"3694",3694,"AT5G48990"
"3275",3275,"AT5G11780"
"126",126,"AT1G07300"
"1252",1252,"AT2G21180"
"803",803,"AT1G64810"
"1254",1254,"AT2G21187"
"2576",2576,"AT4G10960"
"729",729,"AT1G61170"
"333",333,"AT1G19010"
"1920",1920,"AT3G14460"
"548",548,"AT1G47340"
"2712",2712,"AT4G18750"
"2767",2767,"AT4G22110"
"2618",2618,"AT4G14050"
"2207",2207,"AT3G47500"
"3394",3394,"AT5G20140"
"3289",3289,"AT5G13470"
"2590",2590,"AT4G12280"
"559",559,"AT1G48270"
"2338",2338,"AT3G56270"
"142",142,"AT1G08610"
"2075",2075,"AT3G24730"
"117",117,"AT1G06660"
"391",391,"AT1G23460"
"3539",3539,"AT5G38970"
"3444",3444,"AT5G24060"
"3129",3129,"AT5G03720"
"3185",3185,"AT5G06695"
"3853",3853,"AT5G59470"
"2383",2383,"AT3G59390"
"831",831,"AT1G66660"
"1309",1309,"AT2G24592"
"6",6,"AT1G01453"
"1080",1080,"AT2G01400"
"3789",3789,"AT5G55170"
"753",753,"AT1G62050"
"2238",2238,"AT3G49370"
"981",981,"AT1G74830"
"2646",2646,"AT4G15330"
"1818",1818,"AT3G07960"
"255",255,"AT1G14185"
"110",110,"AT1G06440"
"1345",1345,"AT2G27690"
"2506",2506,"AT4G03250"
"2959",2959,"AT4G33460"
"2009",2009,"AT3G20040"
"1661",1661,"AT2G47230"
"2010",2010,"AT3G20070"
"2457",2457,"AT4G00380"
"2480",2480,"AT4G01710"
"986",986,"AT1G75100"
"2670",2670,"AT4G16540"
"2819",2819,"AT4G25050"
"846",846,"AT1G67650"
"152",152,"AT1G09195"
"1688",1688,"AT3G01510"
"691",691,"AT1G57560"
"3089",3089,"AT5G02065"
"1528",1528,"AT2G38540"
"53",53,"AT1G04420"
"2437",2437,"AT3G62620"
"1952",1952,"AT3G16440"
"441",441,"AT1G28530"
"704",704,"AT1G58936"
"461",461,"AT1G29710"
"784",784,"AT1G63820"
"2964",2964,"AT4G33800"
"511",511,"AT1G33770"
"1077",1077,"AT2G01290"
