"","X","phyD_FLT_c1.which.mclass....2...1."
"2817",2817,"AT5G16600"
"2922",2922,"AT5G25070"
"2163",2163,"AT4G10710"
"30",30,"AT1G02920"
"2503",2503,"AT4G35060"
"844",844,"AT1G79430"
"608",608,"AT1G60810"
"1267",1267,"AT2G39420"
"1080",1080,"AT2G24240"
"1314",1314,"AT2G42240"
"347",347,"AT1G26340"
"2617",2617,"AT5G03560"
"68",68,"AT1G05070"
"2288",2288,"AT4G20330"
"1626",1626,"AT3G14830"
"2828",2828,"AT5G17440"
"3002",3002,"AT5G40240"
"3319",3319,"AT5G63880"
"919",919,"AT2G05230"
"1018",1018,"AT2G19572"
"1033",1033,"AT2G20670"
"252",252,"AT1G17970"
"1008",1008,"AT2G18990"
"2958",2958,"AT5G30510"
"1480",1480,"AT3G06125"
"579",579,"AT1G56190"
"31",31,"AT1G02930"
"619",619,"AT1G61990"
"3075",3075,"AT5G46710"
"66",66,"AT1G04970"
"1081",1081,"AT2G24280"
"976",976,"AT2G17350"
"908",908,"AT2G03780"
"1105",1105,"AT2G26760"
"2841",2841,"AT5G18540"
"2502",2502,"AT4G35050"
"943",943,"AT2G14825"
"1475",1475,"AT3G05937"
"1598",1598,"AT3G13224"
"1595",1595,"AT3G13160"
"1096",1096,"AT2G26110"
"423",423,"AT1G31935"
"1160",1160,"AT2G31060"
"164",164,"AT1G10720"
"3208",3208,"AT5G56890"
"518",518,"AT1G50940"
"3219",3219,"AT5G57300"
"1467",1467,"AT3G05250"
"222",222,"AT1G15440"
"1260",1260,"AT2G39080"
"998",998,"AT2G18630"
"323",323,"AT1G23780"
"2095",2095,"AT4G02030"
"1378",1378,"AT2G47490"
"77",77,"AT1G05340"
"499",499,"AT1G48950"
"1360",1360,"AT2G45730"
"2942",2942,"AT5G26860"
"1316",1316,"AT2G42490"
"1128",1128,"AT2G28060"
"2768",2768,"AT5G13240"
"2587",2587,"AT5G01450"
"2921",2921,"AT5G25060"
"1051",1051,"AT2G21970"
"300",300,"AT1G22070"
"1384",1384,"AT2G47850"
"1271",1271,"AT2G39518"
"1243",1243,"AT2G38280"
"978",978,"AT2G17410"
"87",87,"AT1G05785"
"734",734,"AT1G71400"
"960",960,"AT2G16530"
"1785",1785,"AT3G27200"
"1970",1970,"AT3G55960"
"688",688,"AT1G68440"
"308",308,"AT1G22790"
"2014",2014,"AT3G59800"
"2264",2264,"AT4G18760"
"384",384,"AT1G28420"
"1149",1149,"AT2G29510"
"2130",2130,"AT4G05400"
"602",602,"AT1G60170"
"1585",1585,"AT3G12710"
"1494",1494,"AT3G06930"
"1093",1093,"AT2G25730"
"495",495,"AT1G48635"
"1421",1421,"AT3G02750"
"144",144,"AT1G09290"
"484",484,"AT1G48110"
"1693",1693,"AT3G19490"
"924",924,"AT2G06025"
"972",972,"AT2G17265"
"609",609,"AT1G60850"
"2478",2478,"AT4G33625"
"3349",3349,"AT5G65495"
"2123",2123,"AT4G04925"
