RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G19350,759.4438058,855.0012307,785.0987193,852.6874797,674.2962506,659.7147681,714.1919845,745.3146365,766.2829212,693.8955186,710.3262677,857.1239716
AT1G19360,949.2408616,933.5766261,865.7182805,1207.248388,719.8008808,586.7507953,772.189014,803.3426255,755.4110443,631.4146574,334.0764221,605.2872399
AT1G19400,393.3120639,417.6815856,807.2622791,388.0148478,175.5512561,418.2209887,333.589915,298.7196487,284.6072189,138.2264674,208.1385352,279.9214449
AT1G19770,172.5179605,184.9978836,492.2159385,116.1326549,86.72586451,774.9924493,234.7990671,107.6163555,170.2573734,70.48087065,78.49242756,124.8951969
AT1G19870,693.466588,570.1510118,658.083099,554.8313441,552.8068895,498.5405443,842.2825517,623.5022908,390.2174734,650.235518,514.5066285,675.6202448
AT1G19920,530.7417736,453.7638519,374.1012077,533.260369,605.6409153,319.460753,623.1506417,604.4432536,429.032613,648.3837076,407.1106434,481.0708429
AT1G20100,659.6150964,781.9409401,761.6397193,694.4079661,812.2918896,887.224698,699.8209794,835.1684024,760.1686641,756.2548007,850.8058805,920.721671
AT1G20160,877.0025092,1795.939709,943.197849,544.1760085,64.39997688,575.3681006,835.2439566,321.4448745,282.6775744,586.88072,50.57539634,616.2361104
AT1G20190,494.7745268,439.1136313,479.2707442,561.6717194,406.5107949,619.1219987,315.5805207,855.9910591,471.5565662,358.772693,64.99781615,250.1636803
AT1G20200,945.3972698,737.8109515,685.0462562,862.1812087,861.0685634,636.9423955,931.6114702,843.4250098,835.8564579,788.4050826,696.3900195,549.2073228
AT1G20220,820.411763,552.9757597,549.7239317,717.8381993,651.4286427,635.2121531,741.1987255,297.8658702,422.1157405,675.5151861,744.0575238,481.0181173
AT1G20225,251.8715832,234.1587917,357.6681811,334.1927602,137.186381,381.915614,304.6159102,477.4812921,511.1588441,223.1289529,154.9198999,224.9495634
AT1G20260,946.1224758,833.519162,996.0386826,1221.278873,728.6205531,611.1097266,741.2401002,867.7456987,795.9208567,746.9812825,435.7835787,758.7978234
AT1G20430,403.6129202,492.1995274,398.8847811,386.5564096,746.5128624,694.4597407,488.4817897,862.1708431,783.3651484,611.22926,708.3324572,586.0537549
AT1G20450,596.2957598,441.5055897,936.1744872,516.1923081,256.7040318,794.8659223,444.0368603,897.5973159,748.0015376,407.1880049,622.0374143,238.3665644
AT1G20840,646.189361,539.2770511,746.4896541,770.3002345,663.5326788,462.2602457,591.142949,444.7210017,635.8213016,583.5333958,305.447195,496.1319796
AT1G20950,663.4543819,408.5982739,439.7392456,484.3521182,716.4903753,413.9098614,308.8624269,537.8761476,419.8792838,669.952956,512.7063393,552.3422639
AT1G20960,462.9423479,401.6195139,524.8729719,394.8910774,547.6074552,515.1065269,638.9154521,433.8101186,479.2936532,616.7646504,790.5276629,524.5145325
AT1G21000,374.5724429,357.6831899,701.0307853,258.3118605,149.5445269,388.6309004,409.2025759,582.1501735,672.372715,118.6511103,159.5357055,308.4011536
AT1G21090,616.9176066,540.5027125,457.4619753,385.4736626,578.1697361,803.9246745,549.7202312,456.803172,582.6779229,756.7826516,1366.537872,554.2867044
AT1G21190,479.9055589,479.7330144,605.7122278,487.5868027,635.7024289,753.0754527,528.7757769,1010.57396,788.0418678,647.9240558,650.1798402,573.4795963
AT1G21680,320.3507733,494.2003755,880.3149912,413.6775596,121.6525649,467.1241639,311.306038,118.9896134,214.2344546,123.7810004,155.4403099,309.7306902
AT1G21780,372.2398483,446.3784756,598.4728547,438.9309952,276.6329494,837.8577383,487.8901179,658.7809764,689.5151369,359.8850426,395.8228711,449.557467
AT1G21900,431.090268,376.0847013,477.5378012,511.24055,400.0730157,406.4163923,362.9620983,507.388628,535.2395132,306.4677047,185.3583371,320.963708
AT1G21930,248.9973792,287.5708551,373.4577427,284.1444478,397.63654,586.7606087,363.0102593,725.9490447,533.6599576,444.4142651,594.2035876,415.5430591
AT1G22360,748.574697,583.6029783,610.5511601,689.3278137,397.2603236,661.9916076,485.2837849,237.0178141,307.2290351,408.7684287,237.4896316,341.7066667
AT1G22440,465.1849825,429.2234812,573.2726711,700.4714751,260.8173367,422.4841003,326.1011834,383.4232534,296.5097402,170.8261769,174.9530766,416.0213506
AT1G22520,470.6403629,428.7095028,423.5635194,430.9830239,565.1853356,642.7590681,449.0255717,1074.717859,898.5632598,498.0347425,447.9508673,383.4428833
AT1G22530,512.8626779,640.3708704,670.3607291,526.8558689,759.0132878,456.216597,601.8580049,339.8942881,623.9363608,703.9876516,482.1795186,663.1287876
AT1G23190,858.590574,657.1970433,655.9487926,706.9050377,494.6969225,529.0755917,573.8234433,455.0161012,638.1746978,563.2016374,319.7378984,616.3423953
AT1G23280,600.1246825,513.7577597,452.5148371,617.6780577,705.2701411,735.6508516,582.407993,573.7813298,448.1305485,580.1986578,715.1388764,495.4283127
AT1G23400,608.644778,627.7758831,592.855847,567.7261073,865.6346538,890.5621438,647.839631,979.1045855,802.2418255,869.4698584,954.3675469,536.8899271
AT1G23410,607.5615687,600.2443093,517.8004911,526.3391227,875.6535504,821.8526877,579.040842,935.6567287,698.9897093,767.1513959,818.5853887,485.9613452
AT1G23750,451.7110381,396.4994573,406.2673,458.7574069,276.0988319,386.7137603,388.7566512,785.0025652,635.1842918,162.9139333,92.57580368,220.3909256
AT1G23860,510.180231,434.012155,535.2064742,419.9235813,536.8757924,574.8057498,761.4617887,326.6350117,428.970065,440.6803032,803.3795964,630.1167089
AT1G24880,416.1984485,360.0046736,566.2517874,296.8330929,560.6674445,782.2134036,898.116075,1015.843377,794.2247909,580.0098047,1002.952273,990.7401734
AT1G24881,662.9889803,777.0709024,536.79487,507.2781435,600.9888458,77.04910764,880.4749946,561.1638303,518.5760458,741.8072719,706.7238914,633.8071114
AT1G24996,488.3205753,484.2037113,678.0047621,373.5026159,651.0232494,768.7030072,871.2446811,762.77474,845.5526455,737.3401262,1187.458083,1010.410715
AT1G25220,356.8995762,300.8480674,363.2714812,401.0593258,408.9887744,643.0546924,433.1323958,397.9091309,476.4620124,416.8421639,362.7348444,400.1061722
AT1G25280,439.8423978,490.8997755,469.4456003,508.6846328,324.3123737,399.4185359,388.3038624,377.7193702,357.9530053,402.6506278,367.0492893,429.0784957
AT1G25490,709.7645233,558.3534725,619.5006492,633.4050839,643.9178787,410.805516,609.4115603,604.9008467,566.0394951,532.4738802,618.0124527,594.6579366
AT1G25530,224.6022641,418.1260182,175.7060676,146.2518168,391.898853,162.1834464,328.714352,179.4433926,245.6751591,360.2761976,349.9028635,802.1045224
AT1G25550,658.6470267,533.163131,649.4389663,705.9204104,341.4458952,712.6757041,457.7665033,502.2671526,557.3675699,406.1605053,405.1339812,517.5754558
AT1G26270,606.1768206,514.3135531,566.9189928,718.1962078,498.6949678,436.1496822,725.1262057,407.5468219,329.9271552,333.2752282,359.1731558,333.4838301
AT1G26470,529.474655,502.3303783,533.0374473,534.5282058,780.2533297,926.001098,648.0412038,884.9726005,686.1328162,704.4193641,860.4354491,643.6996075
AT1G26665,398.4412712,404.9117476,488.5582627,399.0280564,446.4353814,716.1941304,638.2307264,462.7010049,395.7935676,391.1359939,644.089959,696.2596714
AT1G26670,765.2318708,811.1781679,996.425674,800.1629646,611.8484457,776.2391162,822.7767861,1074.649426,837.6249519,573.8756564,492.0560853,843.2156458
AT1G26750,470.3786256,451.887224,486.9724695,492.6686765,622.1576217,567.2179414,492.5152949,748.0240614,669.7128551,533.6585896,561.9501108,403.3669078
AT1G27000,443.4453392,460.9909758,476.8581627,524.7338753,337.4795442,324.1036158,455.3353316,439.6976259,434.8035157,398.5085307,369.3489253,396.3748728
AT1G27090,849.5858852,835.236809,648.5844493,903.4235783,792.5269766,629.7803143,795.9995521,435.7674187,604.7356207,720.5087217,767.6968806,646.2326032
AT1G27100,157.2479768,101.0330355,323.93036,136.4847808,94.09881139,741.5864328,235.3562266,83.38947635,129.3475892,97.90702913,62.52281539,131.1160324
AT1G27130,853.5153897,783.8094121,775.4916061,706.4953273,870.674945,867.4668178,668.8110506,743.6395424,982.7634105,824.9830218,624.1301482,812.2841724
AT1G27300,509.6935011,431.7301892,594.7351681,472.5905891,401.4835003,847.3325166,586.0143417,633.7924573,504.6498284,343.2699834,473.5692973,545.8450076
AT1G27435,488.1942565,604.6244253,499.8533641,524.7153795,815.2473959,794.513915,589.3831699,839.2750657,977.9510773,827.2118756,739.429842,612.7344871
AT1G28250,316.1936337,330.3771348,453.7460956,370.3002806,399.5537042,527.9898229,474.0325802,678.7815817,574.5483313,392.4899378,431.9112807,436.3382945
