Gene,TotalEvidenceCounts,EvidenceHit:WS_c1_which_mclass____4___1_,EvidenceGO:WS_c1_which_mclass____4___1_,EvidencePPI:WS_c1_which_mclass____4___1_
821060,2.0,1,0,1
832773,2.0,1,0,1
844381,2.0,1,0,1
814670,2.0,1,0,1
828132,2.0,1,1,0
831791,2.0,1,1,0
826814,2.0,1,0,1
837509,2.0,1,1,0
834893,2.0,1,0,1
820875,2.0,1,1,0
844417,2.0,1,0,1
836673,2.0,1,0,1
834077,2.0,1,0,1
836753,2.0,1,1,0
827925,2.0,1,1,0
830920,2.0,1,1,0
829062,2.0,1,0,1
839248,2.0,1,1,0
832074,2.0,1,1,0
835623,2.0,1,1,0
830362,2.0,1,0,1
826597,2.0,1,1,0
814701,2.0,1,1,0
827012,2.0,1,1,0
826967,2.0,1,1,0
841765,2.0,1,1,0
832234,2.0,1,1,0
830800,2.0,1,1,0
816198,2.0,1,1,0
823951,2.0,1,1,0
819241,2.0,1,0,1
839531,2.0,1,1,0
838320,2.0,1,1,0
834227,2.0,1,0,1
837370,2.0,1,1,0
817897,2.0,1,1,0
829626,2.0,1,1,0
843824,2.0,1,1,0
834350,2.0,1,1,0
832055,2.0,1,1,0
817118,2.0,1,1,0
824162,2.0,1,1,0
820554,2.0,1,0,1
829043,2.0,1,0,1
839109,2.0,1,1,0
824775,2.0,1,0,1
821975,2.0,1,1,0
835526,2.0,1,1,0
817365,2.0,1,1,0
828961,2.0,1,0,1
844768,2.0,1,0,1
840007,2.0,1,1,0
830912,2.0,1,1,0
832451,2.0,1,1,0
824586,2.0,1,0,1
844055,2.0,1,1,0
834770,2.0,1,0,1
840454,2.0,1,0,1
844094,2.0,1,1,0
837252,2.0,1,0,1
824785,2.0,1,1,0
825415,2.0,1,0,1
826458,2.0,1,1,0
821094,2.0,1,0,1
830153,2.0,1,1,0
2745608,2.0,1,0,1
841817,2.0,1,0,1
832079,2.0,1,0,1
820318,2.0,1,1,0
841269,2.0,1,0,1
832455,2.0,1,0,1
841710,2.0,1,0,1
820238,2.0,1,0,1
830106,2.0,1,1,0
825068,2.0,1,1,0
820166,2.0,1,1,0
815065,2.0,1,1,0
825429,2.0,1,0,1
826637,2.0,1,1,0
824612,2.0,1,1,0
819936,2.0,1,0,1
844000,2.0,1,0,1
831645,2.0,1,1,0
837440,2.0,1,0,1
818390,2.0,1,0,1
834719,2.0,1,0,1
835204,2.0,1,1,0
817813,2.0,1,1,0
835052,2.0,1,0,1
841157,2.0,1,1,0
816578,2.0,1,0,1
832500,2.0,1,1,0
831941,2.0,1,0,1
830500,2.0,1,1,0
819419,2.0,1,0,1
830320,2.0,1,1,0
842985,2.0,1,0,1
837133,2.0,1,1,0
839022,2.0,1,1,0
842572,2.0,1,0,1
831748,2.0,1,0,1
836185,2.0,1,0,1
831442,2.0,1,0,1
839926,2.0,1,1,0
818701,2.0,1,0,1
828263,2.0,1,0,1
827085,2.0,1,1,0
844773,2.0,1,0,1
836389,2.0,1,1,0
820713,2.0,1,0,1
819699,2.0,1,0,1
843284,2.0,1,1,0
835872,2.0,1,0,1
836499,2.0,1,0,1
830913,2.0,1,1,0
834867,2.0,1,1,0
828222,2.0,1,1,0
831565,2.0,1,1,0
839441,2.0,1,1,0
830036,2.0,1,0,1
828267,2.0,1,0,1
829575,2.0,1,1,0
838579,2.0,1,1,0
836440,2.0,1,0,1
820530,2.0,1,1,0
819963,2.0,1,1,0
814841,2.0,1,0,1
838454,2.0,1,0,1
816692,2.0,1,0,1
824518,2.0,1,1,0
819890,2.0,1,1,0
825473,2.0,1,0,1
843577,2.0,1,0,1
3770591,2.0,1,0,1
823753,2.0,1,1,0
817403,2.0,1,0,1
823705,2.0,1,0,1
836111,2.0,1,1,0
831975,2.0,1,1,0
834686,2.0,1,0,1
820490,2.0,1,0,1
818302,2.0,1,1,0
844395,2.0,1,1,0
831171,2.0,1,1,0
841096,2.0,1,1,0
841312,2.0,1,1,0
831157,2.0,1,0,1
835531,2.0,1,0,1
833874,2.0,1,1,0
817553,2.0,1,0,1
814994,2.0,1,0,1
828640,2.0,1,0,1
815456,2.0,1,0,1
839816,2.0,1,0,1
841594,2.0,1,0,1
834412,2.0,1,1,0
835174,2.0,1,0,1
820032,2.0,1,0,1
843827,2.0,1,0,1
822004,2.0,1,1,0
836756,2.0,1,0,1
826599,2.0,1,0,1
843098,2.0,1,1,0
829549,2.0,1,1,0
824465,2.0,1,1,0
840403,2.0,1,0,1
841298,2.0,1,1,0
832352,2.0,1,0,1
834943,2.0,1,1,0
829729,2.0,1,0,1
824603,2.0,1,0,1
837734,2.0,1,1,0
823622,2.0,1,0,1
823405,2.0,1,1,0
817517,2.0,1,0,1
842728,2.0,1,0,1
843900,2.0,1,1,0
826559,2.0,1,1,0
820462,2.0,1,1,0
842930,2.0,1,0,1
818212,2.0,1,1,0
818224,2.0,1,0,1
821810,2.0,1,0,1
829445,2.0,1,1,0
818621,2.0,1,0,1
818721,2.0,1,1,0
826942,2.0,1,0,1
835328,2.0,1,1,0
839690,2.0,1,1,0
822505,2.0,1,0,1
817747,2.0,1,1,0
836609,2.0,1,1,0
829394,2.0,1,0,1
834798,2.0,1,1,0
820443,2.0,1,0,1
816978,2.0,1,0,1
