"","WS_FLT_c1.which.mclass....2...1."
"1056","AT3G19120"
"1057","AT3G19220"
"1058","AT3G19380"
"1059","AT3G19460"
"1060","AT3G19510"
"1061","AT3G19570"
"1062","AT3G19590"
"1063","AT3G19770"
"1064","AT3G19780"
"1065","AT3G19840"
"1066","AT3G19970"
"1067","AT3G19990"
"1068","AT3G20140"
"1069","AT3G20150"
"1070","AT3G20240"
"1071","AT3G20270"
"1072","AT3G20300"
"1073","AT3G20370"
"1074","AT3G20440"
"1075","AT3G20510"
"1076","AT3G20550"
"1077","AT3G20560"
"1078","AT3G20650"
"1079","AT3G20850"
"1080","AT3G20930"
"1081","AT3G20970"
"1082","AT3G21060"
"1083","AT3G21080"
"1084","AT3G21175"
"1085","AT3G21240"
"1086","AT3G21465"
"1087","AT3G21480"
"1088","AT3G21580"
"1089","AT3G21640"
"1090","AT3G21650"
"1091","AT3G21810"
"1092","AT3G21820"
"1093","AT3G21870"
"1094","AT3G22480"
"1095","AT3G22590"
"1096","AT3G22660"
"1097","AT3G22750"
"1098","AT3G22760"
"1099","AT3G22840"
"1100","AT3G22850"
"1101","AT3G23180"
"1102","AT3G23340"
"1103","AT3G23560"
"1104","AT3G23710"
"1105","AT3G23760"
"1106","AT3G23910"
"1107","AT3G24030"
"1108","AT3G24120"
"1109","AT3G24140"
"1110","AT3G24255"
"1111","AT3G24315"
"1112","AT3G24320"
"1113","AT3G24460"
"1114","AT3G24495"
"1115","AT3G24506"
"1116","AT3G24660"
"1117","AT3G24760"
"1118","AT3G24800"
"1119","AT3G25570"
"1120","AT3G25680"
"1121","AT3G25700"
"1122","AT3G25717"
"1123","AT3G25740"
"1124","AT3G26080"
"1125","AT3G26090"
"1126","AT3G26280"
"1127","AT3G26290"
"1128","AT3G26340"
"1129","AT3G26600"
"1130","AT3G26700"
"1131","AT3G27280"
"1132","AT3G27310"
"1133","AT3G27960"
"1134","AT3G28450"
"1135","AT3G28480"
"1136","AT3G28700"
"1137","AT3G28740"
"1138","AT3G28760"
"1139","AT3G28910"
"1140","AT3G28970"
"1141","AT3G29090"
"1142","AT3G29270"
"1143","AT3G29400"
"1144","AT3G32040"
"1145","AT3G42660"
"1146","AT3G42670"
"1147","AT3G42950"
"1148","AT3G43980"
"1149","AT3G44050"
"1150","AT3G44150"
"1151","AT3G44160"
"1152","AT3G44530"
"1153","AT3G44630"
"1154","AT3G44680"
"1155","AT3G45100"
