"","WS_FLT_c1.which.mclass....3...1."
"787","AT2G47420"
"788","AT2G47510"
"789","AT2G47580"
"790","AT2G47640"
"791","AT2G47650"
"792","AT2G47900"
"793","AT2G47930"
"794","AT2G47960"
"795","AT2G48020"
"796","AT2G48100"
"797","AT3G01340"
"798","AT3G01470"
"799","AT3G01790"
"800","AT3G01910"
"801","AT3G02220"
"802","AT3G02240"
"803","AT3G02260"
"804","AT3G02350"
"805","AT3G02360"
"806","AT3G02420"
"807","AT3G02520"
"808","AT3G02530"
"809","AT3G02540"
"810","AT3G02580"
"811","AT3G02630"
"812","AT3G02640"
"813","AT3G02720"
"814","AT3G02760"
"815","AT3G02900"
"816","AT3G03150"
"817","AT3G03170"
"818","AT3G03250"
"819","AT3G03330"
"820","AT3G03475"
"821","AT3G03990"
"822","AT3G04090"
"823","AT3G04320"
"824","AT3G04500"
"825","AT3G04570"
"826","AT3G04670"
"827","AT3G04730"
"828","AT3G04780"
"829","AT3G04830"
"830","AT3G05000"
"831","AT3G05230"
"832","AT3G05280"
"833","AT3G05500"
"834","AT3G05810"
"835","AT3G05840"
"836","AT3G05900"
"837","AT3G05905"
"838","AT3G05910"
"839","AT3G05920"
"840","AT3G06035"
"841","AT3G06040"
"842","AT3G06050"
"843","AT3G06300"
"844","AT3G06310"
"845","AT3G06320"
"846","AT3G06345"
"847","AT3G06350"
"848","AT3G06420"
"849","AT3G06580"
"850","AT3G06610"
"851","AT3G06650"
"852","AT3G06720"
"853","AT3G06790"
"854","AT3G07010"
"855","AT3G07050"
"856","AT3G07090"
"857","AT3G07100"
"858","AT3G07160"
"859","AT3G07170"
"860","AT3G07270"
"861","AT3G07430"
"862","AT3G07460"
"863","AT3G07470"
"864","AT3G07560"
"865","AT3G07568"
"866","AT3G07590"
"867","AT3G07660"
"868","AT3G07770"
"869","AT3G07810"
"870","AT3G07910"
"871","AT3G07950"
"872","AT3G08530"
"873","AT3G08630"
"874","AT3G08680"
"875","AT3G08690"
"876","AT3G08730"
"877","AT3G08930"
"878","AT3G09300"
"879","AT3G09455"
"880","AT3G09940"
"881","AT3G10220"
"882","AT3G10410"
"883","AT3G10770"
"884","AT3G10850"
"885","AT3G11130"
"886","AT3G11200"
"887","AT3G11250"
"888","AT3G11320"
"889","AT3G11340"
"890","AT3G11550"
"891","AT3G11710"
"892","AT3G11730"
"893","AT3G11780"
"894","AT3G11830"
"895","AT3G11910"
"896","AT3G12020"
"897","AT3G12050"
"898","AT3G12110"
"899","AT3G12220"
"900","AT3G12290"
"901","AT3G12600"
"902","AT3G12760"
"903","AT3G12800"
"904","AT3G12920"
"905","AT3G13200"
"906","AT3G13230"
"907","AT3G13300"
"908","AT3G13310"
"909","AT3G13340"
"910","AT3G13440"
"911","AT3G13445"
"912","AT3G13470"
"913","AT3G13570"
"914","AT3G13580"
"915","AT3G13772"
"916","AT3G13790"
"917","AT3G13845"
"918","AT3G13870"
"919","AT3G13930"
"920","AT3G14100"
"921","AT3G14230"
"922","AT3G14280"
"923","AT3G14310"
"924","AT3G14430"
"925","AT3G15357"
"926","AT3G15480"
"927","AT3G15690"
"928","AT3G15710"
"929","AT3G15810"
"930","AT3G15820"
"931","AT3G16240"
"932","AT3G16310"
"933","AT3G16440"
"934","AT3G16460"
"935","AT3G16470"
"936","AT3G16480"
"937","AT3G16780"
"938","AT3G16857"
"939","AT3G16870"
"940","AT3G16950"
"941","AT3G17160"
"942","AT3G17185"
"943","AT3G17240"
"944","AT3G17300"
"945","AT3G17440"
"946","AT3G17465"
"947","AT3G17780"
"948","AT3G17810"
"949","AT3G18035"
"950","AT3G18060"
"951","AT3G18215"
"952","AT3G18430"
"953","AT3G18600"
"954","AT3G18760"
"955","AT3G18820"
"956","AT3G18940"
"957","AT3G18990"
"958","AT3G19030"
"959","AT3G19100"
"960","AT3G19130"
"961","AT3G19200"
"962","AT3G19260"
"963","AT3G19450"
"964","AT3G19910"
"965","AT3G19930"
"966","AT3G19980"
"967","AT3G20060"
"968","AT3G20340"
"969","AT3G20370"
"970","AT3G20510"
"971","AT3G20590"
"972","AT3G20670"
"973","AT3G20770"
"974","AT3G20790"
"975","AT3G21350"
"976","AT3G21770"
"977","AT3G21865"
"978","AT3G22200"
"979","AT3G22290"
"980","AT3G22300"
"981","AT3G22380"
"982","AT3G22480"
"983","AT3G22520"
"984","AT3G22620"
"985","AT3G22660"
"986","AT3G22890"
"987","AT3G22950"
"988","AT3G22960"
"989","AT3G23000"
"990","AT3G23180"
"991","AT3G23190"
"992","AT3G23490"
"993","AT3G23620"
"994","AT3G23690"
"995","AT3G23800"
"996","AT3G23820"
"997","AT3G23890"
"998","AT3G23940"
"999","AT3G23990"
"1000","AT3G24080"
"1001","AT3G24160"
"1002","AT3G24550"
"1003","AT3G25040"
"1004","AT3G25120"
"1005","AT3G25140"
"1006","AT3G25190"
"1007","AT3G25230"
"1008","AT3G25530"
"1009","AT3G25540"
"1010","AT3G25780"
"1011","AT3G25800"
"1012","AT3G25840"
"1013","AT3G25860"
"1014","AT3G25910"
"1015","AT3G26030"
"1016","AT3G26420"
"1017","AT3G26430"
"1018","AT3G26760"
"1019","AT3G26780"
"1020","AT3G26810"
"1021","AT3G26935"
"1022","AT3G27080"
"1023","AT3G27090"
"1024","AT3G27190"
"1025","AT3G27230"
"1026","AT3G27360"
"1027","AT3G27380"
"1028","AT3G27740"
"1029","AT3G27890"
"1030","AT3G28715"
"1031","AT3G28740"
"1032","AT3G28860"
"1033","AT3G29075"
"1034","AT3G29180"
"1035","AT3G29360"
"1036","AT3G29410"
"1037","AT3G42170"
"1038","AT3G43300"
"1039","AT3G43800"
"1040","AT3G44100"
"1041","AT3G44310"
"1042","AT3G44320"
"1043","AT3G44330"
"1044","AT3G44750"
"1045","AT3G45310"
"1046","AT3G45600"
"1047","AT3G45930"
"1048","AT3G46130"
"1049","AT3G46210"
"1050","AT3G46280"
"1051","AT3G46320"
"1052","AT3G46440"
"1053","AT3G46830"
"1054","AT3G46900"
"1055","AT3G46940"
"1056","AT3G47200"
"1057","AT3G47220"
"1058","AT3G47510"
"1059","AT3G47520"
"1060","AT3G47800"
"1061","AT3G47836"
"1062","AT3G48030"
"1063","AT3G48170"
"1064","AT3G48530"
"1065","AT3G48560"
"1066","AT3G48680"
"1067","AT3G48750"
"1068","AT3G48870"
"1069","AT3G48890"
"1070","AT3G48990"
"1071","AT3G49100"
"1072","AT3G49430"
"1073","AT3G49680"
"1074","AT3G49720"
"1075","AT3G49780"
"1076","AT3G49845"
"1077","AT3G49870"
"1078","AT3G49940"
"1079","AT3G50070"
"1080","AT3G50360"
"1081","AT3G50370"
"1082","AT3G50640"
"1083","AT3G50670"
"1084","AT3G51010"
"1085","AT3G51160"
"1086","AT3G51270"
"1087","AT3G51370"
"1088","AT3G51550"
"1089","AT3G51600"
"1090","AT3G51670"
"1091","AT3G51730"
"1092","AT3G51840"
"1093","AT3G51880"
"1094","AT3G51920"
"1095","AT3G51950"
"1096","AT3G52040"
"1097","AT3G52140"
"1098","AT3G52200"
"1099","AT3G52230"
"1100","AT3G52800"
"1101","AT3G52880"
"1102","AT3G52920"
"1103","AT3G52940"
"1104","AT3G52990"
"1105","AT3G53110"
"1106","AT3G53460"
"1107","AT3G53480"
"1108","AT3G53500"
"1109","AT3G53580"
"1110","AT3G53610"
"1111","AT3G53620"
"1112","AT3G53630"
"1113","AT3G53670"
"1114","AT3G53750"
"1115","AT3G54080"
"1116","AT3G54110"
"1117","AT3G54190"
"1118","AT3G54400"
"1119","AT3G54470"
"1120","AT3G54480"
"1121","AT3G54590"
"1122","AT3G54620"
"1123","AT3G54640"
"1124","AT3G54670"
"1125","AT3G54760"
"1126","AT3G54770"
"1127","AT3G54810"
"1128","AT3G54880"
"1129","AT3G54920"
"1130","AT3G54960"
"1131","AT3G55230"
"1132","AT3G55360"
"1133","AT3G55380"
"1134","AT3G55410"
"1135","AT3G55460"
"1136","AT3G55520"
"1137","AT3G55620"
"1138","AT3G55830"
"1139","AT3G56090"
"1140","AT3G56110"
"1141","AT3G56190"
"1142","AT3G56310"
"1143","AT3G56370"
"1144","AT3G56460"
"1145","AT3G56480"
"1146","AT3G56510"
"1147","AT3G56860"
"1148","AT3G56880"
"1149","AT3G56950"
"1150","AT3G56970"
"1151","AT3G57050"
"1152","AT3G57280"
"1153","AT3G57490"
"1154","AT3G57550"
"1155","AT3G57610"
"1156","AT3G57650"
"1157","AT3G57785"
"1158","AT3G57860"
"1159","AT3G57890"
"1160","AT3G57930"
"1161","AT3G58120"
"1162","AT3G58460"
"1163","AT3G58680"
"1164","AT3G58730"
"1165","AT3G59280"
"1166","AT3G59350"
"1167","AT3G59600"
"1168","AT3G59650"
"1169","AT3G59760"
"1170","AT3G59810"
"1171","AT3G59920"
"1172","AT3G59970"
"1173","AT3G59990"
"1174","AT3G60210"
"1175","AT3G60250"
"1176","AT3G60300"
"1177","AT3G60360"
"1178","AT3G60530"
"1179","AT3G60750"
"1180","AT3G61050"
"1181","AT3G61070"
"1182","AT3G61130"
"1183","AT3G61200"
"1184","AT3G61240"
"1185","AT3G61620"
"1186","AT3G61640"
"1187","AT3G61860"
"1188","AT3G62030"
"1189","AT3G62120"
"1190","AT3G62420"
"1191","AT3G62580"
"1192","AT3G62600"
"1193","AT3G62830"
"1194","AT3G62980"
"1195","AT3G63080"
"1196","AT3G63130"
"1197","AT3G63250"
"1198","AT3G63310"
"1199","AT3G63400"
"1200","AT3G63410"
"1201","AT3G63460"
"1202","AT3G66654"
"1203","AT4G00430"
"1204","AT4G00560"
"1205","AT4G00585"
"1206","AT4G00660"
"1207","AT4G00710"
"1208","AT4G00820"
"1209","AT4G00830"
"1210","AT4G01000"
"1211","AT4G01320"
"1212","AT4G01370"
"1213","AT4G01480"
"1214","AT4G01560"
"1215","AT4G01900"
"1216","AT4G02290"
"1217","AT4G02370"
"1218","AT4G02500"
"1219","AT4G02510"
"1220","AT4G02570"
"1221","AT4G02725"
"1222","AT4G02840"
"1223","AT4G03190"
"1224","AT4G03210"
"1225","AT4G03240"
"1226","AT4G04470"
"1227","AT4G04830"
"1228","AT4G04910"
"1229","AT4G04950"
"1230","AT4G05390"
"1231","AT4G05530"
"1232","AT4G07390"
"1233","AT4G07950"
"1234","AT4G08280"
"1235","AT4G08310"
"1236","AT4G08390"
"1237","AT4G08460"
"1238","AT4G08950"
"1239","AT4G08980"
"1240","AT4G09035"
"1241","AT4G09720"
"1242","AT4G09830"
