"","X","WS_FLT_c1.which.mclass....4...1."
"13",13,"AT1G01840"
"1260",1260,"AT2G11225"
"1015",1015,"AT1G73780"
"1916",1916,"AT3G09060"
"1393",1393,"AT2G23987"
"2220",2220,"AT3G44450"
"2445",2445,"AT3G58820"
"2582",2582,"AT4G04900"
"2435",2435,"AT3G58160"
"2878",2878,"AT4G26700"
"3415",3415,"AT5G23840"
"3237",3237,"AT5G09990"
"2459",2459,"AT3G59550"
"2228",2228,"AT3G44730"
"3633",3633,"AT5G46870"
"1277",1277,"AT2G15220"
"2092",2092,"AT3G22060"
"1560",1560,"AT2G35660"
"1994",1994,"AT3G14160"
"725",725,"AT1G55420"
"1858",1858,"AT3G05400"
"2095",2095,"AT3G22420"
"3999",3999,"ATMG01280"
"1591",1591,"AT2G37430"
"804",804,"AT1G62590"
"3795",3795,"AT5G57190"
"2634",2634,"AT4G10340"
"1318",1318,"AT2G18680"
"431",431,"AT1G21060"
"1090",1090,"AT1G77280"
"3136",3136,"AT5G03550"
"1242",1242,"AT2G08665"
"828",828,"AT1G63400"
"256",256,"AT1G10920"
"2612",2612,"AT4G08425"
"1403",1403,"AT2G24560"
"202",202,"AT1G09195"
"665",665,"AT1G51500"
"3701",3701,"AT5G51110"
"819",819,"AT1G62981"
"2037",2037,"AT3G17600"
"1898",1898,"AT3G07960"
"3245",3245,"AT5G10410"
"2372",2372,"AT3G53820"
"1065",1065,"AT1G75770"
"1382",1382,"AT2G23348"
"834",834,"AT1G63680"
"910",910,"AT1G68590"
"2942",2942,"AT4G32430"
"1649",1649,"AT2G41080"
"1046",1046,"AT1G74900"
"3695",3695,"AT5G50780"
"1067",1067,"AT1G75830"
"3864",3864,"AT5G61950"
"1548",1548,"AT2G35155"
"3332",3332,"AT5G17230"
"2353",2353,"AT3G52180"
"3050",3050,"AT4G39940"
"2587",2587,"AT4G05395"
"2564",2564,"AT4G02900"
"3997",3997,"ATMG01220"
"171",171,"AT1G07903"
"1206",1206,"AT2G06040"
"968",968,"AT1G71330"
"533",533,"AT1G30520"
"2922",2922,"AT4G29880"
"708",708,"AT1G54355"
"2404",2404,"AT3G56250"
"1801",1801,"AT3G02677"
"3020",3020,"AT4G37810"
"938",938,"AT1G69630"
"2262",2262,"AT3G47050"
"980",980,"AT1G72120"
"3583",3583,"AT5G43860"
"2985",2985,"AT4G35720"
"277",277,"AT1G11915"
"3028",3028,"AT4G38290"
"3193",3193,"AT5G07400"
"3962",3962,"ATCG00580"
"3555",3555,"AT5G42235"
"3529",3529,"AT5G40470"
"2556",2556,"AT4G02360"
"1460",1460,"AT2G29670"
"381",381,"AT1G17950"
"1317",1317,"AT2G18650"
"3259",3259,"AT5G11250"
"953",953,"AT1G70505"
"521",521,"AT1G29740"
"2365",2365,"AT3G53150"
"755",755,"AT1G59510"
"3161",3161,"AT5G05190"
"1049",1049,"AT1G75060"
"3544",3544,"AT5G41550"
"1897",1897,"AT3G07900"
"3348",3348,"AT5G17960"
"2162",2162,"AT3G26922"
"3139",3139,"AT5G03585"
"3977",3977,"ATCG01300"
"2527",2527,"AT4G00900"
"3373",3373,"AT5G19490"
"517",517,"AT1G29540"
"959",959,"AT1G70760"
"379",379,"AT1G17920"
"380",380,"AT1G17940"
"2967",2967,"AT4G34320"
"3411",3411,"AT5G23730"
"1532",1532,"AT2G34350"
"1623",1623,"AT2G39230"
"1443",1443,"AT2G28560"
"650",650,"AT1G50790"
"908",908,"AT1G68570"
"1204",1204,"AT2G05910"
"244",244,"AT1G10220"
"2187",2187,"AT3G28640"
"2890",2890,"AT4G27520"
"2532",2532,"AT4G01080"
"2735",2735,"AT4G16230"
"33",33,"AT1G03070"
"76",76,"AT1G04620"
"2364",2364,"AT3G53130"
"3204",3204,"AT5G07975"
"786",786,"AT1G61500"
"1844",1844,"AT3G04854"
"2387",2387,"AT3G54990"
"1061",1061,"AT1G75690"
"1919",1919,"AT3G09190"
"1701",1701,"AT2G43900"
"1595",1595,"AT2G37580"
"2157",2157,"AT3G26445"
"3103",3103,"AT5G02195"
"98",98,"AT1G05277"
"2884",2884,"AT4G27030"
"3952",3952,"AT5G67620"
"2136",2136,"AT3G25610"
"535",535,"AT1G31190"
"1153",1153,"AT2G01330"
"2408",2408,"AT3G56450"
"2862",2862,"AT4G25430"
"3046",3046,"AT4G39580"
"2821",2821,"AT4G22470"
"3372",3372,"AT5G19260"
"2034",2034,"AT3G17225"
"3840",3840,"AT5G60050"
"2172",2172,"AT3G27630"
"826",826,"AT1G63380"
"838",838,"AT1G63855"
"342",342,"AT1G15510"
"2611",2611,"AT4G08360"
"1819",1819,"AT3G03815"
"3428",3428,"AT5G24600"
"1472",1472,"AT2G30984"
"2726",2726,"AT4G15430"
"1124",1124,"AT1G79160"
"849",849,"AT1G64570"
"776",776,"AT1G61190"
"1993",1993,"AT3G14070"
