"","WS_FLT_c1.which.mclass....3...1."
"854","AT2G08350"
"855","AT2G08375"
"856","AT2G08405"
"857","AT2G08420"
"858","AT2G08450"
"859","AT2G08455"
"860","AT2G08470"
"861","AT2G08485"
"862","AT2G08500"
"863","AT2G08525"
"864","AT2G08575"
"865","AT2G08595"
"866","AT2G08610"
"867","AT2G08655"
"868","AT2G08680"
"869","AT2G08700"
"870","AT2G08730"
"871","AT2G08760"
"872","AT2G08765"
"873","AT2G08770"
"874","AT2G08775"
"875","AT2G08815"
"876","AT2G08825"
"877","AT2G08900"
"878","AT2G09000"
"879","AT2G09055"
"880","AT2G09175"
"881","AT2G09295"
"882","AT2G09300"
"883","AT2G09305"
"884","AT2G09335"
"885","AT2G09370"
"886","AT2G09430"
"887","AT2G09435"
"888","AT2G09455"
"889","AT2G09460"
"890","AT2G09495"
"891","AT2G09505"
"892","AT2G09695"
"893","AT2G09700"
"894","AT2G09710"
"895","AT2G09735"
"896","AT2G09740"
"897","AT2G09895"
"898","AT2G09905"
"899","AT2G09970"
"900","AT2G10553"
"901","AT2G10615"
"902","AT2G10930"
"903","AT2G10940"
"904","AT2G11215"
"905","AT2G11810"
"906","AT2G11891"
"907","AT2G12905"
"908","AT2G13570"
"909","AT2G13610"
"910","AT2G13640"
"911","AT2G13810"
"912","AT2G13905"
"913","AT2G13950"
"914","AT2G14290"
"915","AT2G14690"
"916","AT2G14775"
"917","AT2G14800"
"918","AT2G15318"
"919","AT2G15350"
"920","AT2G15400"
"921","AT2G16190"
"922","AT2G16245"
"923","AT2G16575"
"924","AT2G16910"
"925","AT2G17010"
"926","AT2G17036"
"927","AT2G17040"
"928","AT2G17210"
"929","AT2G17470"
"930","AT2G17660"
"931","AT2G17690"
"932","AT2G17770"
"933","AT2G17780"
"934","AT2G17890"
"935","AT2G18010"
"936","AT2G18025"
"937","AT2G18300"
"938","AT2G18500"
"939","AT2G18640"
"940","AT2G18660"
"941","AT2G18720"
"942","AT2G18917"
"943","AT2G18969"
"944","AT2G18970"
"945","AT2G19190"
"946","AT2G19210"
"947","AT2G19410"
"948","AT2G19550"
"949","AT2G19610"
"950","AT2G19900"
"951","AT2G19920"
"952","AT2G20030"
"953","AT2G20250"
"954","AT2G20470"
"955","AT2G20510"
"956","AT2G20520"
"957","AT2G20570"
"958","AT2G20700"
"959","AT2G20800"
"960","AT2G20825"
"961","AT2G21080"
"962","AT2G21188"
"963","AT2G21210"
"964","AT2G21330"
"965","AT2G21430"
"966","AT2G21480"
"967","AT2G21595"
"968","AT2G21650"
"969","AT2G21780"
"970","AT2G21960"
"971","AT2G22060"
"972","AT2G22088"
"973","AT2G22496"
"974","AT2G22750"
"975","AT2G23060"
"976","AT2G23220"
"977","AT2G23270"
"978","AT2G23347"
"979","AT2G23400"
"980","AT2G23540"
"981","AT2G23830"
"982","AT2G24030"
"983","AT2G24130"
"984","AT2G24195"
"985","AT2G24430"
"986","AT2G24535"
"987","AT2G24755"
"988","AT2G24820"
"989","AT2G24850"
"990","AT2G25160"
"991","AT2G25200"
"992","AT2G25240"
"993","AT2G25409"
"994","AT2G25410"
"995","AT2G25530"
"996","AT2G25820"
"997","AT2G25890"
"998","AT2G26150"
"999","AT2G26380"
"1000","AT2G26500"
"1001","AT2G26515"
"1002","AT2G26692"
"1003","AT2G26740"
"1004","AT2G26940"
"1005","AT2G26975"
"1006","AT2G27240"
"1007","AT2G27300"
"1008","AT2G27313"
"1009","AT2G27320"
"1010","AT2G27385"
"1011","AT2G27390"
"1012","AT2G27505"
"1013","AT2G27670"
"1014","AT2G28040"
"1015","AT2G28170"
"1016","AT2G28420"
"1017","AT2G28500"
"1018","AT2G28605"
"1019","AT2G28630"
"1020","AT2G28680"
"1021","AT2G28755"
"1022","AT2G28850"
"1023","AT2G28860"
"1024","AT2G29090"
"1025","AT2G29380"
"1026","AT2G29430"
"1027","AT2G29450"
"1028","AT2G29470"
"1029","AT2G29600"
"1030","AT2G29950"
"1031","AT2G30115"
"1032","AT2G30220"
"1033","AT2G30570"
"1034","AT2G30630"
"1035","AT2G30680"
"1036","AT2G30750"
"1037","AT2G30760"
"1038","AT2G30820"
"1039","AT2G31100"
"1040","AT2G31160"
"1041","AT2G31335"
"1042","AT2G31345"
