"","WS_GC_c1.which.mclass....4...1."
"610","AT3G46880"
"611","AT3G46890"
"612","AT3G47090"
"613","AT3G47100"
"614","AT3G47180"
"615","AT3G47380"
"616","AT3G47430"
"617","AT3G47480"
"618","AT3G48010"
"619","AT3G48320"
"620","AT3G48460"
"621","AT3G48475"
"622","AT3G48580"
"623","AT3G49230"
"624","AT3G49570"
"625","AT3G49580"
"626","AT3G50030"
"627","AT3G50160"
"628","AT3G50270"
"629","AT3G50470"
"630","AT3G50560"
"631","AT3G50610"
"632","AT3G50890"
"633","AT3G51070"
"634","AT3G51220"
"635","AT3G51325"
"636","AT3G51560"
"637","AT3G52680"
"638","AT3G52770"
"639","AT3G53160"
"640","AT3G53310"
"641","AT3G53470"
"642","AT3G53530"
"643","AT3G53590"
"644","AT3G53600"
"645","AT3G53820"
"646","AT3G54060"
"647","AT3G55500"
"648","AT3G55515"
"649","AT3G55550"
"650","AT3G55580"
"651","AT3G56380"
"652","AT3G56450"
"653","AT3G56600"
"654","AT3G56660"
"655","AT3G56780"
"656","AT3G56790"
"657","AT3G57130"
"658","AT3G57440"
"659","AT3G57740"
"660","AT3G58540"
"661","AT3G58860"
"662","AT3G59010"
"663","AT3G59068"
"664","AT3G59765"
"665","AT3G59930"
"666","AT3G60160"
"667","AT3G60470"
"668","AT3G60540"
"669","AT3G61080"
"670","AT3G61113"
"671","AT3G61550"
"672","AT3G61660"
"673","AT3G61930"
"674","AT3G62410"
"675","AT3G62500"
"676","AT3G62960"
"677","AT3G63050"
"678","AT3G63160"
"679","AT3G63320"
"680","AT4G00050"
"681","AT4G00210"
"682","AT4G00530"
"683","AT4G00695"
"684","AT4G00893"
"685","AT4G00960"
"686","AT4G01060"
"687","AT4G01080"
"688","AT4G01470"
"689","AT4G01520"
"690","AT4G01670"
"691","AT4G01820"
"692","AT4G01895"
"693","AT4G02000"
"694","AT4G02650"
"695","AT4G02700"
"696","AT4G03620"
"697","AT4G03905"
"698","AT4G03965"
"699","AT4G04275"
"700","AT4G04760"
"701","AT4G04930"
"702","AT4G05525"
"703","AT4G05685"
"704","AT4G05910"
"705","AT4G06210"
"706","AT4G07195"
"707","AT4G07405"
"708","AT4G08285"
"709","AT4G08410"
"710","AT4G08555"
"711","AT4G08795"
"712","AT4G09035"
"713","AT4G09100"
"714","AT4G09490"
"715","AT4G09780"
"716","AT4G09820"
"717","AT4G09920"
"718","AT4G10530"
"719","AT4G10843"
"720","AT4G10950"
"721","AT4G11390"
"722","AT4G11480"
"723","AT4G11547"
"724","AT4G11720"
"725","AT4G11845"
"726","AT4G11910"
"727","AT4G12310"
"728","AT4G12830"
"729","AT4G12890"
"730","AT4G13230"
"731","AT4G13395"
"732","AT4G13495"
"733","AT4G13600"
"734","AT4G14140"
"735","AT4G14450"
"736","AT4G14480"
"737","AT4G14980"
"738","AT4G15096"
"739","AT4G15370"
"740","AT4G15670"
"741","AT4G15700"
"742","AT4G16015"
"743","AT4G16233"
"744","AT4G16690"
"745","AT4G16835"
"746","AT4G16840"
"747","AT4G17085"
"748","AT4G17210"
"749","AT4G17980"
"750","AT4G18170"
"751","AT4G18210"
"752","AT4G18253"
"753","AT4G18350"
"754","AT4G18422"
"755","AT4G18501"
"756","AT4G18740"
"757","AT4G18830"
"758","AT4G19530"
"759","AT4G19560"
"760","AT4G19770"
"761","AT4G20350"
"762","AT4G21500"
"763","AT4G22217"
"764","AT4G22467"
"765","AT4G22470"
"766","AT4G22560"
"767","AT4G23130"
"768","AT4G23170"
"769","AT4G23180"
"770","AT4G23250"
"771","AT4G23260"
"772","AT4G23520"
"773","AT4G23770"
"774","AT4G24120"
"775","AT4G24170"
"776","AT4G24510"
"777","AT4G24860"
"778","AT4G24972"
"779","AT4G25420"
"780","AT4G25750"
"781","AT4G25980"
"782","AT4G26170"
"783","AT4G26330"
"784","AT4G26380"
"785","AT4G26530"
"786","AT4G26560"
"787","AT4G27570"
"788","AT4G27590"
"789","AT4G27810"
"790","AT4G27890"
"791","AT4G28140"
"792","AT4G28160"
"793","AT4G28170"
"794","AT4G28350"
"795","AT4G28620"
"796","AT4G28703"
"797","AT4G28800"
"798","AT4G28930"
"799","AT4G29880"
"800","AT4G30230"
"801","AT4G30845"
"802","AT4G31230"
"803","AT4G31370"
"804","AT4G31398"
"805","AT4G31610"
"806","AT4G31615"
"807","AT4G31710"
"808","AT4G33590"
"809","AT4G33925"
"810","AT4G34060"
"811","AT4G34080"
"812","AT4G34345"
"813","AT4G34419"
"814","AT4G34770"
"815","AT4G35210"
"816","AT4G35640"
"817","AT4G35660"
"818","AT4G35690"
"819","AT4G35770"
"820","AT4G36105"
"821","AT4G36110"
"822","AT4G36280"
"823","AT4G36450"
"824","AT4G36770"
"825","AT4G36850"
"826","AT4G36950"
"827","AT4G37050"
"828","AT4G37420"
"829","AT4G37445"
"830","AT4G37560"
"831","AT4G37770"
"832","AT4G38280"
"833","AT4G39010"
"834","AT4G39580"
"835","AT4G39810"
"836","AT4G40020"
"837","AT5G01070"
"838","AT5G01095"
"839","AT5G01120"
"840","AT5G01180"
"841","AT5G01225"
"842","AT5G01255"
"843","AT5G01295"
"844","AT5G01380"
"845","AT5G01445"
"846","AT5G01570"
"847","AT5G01645"
"848","AT5G01760"
"849","AT5G01881"
"850","AT5G01935"
"851","AT5G02000"
"852","AT5G02195"
"853","AT5G02220"
"854","AT5G02330"
"855","AT5G02360"
"856","AT5G02570"
"857","AT5G02690"
"858","AT5G02760"
"859","AT5G02920"
"860","AT5G02935"
"861","AT5G03010"
"862","AT5G03020"
