TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT3G62600,ATERDJ3B,-0.7156049,-0.2718761,0.4437288,-0.4973087,0.2182962,-0.1383223,0.5772826,0.06993114,0.7855361,-0.2586002,0.4570047,-0.2613445,0.4542604,0.3121195,1.027724,-0.2444259,0.471179,-0.3354473,0.3801576,-0.5300883,0.1855166
AT3G62830,ATUXS2,0.008224063,-0.5965191,-0.6047431,-0.2882978,-0.2965219,-0.1702346,-0.1784587,-0.09202238,-0.1002464,-0.219089,-0.2273131,-0.1109068,-0.1191308,0.2856431,0.277419,-0.54752,-0.555744,-0.2421186,-0.2503427,-0.01792669,-0.02615076
AT3G62980,AtTIR1,-0.1563343,-0.2744852,-0.1181508,-0.2865154,-0.130181,-0.0836326,0.07270172,-0.5643495,-0.4080152,0.1431806,0.2995149,-0.3767222,-0.2203879,-0.1680551,-0.01172074,0.2035785,0.3599128,0.119873,0.2762073,-0.0965709,0.05976342
AT3G63000,NPL41,-0.09642593,0.2655116,0.3619375,0.3021375,0.3985634,0.1052986,0.2017245,-0.128062,-0.03163611,0.1972894,0.2937154,0.03455094,0.1309769,0.2070165,0.3034425,0.0869648,0.1833907,0.1214468,0.2178727,0.1120892,0.2085151
AT3G63080,ATGPX5,0.5949246,-0.05742023,-0.6523448,-0.1710112,-0.7659358,-0.3340179,-0.9289425,0.5066705,-0.08825411,-0.6648605,-1.259785,-0.2042559,-0.7991805,-0.7407703,-1.335695,-0.151051,-0.7459756,-0.8462226,-1.441147,-0.1083416,-0.7032662
AT3G63130,ATRANGAP1,-0.4123606,-0.03077347,0.3815871,0.02804506,0.4404057,0.07389064,0.4862513,-0.2839691,0.1283916,0.536736,0.9490966,-0.0840669,0.3282937,0.3916779,0.8040385,0.03843337,0.450794,0.1698326,0.5821932,-0.1533708,0.2589898
AT3G63210,MARD1,0.8438252,-0.007886357,-0.8517116,-0.007933617,-0.8517588,-0.5680141,-1.411839,0.5475803,-0.2962449,-0.4353582,-1.279183,-0.1223588,-0.9661841,-0.5883533,-1.432179,0.4887453,-0.3550799,-0.6950904,-1.538916,0.5724112,-0.271414
AT3G63250,ATHMT-2,-0.1796675,0.2264925,0.40616,0.1711289,0.3507964,0.04414971,0.2238172,0.0442746,0.2239421,0.220123,0.3997905,0.3827642,0.5624317,0.1853696,0.3650372,0.2535195,0.433187,0.02885321,0.2085207,-0.05983441,0.1198331
AT3G63310,AtLFG2,0.3133704,-0.5022784,-0.8156487,-0.6349318,-0.9483022,-0.4719689,-0.7853392,-0.2236371,-0.5370074,-0.9541125,-1.267483,-0.6547605,-0.9681309,-0.7966991,-1.11007,-0.5255985,-0.8389689,-0.4830168,-0.7963872,-0.1468596,-0.4602299
AT3G63410,APG1,0.02036784,0.4608046,0.4404368,0.4760834,0.4557156,0.2527021,0.2323343,0.3803756,0.3600077,0.6038223,0.5834545,0.2248105,0.2044427,0.3699745,0.3496067,0.4592017,0.4388339,0.07469845,0.05433061,0.1824598,0.162092
AT3G63460,SEC31B,-0.3821575,-0.03607235,0.3460852,0.06276453,0.444922,0.3949329,0.7770904,-0.03232686,0.3498307,0.1615337,0.5436912,0.1272494,0.5094069,0.357572,0.7397295,0.04198631,0.4241438,0.6719609,1.054118,-0.2298084,0.1523491
AT4G00430,PIP1;4,1.198237,0.953575,-0.2446617,0.9973919,-0.2008448,0.4129807,-0.785256,0.6185299,-0.5797069,1.452714,0.2544772,0.8226707,-0.375566,0.6100291,-0.5882076,0.6881214,-0.5101153,0.2514752,-0.9467615,0.8317901,-0.3664466
AT4G00570,NAD-ME2,-0.3028333,-0.2390086,0.06382467,0.005505655,0.308339,0.1738656,0.4766989,0.1761309,0.4789642,0.05169377,0.3545271,0.1329977,0.435831,0.3626914,0.6655247,-0.1441005,0.1587328,0.04825822,0.3510915,-0.07561005,0.2272233
AT4G00620,EMB3127,-0.940965,0.08022978,1.021195,-0.2178146,0.7231504,0.1437442,1.084709,-0.01959558,0.9213694,0.01585447,0.9568195,0.09150359,1.032469,0.3224907,1.263456,-0.3526274,0.5883376,-0.1029724,0.8379926,-0.4279944,0.5129706
AT4G00660,ATRH8,-0.03620511,-0.01414235,0.02206277,-0.08533854,-0.04913343,0.2783042,0.3145093,-0.3117256,-0.2755205,0.1306674,0.1668725,-0.03336441,0.002840701,0.3312928,0.3674979,-0.09828728,-0.06208217,0.2424435,0.2786487,-0.2164935,-0.1802884
AT4G00710,BSK3,-0.300303,0.09911349,0.3994165,-0.01660986,0.2836932,-0.08220132,0.2181017,0.02324248,0.3235455,0.1299617,0.4302647,0.2275906,0.5278937,0.334107,0.63441,-0.2106665,0.08963657,0.2252995,0.5256025,-0.05099221,0.2493108
AT4G00740,QUA3,-0.2215288,0.1956876,0.4172165,0.312969,0.5344978,0.5054557,0.7269845,0.3351341,0.556663,0.4899504,0.7114793,0.8438818,1.065411,0.6663291,0.887858,0.1359835,0.3575123,0.438534,0.6600629,0.3024731,0.5240019
AT4G00820,iqd17,-0.2116564,0.05720835,0.2688647,-0.07873328,0.1329231,0.08686043,0.2985168,-0.2869949,-0.07533849,0.3984949,0.6101512,-0.05366745,0.1579889,-0.01979908,0.1918573,-0.0853805,0.1262759,0.1616654,0.3733218,-0.2234494,-0.01179307
AT4G00830,LIF2,-0.009350176,-0.09849,-0.08913982,0.005925578,0.01527575,-0.0431155,-0.03376533,-0.002255776,0.0070944,0.1768542,0.1862044,-0.01933505,-0.009984869,0.03938542,0.04873559,0.2389176,0.2482677,0.2176899,0.2270401,0.1549833,0.1643334
AT4G01320,ATSTE24,-0.1604419,0.1377176,0.2981595,0.03447234,0.1949142,0.003584298,0.1640262,0.004667833,0.1651097,0.09328552,0.2537274,0.2243853,0.3848272,0.1996677,0.3601096,0.06376092,0.2242028,-0.06464304,0.09579886,-0.05633588,0.104106
AT4G01370,ATMPK4,-0.1807793,0.05606525,0.2368446,-0.1586754,0.02210397,0.02260245,0.2033818,-0.03089755,0.1498818,-0.1125676,0.06821171,-0.1583651,0.0224142,-0.06382945,0.1169499,-0.1764808,0.004298543,-0.2743021,-0.0935228,-0.2409036,-0.0601243
AT4G01450,UMAMIT30,0.6686926,0.01876444,-0.6499282,0.7238986,0.05520594,0.45489,-0.2138026,-0.4600154,-1.128708,0.6763872,0.007694575,0.9229406,0.254248,-0.2590037,-0.9276963,-0.577664,-1.246357,0.4804491,-0.1882435,0.2594407,-0.409252
