"","X","phyD_FLT_c1.which.mclass....6...1."
"1781",1781,"AT2G42040"
"1192",1192,"AT1G78865"
"3641",3641,"AT5G08440"
"1504",1504,"AT2G26870"
"140",140,"AT1G07620"
"4278",4278,"AT5G54090"
"641",641,"AT1G45110"
"2949",2949,"AT4G13370"
"1238",1238,"AT2G01520"
"2014",2014,"AT3G06990"
"2194",2194,"AT3G17580"
"87",87,"AT1G04930"
"2055",2055,"AT3G09650"
"2112",2112,"AT3G13090"
"2970",2970,"AT4G14305"
"3962",3962,"AT5G35400"
"4381",4381,"AT5G59940"
"3719",3719,"AT5G13900"
"2981",2981,"AT4G14620"
"4292",4292,"AT5G54880"
"1224",1224,"AT1G80630"
"3069",3069,"AT4G19440"
"4050",4050,"AT5G41612"
"1230",1230,"AT1G80980"
"962",962,"AT1G67170"
"279",279,"AT1G14310"
"2444",2444,"AT3G46540"
"75",75,"AT1G04463"
"2623",2623,"AT3G55690"
"3745",3745,"AT5G15910"
"1949",1949,"AT3G03470"
"2000",2000,"AT3G06360"
"4028",4028,"AT5G40645"
"638",638,"AT1G44608"
"2522",2522,"AT3G50150"
"1300",1300,"AT2G07641"
"2215",2215,"AT3G18320"
"1185",1185,"AT1G78540"
"4526",4526,"ATMG00270"
"356",356,"AT1G17940"
"2414",2414,"AT3G44260"
"871",871,"AT1G61520"
"1527",1527,"AT2G28590"
"582",582,"AT1G32330"
"1708",1708,"AT2G37890"
"2091",2091,"AT3G11650"
"3608",3608,"AT5G06930"
"3893",3893,"AT5G24313"
"1547",1547,"AT2G29990"
"517",517,"AT1G28390"
"1532",1532,"AT2G28970"
"2269",2269,"AT3G20935"
"3318",3318,"AT4G32350"
"1683",1683,"AT2G37035"
"85",85,"AT1G04833"
"2142",2142,"AT3G14540"
"1872",1872,"AT2G46430"
"997",997,"AT1G68620"
"3909",3909,"AT5G24910"
"735",735,"AT1G52550"
"3927",3927,"AT5G26040"
"1685",1685,"AT2G37100"
"2591",2591,"AT3G54000"
"2741",2741,"AT3G62200"
"3779",3779,"AT5G17790"
"1279",1279,"AT2G04842"
"1147",1147,"AT1G76580"
"1443",1443,"AT2G22910"
"1233",1233,"AT2G01290"
"1751",1751,"AT2G40780"
"791",791,"AT1G55370"
"954",954,"AT1G66690"
"3666",3666,"AT5G09820"
"79",79,"AT1G04647"
"439",439,"AT1G22860"
"3637",3637,"AT5G08330"
"448",448,"AT1G23180"
"985",985,"AT1G67900"
"3385",3385,"AT4G36150"
"3308",3308,"AT4G31800"
"2239",2239,"AT3G19250"
"21",21,"AT1G01970"
"959",959,"AT1G66880"
"419",419,"AT1G21170"
"1908",1908,"AT3G01480"
"1723",1723,"AT2G39040"
"3774",3774,"AT5G17490"
"2867",2867,"AT4G06410"
"4343",4343,"AT5G57760"
"1800",1800,"AT2G42760"
"3428",3428,"AT4G38150"
"3792",3792,"AT5G18290"
"4281",4281,"AT5G54260"
"1681",1681,"AT2G36885"
"4408",4408,"AT5G61650"
"2643",2643,"AT3G56430"
"2612",2612,"AT3G55160"
"105",105,"AT1G05750"
"2966",2966,"AT4G14200"
"3204",3204,"AT4G26580"
"708",708,"AT1G50970"
"1298",1298,"AT2G07515"
"4532",4532,"ATMG00520"
"2189",2189,"AT3G16980"
"179",179,"AT1G09470"
"2465",2465,"AT3G47390"
"1875",1875,"AT2G46735"
