"","phyD_FLT_c1.which.mclass....7...1."
"607","AT2G04190"
"608","AT2G04265"
"609","AT2G04285"
"610","AT2G04375"
"611","AT2G04455"
"612","AT2G04555"
"613","AT2G04621"
"614","AT2G04790"
"615","AT2G04860"
"616","AT2G04955"
"617","AT2G05665"
"618","AT2G05895"
"619","AT2G06085"
"620","AT2G06345"
"621","AT2G06835"
"622","AT2G07015"
"623","AT2G07042"
"624","AT2G07045"
"625","AT2G07275"
"626","AT2G07335"
"627","AT2G07435"
"628","AT2G07595"
"629","AT2G07644"
"630","AT2G07652"
"631","AT2G07658"
"632","AT2G07659"
"633","AT2G07667"
"634","AT2G07692"
"635","AT2G07721"
"636","AT2G07722"
"637","AT2G07724"
"638","AT2G07732"
"639","AT2G07749"
"640","AT2G07772"
"641","AT2G07774"
"642","AT2G07775"
"643","AT2G07806"
"644","AT2G07827"
"645","AT2G07845"
"646","AT2G07950"
"647","AT2G08060"
"648","AT2G08295"
"649","AT2G08330"
"650","AT2G08460"
"651","AT2G08500"
"652","AT2G08525"
"653","AT2G08570"
"654","AT2G08595"
"655","AT2G08650"
"656","AT2G08655"
"657","AT2G08680"
"658","AT2G08695"
"659","AT2G08735"
"660","AT2G08760"
"661","AT2G08770"
"662","AT2G08820"
"663","AT2G08825"
"664","AT2G08850"
"665","AT2G08870"
"666","AT2G09055"
"667","AT2G09325"
"668","AT2G09420"
"669","AT2G09430"
"670","AT2G09435"
"671","AT2G09505"
"672","AT2G09525"
"673","AT2G09565"
"674","AT2G09650"
"675","AT2G09700"
"676","AT2G09710"
"677","AT2G09735"
"678","AT2G09745"
"679","AT2G09895"
"680","AT2G09905"
"681","AT2G10930"
"682","AT2G11035"
"683","AT2G11215"
"684","AT2G11810"
"685","AT2G12170"
"686","AT2G12461"
"687","AT2G13570"
"688","AT2G13965"
"689","AT2G14095"
"690","AT2G14290"
"691","AT2G14690"
"692","AT2G14775"
"693","AT2G14800"
"694","AT2G15128"
"695","AT2G15340"
"696","AT2G15590"
"697","AT2G15760"
"698","AT2G16245"
"699","AT2G16575"
"700","AT2G16910"
"701","AT2G17036"
"702","AT2G17060"
"703","AT2G17210"
"704","AT2G17680"
"705","AT2G17850"
"706","AT2G18550"
"707","AT2G18640"
"708","AT2G18660"
"709","AT2G18685"
"710","AT2G18917"
"711","AT2G18969"
"712","AT2G18970"
"713","AT2G19150"
"714","AT2G19240"
"715","AT2G19550"
"716","AT2G19610"
"717","AT2G19960"
"718","AT2G20340"
"719","AT2G20380"
"720","AT2G20470"
"721","AT2G20520"
"722","AT2G20825"
"723","AT2G21030"
"724","AT2G21188"
"725","AT2G21320"
"726","AT2G21400"
"727","AT2G21595"
"728","AT2G21960"
"729","AT2G22088"
"730","AT2G22190"
"731","AT2G22200"
"732","AT2G22290"
"733","AT2G22600"
"734","AT2G22750"
"735","AT2G22905"
"736","AT2G22920"
"737","AT2G22980"
"738","AT2G23000"
"739","AT2G23170"
"740","AT2G23270"
"741","AT2G23440"
"742","AT2G23550"
"743","AT2G23970"
"744","AT2G24130"
"745","AT2G24220"
"746","AT2G24270"
"747","AT2G24430"
"748","AT2G24535"
"749","AT2G24560"
"750","AT2G24710"
"751","AT2G24720"
