"","col_c1.which.mclass....9...1."
"906","AT2G07665"
"907","AT2G07674"
"908","AT2G07675"
"909","AT2G07687"
"910","AT2G07706"
"911","AT2G07719"
"912","AT2G07739"
"913","AT2G07773"
"914","AT2G07777"
"915","AT2G07787"
"916","AT2G07850"
"917","AT2G08000"
"918","AT2G08345"
"919","AT2G08435"
"920","AT2G08650"
"921","AT2G08665"
"922","AT2G08685"
"923","AT2G08750"
"924","AT2G09250"
"925","AT2G09465"
"926","AT2G09640"
"927","AT2G09660"
"928","AT2G09945"
"929","AT2G09975"
"930","AT2G11225"
"931","AT2G12462"
"932","AT2G13440"
"933","AT2G13600"
"934","AT2G13660"
"935","AT2G13960"
"936","AT2G14050"
"937","AT2G14095"
"938","AT2G14520"
"939","AT2G14560"
"940","AT2G14620"
"941","AT2G14660"
"942","AT2G15300"
"943","AT2G15310"
"944","AT2G15370"
"945","AT2G15400"
"946","AT2G15440"
"947","AT2G15680"
"948","AT2G15820"
"949","AT2G15980"
"950","AT2G16050"
"951","AT2G16250"
"952","AT2G16385"
"953","AT2G16430"
"954","AT2G16750"
"955","AT2G16760"
"956","AT2G16870"
"957","AT2G16970"
"958","AT2G17260"
"959","AT2G17430"
"960","AT2G17442"
"961","AT2G17525"
"962","AT2G17650"
"963","AT2G17695"
"964","AT2G17787"
"965","AT2G17830"
"966","AT2G17880"
"967","AT2G17940"
"968","AT2G18000"
"969","AT2G18100"
"970","AT2G18450"
"971","AT2G18560"
"972","AT2G18650"
"973","AT2G18680"
"974","AT2G18760"
"975","AT2G18780"
"976","AT2G18890"
"977","AT2G18940"
"978","AT2G18950"
"979","AT2G19120"
"980","AT2G19130"
"981","AT2G19280"
"982","AT2G19440"
"983","AT2G19582"
"984","AT2G20020"
"985","AT2G20110"
"986","AT2G20180"
"987","AT2G20260"
"988","AT2G20290"
"989","AT2G20362"
"990","AT2G20495"
"991","AT2G20540"
"992","AT2G20550"
"993","AT2G20560"
"994","AT2G20770"
"995","AT2G20815"
"996","AT2G21370"
"997","AT2G21540"
"998","AT2G21550"
"999","AT2G21590"
"1000","AT2G21640"
"1001","AT2G21710"
"1002","AT2G21800"
"1003","AT2G21820"
