"","WS_FLT_c1.which.mclass....3...1."
"746","AT1G32340"
"747","AT1G32360"
"748","AT1G32530"
"749","AT1G32583"
"750","AT1G32610"
"751","AT1G32690"
"752","AT1G32730"
"753","AT1G32760"
"754","AT1G32810"
"755","AT1G32928"
"756","AT1G33060"
"757","AT1G33080"
"758","AT1G33170"
"759","AT1G33270"
"760","AT1G33290"
"761","AT1G33390"
"762","AT1G33400"
"763","AT1G33420"
"764","AT1G33480"
"765","AT1G33490"
"766","AT1G33540"
"767","AT1G33610"
"768","AT1G33770"
"769","AT1G33780"
"770","AT1G33970"
"771","AT1G34047"
"772","AT1G34065"
"773","AT1G34150"
"774","AT1G34180"
"775","AT1G34200"
"776","AT1G34210"
"777","AT1G34220"
"778","AT1G34260"
"779","AT1G34270"
"780","AT1G34300"
"781","AT1G34340"
"782","AT1G34355"
"783","AT1G34360"
"784","AT1G34380"
"785","AT1G34470"
"786","AT1G34570"
"787","AT1G34750"
"788","AT1G34760"
"789","AT1G34780"
"790","AT1G35190"
"791","AT1G35220"
"792","AT1G35260"
"793","AT1G35340"
"794","AT1G35460"
"795","AT1G35470"
"796","AT1G35510"
"797","AT1G35610"
"798","AT1G35910"
"799","AT1G36070"
"800","AT1G36320"
"801","AT1G36370"
"802","AT1G36390"
"803","AT1G36640"
"804","AT1G36940"
"805","AT1G36990"
"806","AT1G38131"
"807","AT1G42430"
"808","AT1G42470"
"809","AT1G42540"
"810","AT1G43020"
"811","AT1G43160"
"812","AT1G43560"
"813","AT1G43765"
"814","AT1G44000"
"815","AT1G44050"
"816","AT1G44100"
"817","AT1G44120"
"818","AT1G44125"
"819","AT1G44608"
"820","AT1G44750"
"821","AT1G44780"
"822","AT1G44790"
"823","AT1G44820"
"824","AT1G44920"
"825","AT1G44970"
"826","AT1G45150"
"827","AT1G45160"
"828","AT1G45207"
"829","AT1G45233"
"830","AT1G46768"
"831","AT1G47056"
"832","AT1G47240"
"833","AT1G47270"
"834","AT1G47271"
"835","AT1G47330"
"836","AT1G47340"
"837","AT1G47480"
"838","AT1G47510"
"839","AT1G47600"
"840","AT1G47720"
"841","AT1G47750"
"842","AT1G47870"
"843","AT1G48040"
"844","AT1G48050"
"845","AT1G48270"
"846","AT1G48280"
"847","AT1G48310"
"848","AT1G48330"
"849","AT1G48355"
"850","AT1G48360"
"851","AT1G48370"
"852","AT1G48430"
"853","AT1G48460"
"854","AT1G48480"
"855","AT1G48490"
"856","AT1G48520"
"857","AT1G48560"
"858","AT1G48640"
"859","AT1G48745"
"860","AT1G48770"
"861","AT1G48930"
"862","AT1G48960"
"863","AT1G49230"
"864","AT1G49320"
"865","AT1G49350"
"866","AT1G49360"
"867","AT1G49390"
"868","AT1G49475"
"869","AT1G49510"
"870","AT1G49540"
"871","AT1G49660"
"872","AT1G49670"
"873","AT1G49710"
"874","AT1G49730"
"875","AT1G49780"
"876","AT1G49832"
"877","AT1G49840"
"878","AT1G49870"
"879","AT1G49880"
"880","AT1G49910"
"881","AT1G49980"
"882","AT1G50020"
"883","AT1G50030"
"884","AT1G50055"
"885","AT1G50170"
"886","AT1G50240"
"887","AT1G50300"
"888","AT1G50360"
"889","AT1G50410"
"890","AT1G50440"
"891","AT1G50460"
"892","AT1G50580"
"893","AT1G50700"
"894","AT1G50730"
"895","AT1G50745"
"896","AT1G50890"
"897","AT1G50900"
"898","AT1G50910"
"899","AT1G50940"
"900","AT1G51130"
"901","AT1G51190"
"902","AT1G51310"
"903","AT1G51350"
"904","AT1G51360"
"905","AT1G51380"
"906","AT1G51400"
"907","AT1G51430"
"908","AT1G51450"
"909","AT1G51470"
"910","AT1G51540"
"911","AT1G51550"
"912","AT1G51560"
"913","AT1G51580"
"914","AT1G51610"
"915","AT1G51645"
"916","AT1G51660"
"917","AT1G51720"
"918","AT1G51740"
"919","AT1G51745"
"920","AT1G51800"
"921","AT1G51860"
"922","AT1G51940"
"923","AT1G52130"
"924","AT1G52155"
"925","AT1G52160"
"926","AT1G52190"
"927","AT1G52310"
"928","AT1G52320"
"929","AT1G52330"
"930","AT1G52343"
"931","AT1G52520"
"932","AT1G52550"
"933","AT1G52565"
"934","AT1G52590"
"935","AT1G52630"
"936","AT1G52700"
"937","AT1G52780"
"938","AT1G53035"
"939","AT1G53070"
"940","AT1G53120"
"941","AT1G53130"
"942","AT1G53140"
"943","AT1G53163"
"944","AT1G53165"
"945","AT1G53170"
"946","AT1G53200"
"947","AT1G53250"
"948","AT1G53345"
"949","AT1G53390"
"950","AT1G53440"
"951","AT1G53450"
"952","AT1G53460"
"953","AT1G53470"
"954","AT1G53490"
"955","AT1G53510"
"956","AT1G53520"
"957","AT1G53570"
"958","AT1G53660"
"959","AT1G53670"
"960","AT1G53708"
"961","AT1G53770"
"962","AT1G53780"
"963","AT1G53800"
"964","AT1G53860"
"965","AT1G53880"
"966","AT1G53940"
"967","AT1G54010"
"968","AT1G54110"
"969","AT1G54120"
"970","AT1G54150"
"971","AT1G54180"
"972","AT1G54200"
"973","AT1G54210"
"974","AT1G54217"
"975","AT1G54220"
