"","WS_GC_c1.which.mclass....2...1."
"803","AT1G59730"
"804","AT1G59860"
"805","AT1G60060"
"806","AT1G60110"
"807","AT1G60350"
"808","AT1G60380"
"809","AT1G60505"
"810","AT1G60525"
"811","AT1G60530"
"812","AT1G60720"
"813","AT1G60760"
"814","AT1G60787"
"815","AT1G60970"
"816","AT1G60980"
"817","AT1G60986"
"818","AT1G61080"
"819","AT1G61160"
"820","AT1G61224"
"821","AT1G61226"
"822","AT1G61255"
"823","AT1G61275"
"824","AT1G61290"
"825","AT1G61300"
"826","AT1G61480"
"827","AT1G61566"
"828","AT1G61710"
"829","AT1G61720"
"830","AT1G61920"
"831","AT1G61950"
"832","AT1G62000"
"833","AT1G62030"
"834","AT1G62035"
"835","AT1G62190"
"836","AT1G62240"
"837","AT1G62262"
"838","AT1G62333"
"839","AT1G62360"
"840","AT1G62421"
"841","AT1G62450"
"842","AT1G62490"
"843","AT1G62580"
"844","AT1G62690"
"845","AT1G62760"
"846","AT1G62886"
"847","AT1G62900"
"848","AT1G62915"
"849","AT1G62920"
"850","AT1G63105"
"851","AT1G63140"
"852","AT1G63340"
"853","AT1G63350"
"854","AT1G63370"
"855","AT1G63522"
"856","AT1G63550"
"857","AT1G63600"
"858","AT1G63860"
"859","AT1G63870"
"860","AT1G63880"
"861","AT1G63910"
"862","AT1G63930"
"863","AT1G64000"
"864","AT1G64020"
"865","AT1G64065"
"866","AT1G64130"
"867","AT1G64150"
"868","AT1G64160"
"869","AT1G64195"
"870","AT1G64210"
"871","AT1G64235"
"872","AT1G64253"
"873","AT1G64380"
"874","AT1G64405"
"875","AT1G64500"
"876","AT1G64540"
"877","AT1G64561"
"878","AT1G64584"
"879","AT1G64590"
"880","AT1G64680"
"881","AT1G64710"
"882","AT1G64795"
"883","AT1G65060"
"884","AT1G65150"
"885","AT1G65190"
"886","AT1G65230"
"887","AT1G65240"
"888","AT1G65346"
"889","AT1G65480"
"890","AT1G65483"
"891","AT1G65484"
"892","AT1G65486"
"893","AT1G65490"
"894","AT1G65800"
"895","AT1G65860"
"896","AT1G66000"
"897","AT1G66060"
"898","AT1G66090"
"899","AT1G66170"
"900","AT1G66235"
"901","AT1G66360"
"902","AT1G66460"
"903","AT1G66465"
"904","AT1G66540"
"905","AT1G66600"
"906","AT1G66700"
"907","AT1G66725"
"908","AT1G66840"
"909","AT1G66870"
"910","AT1G66920"
"911","AT1G66940"
"912","AT1G66960"
"913","AT1G66970"
"914","AT1G67020"
"915","AT1G67025"
"916","AT1G67100"
"917","AT1G67195"
"918","AT1G67220"
"919","AT1G67265"
"920","AT1G67365"
"921","AT1G67370"
"922","AT1G67481"
"923","AT1G67520"
"924","AT1G67540"
"925","AT1G67623"
"926","AT1G67635"
"927","AT1G67670"
"928","AT1G67770"
"929","AT1G67856"
"930","AT1G67980"
"931","AT1G68010"
"932","AT1G68090"
"933","AT1G68110"
"934","AT1G68170"
