"","X","WS_GC_c1.which.mclass....2...1."
"3047",3047,"AT4G38770"
"3857",3857,"AT5G62230"
"3276",3276,"AT5G09090"
"1543",1543,"AT2G35384"
"1315",1315,"AT2G15128"
"1600",1600,"AT2G40925"
"3190",3190,"AT5G06010"
"290",290,"AT1G09287"
"82",82,"AT1G04797"
"3192",3192,"AT5G06090"
"1981",1981,"AT3G13857"
"2674",2674,"AT4G10370"
"2689",2689,"AT4G11543"
"1903",1903,"AT3G09162"
"3762",3762,"AT5G54043"
"1241",1241,"AT2G08955"
"1259",1259,"AT2G09440"
"308",308,"AT1G09557"
"1229",1229,"AT2G08740"
"2966",2966,"AT4G32580"
"1805",1805,"AT3G04765"
"706",706,"AT1G51990"
"37",37,"AT1G04037"
"755",755,"AT1G55230"
"3143",3143,"AT5G03715"
"81",81,"AT1G04767"
"1318",1318,"AT2G15340"
"3717",3717,"AT5G50540"
"1108",1108,"AT2G04190"
"1348",1348,"AT2G18490"
"1929",1929,"AT3G09922"
"3054",3054,"AT4G39330"
"1150",1150,"AT2G05965"
"1800",1800,"AT3G04635"
"1951",1951,"AT3G11370"
"1947",1947,"AT3G11110"
"1338",1338,"AT2G17890"
"516",516,"AT1G26420"
"1417",1417,"AT2G24850"
"200",200,"AT1G07287"
"2691",2691,"AT4G11700"
"633",633,"AT1G45165"
"3333",3333,"AT5G13790"
"3600",3600,"AT5G42600"
"271",271,"AT1G08903"
"1539",1539,"AT2G35310"
"1219",1219,"AT2G08530"
"394",394,"AT1G15840"
"2559",2559,"AT4G05100"
"1683",1683,"AT2G47870"
"94",94,"AT1G05047"
"610",610,"AT1G35250"
"1662",1662,"AT2G46440"
"2656",2656,"AT4G09435"
"1609",1609,"AT2G41515"
"1379",1379,"AT2G21650"
"2004",2004,"AT3G15740"
"1909",1909,"AT3G09335"
"1209",1209,"AT2G08375"
"1285",1285,"AT2G09970"
"367",367,"AT1G13400"
"1692",1692,"AT3G01080"
"3512",3512,"AT5G36930"
"1520",1520,"AT2G33230"
"1196",1196,"AT2G07950"
"3674",3674,"AT5G46510"
"898",898,"AT1G66090"
"1175",1175,"AT2G07656"
"2184",2184,"AT3G29190"
"2410",2410,"AT3G59740"
"842",842,"AT1G62490"
"3416",3416,"AT5G22150"
"3828",3828,"AT5G59320"
"2771",2771,"AT4G17565"
"3666",3666,"AT5G46260"
"1406",1406,"AT2G24195"
"2608",2608,"AT4G07205"
"737",737,"AT1G53980"
"1941",1941,"AT3G10710"
"1830",1830,"AT3G05955"
"1339",1339,"AT2G17920"
"3861",3861,"AT5G62490"
"1740",1740,"AT3G02475"
"177",177,"AT1G06587"
"593",593,"AT1G33870"
"2074",2074,"AT3G21890"
"1132",1132,"AT2G05155"
"3139",3139,"AT5G03580"
"747",747,"AT1G54760"
"3036",3036,"AT4G37950"
"1592",1592,"AT2G40010"
"2602",2602,"AT4G07120"
"152",152,"AT1G06148"
"2675",2675,"AT4G10507"
"3906",3906,"ATCG00010"
"1146",1146,"AT2G05765"
"2256",2256,"AT3G46890"
"1365",1365,"AT2G20570"
"1187",1187,"AT2G07728"
"2417",2417,"AT3G60100"
"822",822,"AT1G61255"
"1261",1261,"AT2G09460"
"451",451,"AT1G21250"
"3749",3749,"AT5G53660"
"2842",2842,"AT4G23030"
