"","WS_GC_c1.which.mclass....3...1."
"602","AT1G15140"
"603","AT1G15170"
"604","AT1G15215"
"605","AT1G15220"
"606","AT1G15240"
"607","AT1G15290"
"608","AT1G15310"
"609","AT1G15330"
"610","AT1G15385"
"611","AT1G15405"
"612","AT1G15410"
"613","AT1G15430"
"614","AT1G15470"
"615","AT1G15480"
"616","AT1G15490"
"617","AT1G15550"
"618","AT1G15570"
"619","AT1G15625"
"620","AT1G15660"
"621","AT1G15700"
"622","AT1G15710"
"623","AT1G15760"
"624","AT1G15780"
"625","AT1G15800"
"626","AT1G15820"
"627","AT1G15860"
"628","AT1G15870"
"629","AT1G15880"
"630","AT1G15910"
"631","AT1G15940"
"632","AT1G15970"
"633","AT1G16010"
"634","AT1G16020"
"635","AT1G16030"
"636","AT1G16040"
"637","AT1G16060"
"638","AT1G16070"
"639","AT1G16080"
"640","AT1G16210"
"641","AT1G16220"
"642","AT1G16250"
"643","AT1G16270"
"644","AT1G16280"
"645","AT1G16300"
"646","AT1G16310"
"647","AT1G16320"
"648","AT1G16330"
"649","AT1G16340"
"650","AT1G16400"
"651","AT1G16430"
"652","AT1G16500"
"653","AT1G16520"
"654","AT1G16540"
"655","AT1G16570"
"656","AT1G16590"
"657","AT1G16630"
"658","AT1G16635"
"659","AT1G16650"
"660","AT1G16670"
"661","AT1G16680"
"662","AT1G16690"
"663","AT1G16710"
"664","AT1G16790"
"665","AT1G16800"
"666","AT1G16820"
"667","AT1G16830"
"668","AT1G16916"
"669","AT1G16930"
"670","AT1G17040"
"671","AT1G17050"
"672","AT1G17060"
"673","AT1G17070"
"674","AT1G17090"
"675","AT1G17110"
"676","AT1G17120"
"677","AT1G17140"
"678","AT1G17145"
"679","AT1G17147"
"680","AT1G17160"
"681","AT1G17210"
"682","AT1G17220"
"683","AT1G17270"
"684","AT1G17330"
"685","AT1G17350"
"686","AT1G17360"
"687","AT1G17400"
"688","AT1G17410"
"689","AT1G17430"
"690","AT1G17440"
"691","AT1G17450"
"692","AT1G17455"
"693","AT1G17460"
"694","AT1G17490"
"695","AT1G17500"
"696","AT1G17520"
"697","AT1G17550"
"698","AT1G17560"
"699","AT1G17580"
"700","AT1G17620"
"701","AT1G17640"
"702","AT1G17650"
"703","AT1G17665"
"704","AT1G17680"
"705","AT1G17730"
"706","AT1G17745"
"707","AT1G17760"
"708","AT1G17780"
"709","AT1G17790"
"710","AT1G17850"
"711","AT1G17930"
"712","AT1G17980"
"713","AT1G18010"
"714","AT1G18030"
"715","AT1G18040"
"716","AT1G18060"
"717","AT1G18090"
"718","AT1G18100"
"719","AT1G18150"
"720","AT1G18160"
"721","AT1G18180"
"722","AT1G18190"
"723","AT1G18193"
"724","AT1G18260"
"725","AT1G18270"
"726","AT1G18290"
"727","AT1G18300"
"728","AT1G18330"
"729","AT1G18335"
"730","AT1G18340"
"731","AT1G18360"
"732","AT1G18370"
"733","AT1G18390"
"734","AT1G18415"
"735","AT1G18440"
"736","AT1G18460"
"737","AT1G18490"
"738","AT1G18550"
"739","AT1G18580"
"740","AT1G18590"
"741","AT1G18600"
"742","AT1G18610"
"743","AT1G18620"
"744","AT1G18630"
"745","AT1G18650"
"746","AT1G18660"
"747","AT1G18680"
"748","AT1G18690"
"749","AT1G18700"
"750","AT1G18740"
"751","AT1G18745"
"752","AT1G18900"
"753","AT1G18910"
"754","AT1G18950"
"755","AT1G18975"
"756","AT1G18980"
"757","AT1G19010"
"758","AT1G19020"
"759","AT1G19100"
"760","AT1G19110"
"761","AT1G19140"
"762","AT1G19170"
"763","AT1G19220"
"764","AT1G19240"
"765","AT1G19270"
"766","AT1G19290"
"767","AT1G19300"
"768","AT1G19310"
"769","AT1G19340"
"770","AT1G19370"
"771","AT1G19430"
"772","AT1G19440"
"773","AT1G19450"
"774","AT1G19480"
"775","AT1G19485"
"776","AT1G19490"
"777","AT1G19540"
"778","AT1G19690"
"779","AT1G19710"
"780","AT1G19730"
"781","AT1G19740"
"782","AT1G19770"
"783","AT1G19860"
"784","AT1G19950"
"785","AT1G19968"
"786","AT1G19970"
"787","AT1G19980"
"788","AT1G20060"
"789","AT1G20070"
"790","AT1G20110"
"791","AT1G20225"
"792","AT1G20270"
"793","AT1G20300"
"794","AT1G20340"
"795","AT1G20380"
"796","AT1G20410"
"797","AT1G20460"
"798","AT1G20480"
"799","AT1G20510"
"800","AT1G20540"
"801","AT1G20550"
"802","AT1G20560"
"803","AT1G20575"
"804","AT1G20610"
"805","AT1G20620"
"806","AT1G20640"
"807","AT1G20670"
"808","AT1G20700"
"809","AT1G20760"
"810","AT1G20780"
"811","AT1G20816"
"812","AT1G20823"
"813","AT1G20830"
"814","AT1G20880"
"815","AT1G20890"
"816","AT1G20910"
"817","AT1G20930"
"818","AT1G21010"
"819","AT1G21070"
"820","AT1G21110"
"821","AT1G21140"
"822","AT1G21160"
"823","AT1G21170"
"824","AT1G21200"
"825","AT1G21270"
"826","AT1G21280"
"827","AT1G21340"
"828","AT1G21350"
"829","AT1G21370"
"830","AT1G21380"
"831","AT1G21410"
"832","AT1G21440"
"833","AT1G21480"
"834","AT1G21530"
"835","AT1G21560"
"836","AT1G21580"
"837","AT1G21600"
"838","AT1G21610"
"839","AT1G21640"
"840","AT1G21650"
"841","AT1G21660"
"842","AT1G21700"
"843","AT1G21730"
"844","AT1G21740"
"845","AT1G21760"
"846","AT1G21790"
"847","AT1G21840"
"848","AT1G21920"
"849","AT1G21980"
"850","AT1G22020"
"851","AT1G22040"
"852","AT1G22050"
"853","AT1G22060"
"854","AT1G22065"
"855","AT1G22070"
