"","phyD_FLT_c1.which.mclass....3...1."
"590","AT1G45332"
"591","AT1G46768"
"592","AT1G47210"
"593","AT1G47230"
"594","AT1G47270"
"595","AT1G47310"
"596","AT1G47380"
"597","AT1G47410"
"598","AT1G47500"
"599","AT1G47550"
"600","AT1G47710"
"601","AT1G47820"
"602","AT1G47840"
"603","AT1G48090"
"604","AT1G48110"
"605","AT1G48175"
"606","AT1G48210"
"607","AT1G48240"
"608","AT1G48315"
"609","AT1G48320"
"610","AT1G48380"
"611","AT1G48430"
"612","AT1G48450"
"613","AT1G48490"
"614","AT1G48510"
"615","AT1G48550"
"616","AT1G48570"
"617","AT1G48605"
"618","AT1G48610"
"619","AT1G48635"
"620","AT1G48650"
"621","AT1G48860"
"622","AT1G48900"
"623","AT1G48950"
"624","AT1G48970"
"625","AT1G49040"
"626","AT1G49170"
"627","AT1G49340"
"628","AT1G49360"
"629","AT1G49470"
"630","AT1G49510"
"631","AT1G49580"
"632","AT1G49670"
"633","AT1G49890"
"634","AT1G50110"
"635","AT1G50120"
"636","AT1G50140"
"637","AT1G50380"
"638","AT1G50410"
"639","AT1G50420"
"640","AT1G50440"
"641","AT1G50500"
"642","AT1G50510"
"643","AT1G50520"
"644","AT1G50560"
"645","AT1G50575"
"646","AT1G50620"
"647","AT1G50630"
"648","AT1G50940"
"649","AT1G51170"
"650","AT1G51390"
"651","AT1G51540"
"652","AT1G51560"
"653","AT1G51590"
"654","AT1G51600"
"655","AT1G51830"
"656","AT1G51860"
"657","AT1G51950"
"658","AT1G52150"
"659","AT1G52245"
"660","AT1G52310"
"661","AT1G52340"
"662","AT1G52347"
"663","AT1G52370"
"664","AT1G52500"
"665","AT1G52730"
"666","AT1G53030"
"667","AT1G53040"
"668","AT1G53050"
"669","AT1G53180"
"670","AT1G53190"
"671","AT1G53280"
"672","AT1G53290"
"673","AT1G53300"
"674","AT1G53400"
"675","AT1G53470"
"676","AT1G53500"
"677","AT1G53510"
"678","AT1G53530"
"679","AT1G53570"
"680","AT1G53590"
"681","AT1G53645"
"682","AT1G53680"
"683","AT1G53710"
"684","AT1G53720"
"685","AT1G53730"
"686","AT1G53880"
"687","AT1G54060"
"688","AT1G54090"
"689","AT1G54115"
"690","AT1G54120"
"691","AT1G54130"
"692","AT1G54140"
"693","AT1G54150"
"694","AT1G54170"
"695","AT1G54340"
"696","AT1G54440"
"697","AT1G54490"
"698","AT1G54510"
"699","AT1G54710"
"700","AT1G54730"
"701","AT1G54740"
"702","AT1G54770"
"703","AT1G54920"
"704","AT1G54990"
"705","AT1G55000"
"706","AT1G55080"
"707","AT1G55090"
"708","AT1G55150"
"709","AT1G55152"
"710","AT1G55205"
"711","AT1G55430"
"712","AT1G55450"
"713","AT1G55490"
"714","AT1G55500"
