"","X","WS_GC_c1.which.mclass....5...1."
"1262",1262,"AT1G75670"
"2854",2854,"AT3G27200"
"5358",5358,"AT5G65920"
"697",697,"AT1G32370"
"2227",2227,"AT3G01560"
"2865",2865,"AT3G27820"
"1440",1440,"AT2G03240"
"4751",4751,"AT5G38640"
"1457",1457,"AT2G04305"
"2583",2583,"AT3G14860"
"1785",1785,"AT2G28310"
"1806",1806,"AT2G28890"
"2634",2634,"AT3G16857"
"1975",1975,"AT2G38090"
"4799",4799,"AT5G41400"
"3902",3902,"AT4G32551"
"373",373,"AT1G15140"
"1620",1620,"AT2G20670"
"552",552,"AT1G23800"
"377",377,"AT1G15385"
"5346",5346,"AT5G65530"
"3793",3793,"AT4G27745"
"2636",2636,"AT3G16920"
"269",269,"AT1G10900"
"3626",3626,"AT4G19120"
"4002",4002,"AT4G36400"
"2505",2505,"AT3G12360"
"673",673,"AT1G30760"
"2949",2949,"AT3G47640"
"4221",4221,"AT5G06130"
"283",283,"AT1G11450"
"387",387,"AT1G15810"
"2722",2722,"AT3G20640"
"3308",3308,"AT4G00238"
"2812",2812,"AT3G25290"
"2669",2669,"AT3G18510"
"2561",2561,"AT3G14067"
"3590",3590,"AT4G17230"
"291",291,"AT1G11890"
"85",85,"AT1G04590"
"3720",3720,"AT4G24740"
"2387",2387,"AT3G07750"
"4253",4253,"AT5G07580"
"4423",4423,"AT5G14910"
"4489",4489,"AT5G18100"
"5214",5214,"AT5G60490"
"4195",4195,"AT5G05000"
"959",959,"AT1G58080"
"2247",2247,"AT3G02460"
"553",553,"AT1G23850"
"1415",1415,"AT2G01830"
"2791",2791,"AT3G24350"
"2659",2659,"AT3G18060"
"5300",5300,"AT5G63850"
"5310",5310,"AT5G64030"
"3756",3756,"AT4G26210"
"4960",4960,"AT5G48720"
"2092",2092,"AT2G43420"
"575",575,"AT1G25510"
"2827",2827,"AT3G26340"
"267",267,"AT1G10865"
"4092",4092,"AT4G39660"
"4046",4046,"AT4G37740"
"652",652,"AT1G29520"
"3419",3419,"AT4G05590"
"227",227,"AT1G09290"
"110",110,"AT1G05410"
"4039",4039,"AT4G37490"
"1141",1141,"AT1G70210"
"4279",4279,"AT5G09300"
"602",602,"AT1G27000"
"3561",3561,"AT4G16155"
"5138",5138,"AT5G57370"
"3667",3667,"AT4G21840"
"3557",3557,"AT4G15940"
"3867",3867,"AT4G31100"
"4349",4349,"AT5G12050"
"3267",3267,"AT3G62310"
"4930",4930,"AT5G47720"
"648",648,"AT1G29330"
"2254",2254,"AT3G02740"
