"","WS_GC_c1.which.mclass....5...1."
"616","AT1G27520"
"617","AT1G27600"
"618","AT1G27670"
"619","AT1G27760"
"620","AT1G27770"
"621","AT1G27930"
"622","AT1G27950"
"623","AT1G28060"
"624","AT1G28110"
"625","AT1G28120"
"626","AT1G28130"
"627","AT1G28140"
"628","AT1G28190"
"629","AT1G28200"
"630","AT1G28280"
"631","AT1G28310"
"632","AT1G28340"
"633","AT1G28350"
"634","AT1G28395"
"635","AT1G28400"
"636","AT1G28420"
"637","AT1G28490"
"638","AT1G28510"
"639","AT1G28520"
"640","AT1G28540"
"641","AT1G28680"
"642","AT1G28960"
"643","AT1G29030"
"644","AT1G29040"
"645","AT1G29120"
"646","AT1G29260"
"647","AT1G29320"
"648","AT1G29330"
"649","AT1G29370"
"650","AT1G29400"
"651","AT1G29418"
"652","AT1G29520"
"653","AT1G29535"
"654","AT1G29640"
"655","AT1G29785"
"656","AT1G29790"
"657","AT1G29810"
"658","AT1G29820"
"659","AT1G29890"
"660","AT1G29940"
"661","AT1G30000"
"662","AT1G30070"
"663","AT1G30080"
"664","AT1G30110"
"665","AT1G30240"
"666","AT1G30270"
"667","AT1G30300"
"668","AT1G30330"
"669","AT1G30400"
"670","AT1G30470"
"671","AT1G30590"
"672","AT1G30690"
"673","AT1G30760"
"674","AT1G30890"
"675","AT1G30900"
"676","AT1G30910"
"677","AT1G30960"
"678","AT1G31020"
"679","AT1G31050"
"680","AT1G31160"
"681","AT1G31170"
"682","AT1G31300"
"683","AT1G31420"
"684","AT1G31730"
"685","AT1G31760"
"686","AT1G31780"
"687","AT1G31830"
"688","AT1G31935"
"689","AT1G31940"
"690","AT1G32090"
"691","AT1G32127"
"692","AT1G32130"
"693","AT1G32190"
"694","AT1G32240"
"695","AT1G32260"
"696","AT1G32310"
"697","AT1G32370"
"698","AT1G32380"
"699","AT1G32410"
"700","AT1G32440"
"701","AT1G32490"
"702","AT1G32690"
"703","AT1G32750"
"704","AT1G32870"
"705","AT1G32928"
"706","AT1G32930"
"707","AT1G32990"
"708","AT1G33050"
"709","AT1G33055"
"710","AT1G33110"
"711","AT1G33230"
"712","AT1G33240"
"713","AT1G33250"
"714","AT1G33265"
"715","AT1G33410"
"716","AT1G33520"
"717","AT1G33590"
"718","AT1G33680"
"719","AT1G33700"
"720","AT1G33790"
"721","AT1G33800"
"722","AT1G33810"
"723","AT1G33980"
"724","AT1G33990"
"725","AT1G34010"
"726","AT1G34020"
"727","AT1G34110"
"728","AT1G34130"
"729","AT1G34190"
"730","AT1G34320"
"731","AT1G34350"
"732","AT1G34370"
"733","AT1G34430"
"734","AT1G34550"
"735","AT1G34630"
"736","AT1G34770"
"737","AT1G35190"
"738","AT1G35220"
"739","AT1G35516"
"740","AT1G35620"
"741","AT1G35670"
"742","AT1G35680"
"743","AT1G36160"
"744","AT1G36280"
"745","AT1G36370"
"746","AT1G36380"
"747","AT1G41830"
"748","AT1G42430"
"749","AT1G42440"
"750","AT1G42480"
"751","AT1G42990"
"752","AT1G43580"
"753","AT1G43650"
"754","AT1G43670"
"755","AT1G43690"
"756","AT1G43700"
"757","AT1G43850"
"758","AT1G43860"
"759","AT1G43900"
"760","AT1G43910"
"761","AT1G44110"
"762","AT1G44170"
"763","AT1G44180"
"764","AT1G44608"
"765","AT1G44760"
"766","AT1G44770"
"767","AT1G44810"
"768","AT1G44820"
"769","AT1G44835"
"770","AT1G44900"
"771","AT1G44910"
"772","AT1G45015"
"773","AT1G45050"
"774","AT1G45130"
"775","AT1G45170"
"776","AT1G45332"
"777","AT1G45688"
"778","AT1G45976"
"779","AT1G46264"
"780","AT1G46554"
"781","AT1G46768"
"782","AT1G47210"
"783","AT1G47230"
"784","AT1G47250"
"785","AT1G47290"
"786","AT1G47310"
"787","AT1G47380"
"788","AT1G47410"
"789","AT1G47480"
"790","AT1G47530"
"791","AT1G47550"
"792","AT1G47710"
"793","AT1G47820"
"794","AT1G47840"
"795","AT1G47900"
"796","AT1G47960"
"797","AT1G47970"
"798","AT1G48070"
"799","AT1G48110"
"800","AT1G48140"
"801","AT1G48170"
"802","AT1G48200"
"803","AT1G48210"
"804","AT1G48230"
"805","AT1G48240"
"806","AT1G48350"
"807","AT1G48420"
"808","AT1G48450"
"809","AT1G48510"
"810","AT1G48570"
"811","AT1G48610"
"812","AT1G48620"
"813","AT1G48635"
"814","AT1G48650"
"815","AT1G48790"
"816","AT1G48850"
"817","AT1G48860"
"818","AT1G48900"
"819","AT1G48950"
"820","AT1G49032"
"821","AT1G49040"
"822","AT1G49050"
"823","AT1G49400"
"824","AT1G49500"
"825","AT1G49570"
"826","AT1G49580"
"827","AT1G49590"
"828","AT1G49660"
"829","AT1G49740"
"830","AT1G49820"
"831","AT1G49850"
"832","AT1G49890"
"833","AT1G49950"
"834","AT1G49970"
"835","AT1G50050"
"836","AT1G50110"
"837","AT1G50140"
"838","AT1G50320"
"839","AT1G50380"
"840","AT1G50410"
"841","AT1G50420"
"842","AT1G50480"
"843","AT1G50500"
"844","AT1G50560"
"845","AT1G50570"
"846","AT1G50575"
"847","AT1G50600"
"848","AT1G50620"
"849","AT1G50640"
"850","AT1G50710"
"851","AT1G51390"
"852","AT1G51420"
"853","AT1G51570"
"854","AT1G51590"
"855","AT1G51600"
"856","AT1G51630"
"857","AT1G51690"
"858","AT1G51710"
"859","AT1G51760"
"860","AT1G51950"
"861","AT1G52150"
"862","AT1G52245"
"863","AT1G52280"
"864","AT1G52340"
"865","AT1G52342"
"866","AT1G52360"
"867","AT1G52370"
"868","AT1G52420"
"869","AT1G52500"
"870","AT1G52540"
"871","AT1G52710"
"872","AT1G52730"
"873","AT1G52750"
"874","AT1G53000"
"875","AT1G53030"
"876","AT1G53040"
"877","AT1G53180"
"878","AT1G53190"
"879","AT1G53280"
"880","AT1G53290"
"881","AT1G53300"
"882","AT1G53320"
"883","AT1G53380"
"884","AT1G53400"
"885","AT1G53500"
"886","AT1G53530"
"887","AT1G53590"
"888","AT1G53645"
"889","AT1G53680"
"890","AT1G53710"
"891","AT1G53720"
"892","AT1G53730"
"893","AT1G53780"
"894","AT1G53830"
"895","AT1G53840"
"896","AT1G53920"
"897","AT1G54010"
"898","AT1G54030"
"899","AT1G54060"
"900","AT1G54090"
"901","AT1G54130"
"902","AT1G54170"
"903","AT1G54250"
"904","AT1G54360"
"905","AT1G54370"
"906","AT1G54380"
"907","AT1G54385"
"908","AT1G54390"
"909","AT1G54460"
"910","AT1G54490"
"911","AT1G54610"
"912","AT1G54770"
"913","AT1G54830"
"914","AT1G54890"
"915","AT1G54920"
"916","AT1G54990"
"917","AT1G55000"
"918","AT1G55080"
"919","AT1G55150"
"920","AT1G55190"
"921","AT1G55210"
"922","AT1G55310"
"923","AT1G55340"
"924","AT1G55450"
"925","AT1G55490"
"926","AT1G55500"
"927","AT1G55510"
"928","AT1G55520"
"929","AT1G55530"
"930","AT1G55535"
"931","AT1G55680"
"932","AT1G55690"
"933","AT1G55730"
"934","AT1G55805"
"935","AT1G55820"
"936","AT1G55860"
"937","AT1G55880"
"938","AT1G55890"
"939","AT1G55900"
"940","AT1G56010"
"941","AT1G56080"
"942","AT1G56190"
"943","AT1G56200"
"944","AT1G56230"
"945","AT1G56423"
"946","AT1G56430"
"947","AT1G56460"
"948","AT1G56660"
"949","AT1G56680"
"950","AT1G57540"
"951","AT1G57610"
"952","AT1G57765"
"953","AT1G57860"
"954","AT1G57990"
"955","AT1G58025"
"956","AT1G58030"
"957","AT1G58060"
"958","AT1G58070"
"959","AT1G58080"
"960","AT1G58100"
"961","AT1G58110"
"962","AT1G58180"
"963","AT1G58280"
"964","AT1G58350"
"965","AT1G58440"
"966","AT1G59580"
"967","AT1G59600"
"968","AT1G59760"
"969","AT1G59830"
"970","AT1G59900"
"971","AT1G60070"
"972","AT1G60080"
"973","AT1G60140"
