"","col_FLT_c1.which.mclass....9...1."
"487","AT2G20710"
"488","AT2G20770"
"489","AT2G20950"
"490","AT2G21370"
"491","AT2G21550"
"492","AT2G21830"
"493","AT2G22620"
"494","AT2G22740"
"495","AT2G22830"
"496","AT2G22910"
"497","AT2G23093"
"498","AT2G23470"
"499","AT2G23520"
"500","AT2G23610"
"501","AT2G23690"
"502","AT2G23755"
"503","AT2G24120"
"504","AT2G24350"
"505","AT2G24520"
"506","AT2G24530"
"507","AT2G24592"
"508","AT2G24690"
"509","AT2G24960"
"510","AT2G25050"
"511","AT2G25320"
"512","AT2G25350"
"513","AT2G25560"
"514","AT2G25590"
"515","AT2G25690"
"516","AT2G26030"
"517","AT2G26180"
"518","AT2G26310"
"519","AT2G27760"
"520","AT2G27800"
"521","AT2G27930"
"522","AT2G28100"
"523","AT2G28260"
"524","AT2G28470"
"525","AT2G28590"
"526","AT2G28940"
"527","AT2G28960"
"528","AT2G29065"
"529","AT2G29680"
"530","AT2G29970"
"531","AT2G30150"
"532","AT2G30320"
"533","AT2G30480"
"534","AT2G30505"
"535","AT2G30720"
"536","AT2G30960"
"537","AT2G31010"
"538","AT2G31150"
"539","AT2G31190"
"540","AT2G31320"
"541","AT2G31340"
"542","AT2G31650"
"543","AT2G32010"
"544","AT2G32179"
"545","AT2G32295"
"546","AT2G32400"
"547","AT2G32430"
"548","AT2G32500"
"549","AT2G32590"
"550","AT2G32840"
"551","AT2G33051"
"552","AT2G33290"
"553","AT2G33360"
"554","AT2G33500"
"555","AT2G33540"
"556","AT2G33550"
"557","AT2G33680"
"558","AT2G33980"
"559","AT2G34450"
"560","AT2G34670"
"561","AT2G35035"
"562","AT2G35160"
"563","AT2G35170"
"564","AT2G35350"
"565","AT2G35430"
"566","AT2G35450"
"567","AT2G35500"
"568","AT2G35540"
"569","AT2G35612"
"570","AT2G35690"
"571","AT2G35738"
"572","AT2G35750"
"573","AT2G36010"
"574","AT2G36050"
"575","AT2G36370"
"576","AT2G36840"
"577","AT2G36885"
"578","AT2G37210"
"579","AT2G37310"
"580","AT2G37360"
"581","AT2G37362"
"582","AT2G37540"
"583","AT2G37650"
"584","AT2G37710"
"585","AT2G37930"
"586","AT2G37980"
"587","AT2G38185"
"588","AT2G38320"
"589","AT2G38420"
"590","AT2G38570"
"591","AT2G39120"
"592","AT2G39180"
"593","AT2G39675"
"594","AT2G39880"
"595","AT2G39910"
"596","AT2G40008"
"597","AT2G40030"
"598","AT2G40150"
"599","AT2G40330"
"600","AT2G40420"
"601","AT2G40480"
"602","AT2G40690"
"603","AT2G40810"
"604","AT2G41300"
"605","AT2G41330"
"606","AT2G41550"
"607","AT2G41720"
"608","AT2G41770"
"609","AT2G41820"
"610","AT2G41830"
"611","AT2G41880"
"612","AT2G42010"
"613","AT2G42130"
"614","AT2G42170"
"615","AT2G42247"
"616","AT2G42260"
"617","AT2G42270"
"618","AT2G42290"
"619","AT2G42365"
"620","AT2G42950"
"621","AT2G43050"
"622","AT2G43200"
"623","AT2G43235"
"624","AT2G43850"
"625","AT2G43880"
"626","AT2G43990"
"627","AT2G44190"
"628","AT2G44260"
"629","AT2G44280"
"630","AT2G44460"
"631","AT2G44850"
"632","AT2G44900"
"633","AT2G44980"
"634","AT2G45150"
"635","AT2G45270"
"636","AT2G45530"
"637","AT2G45660"
"638","AT2G45750"
"639","AT2G45770"
"640","AT2G45870"
"641","AT2G45880"
"642","AT2G46210"
"643","AT2G46320"
"644","AT2G46760"
"645","AT2G46820"
"646","AT2G46915"
"647","AT2G46970"
"648","AT2G48110"
"649","AT3G01142"
"650","AT3G01180"
"651","AT3G01202"
"652","AT3G01350"
"653","AT3G01480"
"654","AT3G01515"
"655","AT3G01710"
"656","AT3G01750"
"657","AT3G01920"
"658","AT3G02050"
"659","AT3G02060"
"660","AT3G02130"
"661","AT3G02140"
"662","AT3G02400"
"663","AT3G02410"
"664","AT3G02680"
"665","AT3G02690"
"666","AT3G02890"
"667","AT3G03460"
"668","AT3G03470"
"669","AT3G03535"
"670","AT3G03650"
"671","AT3G03680"
"672","AT3G03700"
"673","AT3G03702"
"674","AT3G03710"
"675","AT3G03900"
"676","AT3G04160"
"677","AT3G04260"
"678","AT3G04650"
"679","AT3G04690"
"680","AT3G05410"
"681","AT3G05480"
"682","AT3G05750"
"683","AT3G05932"
"684","AT3G05945"
"685","AT3G05980"
"686","AT3G06030"
"687","AT3G06150"
"688","AT3G06210"
"689","AT3G06460"
"690","AT3G06480"
"691","AT3G06910"
"692","AT3G07060"
"693","AT3G07080"
"694","AT3G07400"
"695","AT3G07530"
"696","AT3G07550"
"697","AT3G07930"
"698","AT3G07980"
"699","AT3G08020"
"700","AT3G08590"
"701","AT3G08840"
"702","AT3G09020"
"703","AT3G09070"
"704","AT3G09560"
"705","AT3G09600"
"706","AT3G09650"
"707","AT3G09710"
"708","AT3G09730"
"709","AT3G09910"
"710","AT3G10040"
"711","AT3G10070"
"712","AT3G10180"
"713","AT3G10310"
"714","AT3G10710"
"715","AT3G11240"
"716","AT3G11440"
"717","AT3G11570"
"718","AT3G11850"
"719","AT3G11950"
"720","AT3G12320"
"721","AT3G12510"
"722","AT3G12520"
"723","AT3G12550"
"724","AT3G12580"
"725","AT3G13061"
"726","AT3G13090"
"727","AT3G13380"
"728","AT3G13480"
"729","AT3G13700"
"730","AT3G14510"
"731","AT3G14540"
"732","AT3G14780"
"733","AT3G15140"
"734","AT3G15550"
"735","AT3G15720"
"736","AT3G15890"
"737","AT3G15990"
"738","AT3G16000"
"739","AT3G16010"
"740","AT3G16260"
"741","AT3G16410"
"742","AT3G16750"
"743","AT3G17470"
"744","AT3G17580"
"745","AT3G17680"
"746","AT3G17730"
"747","AT3G17740"
"748","AT3G17920"
"749","AT3G17950"
"750","AT3G18100"
"751","AT3G18320"
"752","AT3G18630"
"753","AT3G18660"
"754","AT3G18710"
"755","AT3G18730"
"756","AT3G18750"
"757","AT3G18970"
"758","AT3G19210"
"759","AT3G19250"
"760","AT3G19280"
"761","AT3G19300"
"762","AT3G19330"
"763","AT3G19570"
"764","AT3G20440"
"765","AT3G20480"
"766","AT3G20720"
"767","AT3G20910"
"768","AT3G20935"
"769","AT3G21180"
"770","AT3G21330"
"771","AT3G21580"
"772","AT3G21600"
"773","AT3G21750"
"774","AT3G22670"
"775","AT3G22760"
"776","AT3G22900"
"777","AT3G23370"
"778","AT3G23530"
"779","AT3G24090"
"780","AT3G24110"
"781","AT3G24150"
"782","AT3G24190"
"783","AT3G24320"
"784","AT3G24463"
"785","AT3G24480"
"786","AT3G24495"
"787","AT3G24760"
"788","AT3G24840"
"789","AT3G25410"
"790","AT3G25480"
"791","AT3G25560"
"792","AT3G25700"
"793","AT3G25830"
"794","AT3G26050"
"795","AT3G26612"
"796","AT3G26782"
"797","AT3G26830"
"798","AT3G27010"
"799","AT3G27180"
"800","AT3G27490"
"801","AT3G27670"
"802","AT3G28030"
"803","AT3G28040"
"804","AT3G28650"
"805","AT3G28760"
"806","AT3G28930"
"807","AT3G29010"
"808","AT3G29375"
"809","AT3G29400"
"810","AT3G42630"
"811","AT3G42640"
"812","AT3G42670"
"813","AT3G43670"
"814","AT3G43790"
"815","AT3G43920"
"816","AT3G43960"
"817","AT3G44120"
"818","AT3G44670"
"819","AT3G44850"
"820","AT3G44940"
"821","AT3G45210"
"822","AT3G45420"
"823","AT3G45720"
"824","AT3G45750"
"825","AT3G46400"
"826","AT3G46658"
"827","AT3G46790"
"828","AT3G46810"
"829","AT3G46920"
"830","AT3G46950"
"831","AT3G47080"
"832","AT3G47390"
"833","AT3G47700"
"834","AT3G47820"
"835","AT3G47830"
"836","AT3G48120"
"837","AT3G48190"
"838","AT3G48250"
"839","AT3G48260"
"840","AT3G48340"
"841","AT3G48400"
"842","AT3G48425"
"843","AT3G48470"
"844","AT3G48500"
"845","AT3G49000"
"846","AT3G49060"
"847","AT3G49140"
"848","AT3G49330"
"849","AT3G49370"
"850","AT3G49400"
"851","AT3G49410"
"852","AT3G49725"
"853","AT3G49730"
"854","AT3G49920"
"855","AT3G50100"
"856","AT3G50150"
"857","AT3G50230"
"858","AT3G50240"
"859","AT3G50290"
"860","AT3G50380"
"861","AT3G50430"
"862","AT3G50630"
"863","AT3G50850"
"864","AT3G51320"
"865","AT3G51470"
"866","AT3G51480"
"867","AT3G51650"
"868","AT3G51750"
"869","AT3G51930"
"870","AT3G51940"
"871","AT3G51970"
"872","AT3G52115"
"873","AT3G52370"
"874","AT3G52460"
"875","AT3G52680"
"876","AT3G53010"
"877","AT3G53090"
"878","AT3G53450"
"879","AT3G53510"
"880","AT3G53700"
"881","AT3G53810"
"882","AT3G53950"
