"","col_FLT_c1.which.mclass....9...1."
"1120","AT2G19430"
"1121","AT2G19450"
"1122","AT2G19460"
"1123","AT2G19470"
"1124","AT2G19560"
"1125","AT2G19570"
"1126","AT2G19572"
"1127","AT2G19590"
"1128","AT2G19600"
"1129","AT2G19640"
"1130","AT2G19670"
"1131","AT2G19680"
"1132","AT2G19880"
"1133","AT2G19940"
"1134","AT2G19950"
"1135","AT2G20330"
"1136","AT2G20370"
"1137","AT2G20390"
"1138","AT2G20562"
"1139","AT2G20610"
"1140","AT2G20670"
"1141","AT2G20750"
"1142","AT2G20780"
"1143","AT2G20830"
"1144","AT2G20840"
"1145","AT2G20860"
"1146","AT2G20920"
"1147","AT2G20940"
"1148","AT2G20960"
"1149","AT2G21120"
"1150","AT2G21130"
"1151","AT2G21150"
"1152","AT2G21180"
"1153","AT2G21195"
"1154","AT2G21240"
"1155","AT2G21270"
"1156","AT2G21300"
"1157","AT2G21340"
"1158","AT2G21410"
"1159","AT2G21440"
"1160","AT2G21470"
"1161","AT2G21790"
"1162","AT2G21970"
"1163","AT2G22000"
"1164","AT2G22120"
"1165","AT2G22250"
"1166","AT2G22300"
"1167","AT2G22450"
"1168","AT2G22475"
"1169","AT2G22480"
"1170","AT2G22490"
"1171","AT2G22500"
"1172","AT2G22540"
"1173","AT2G22630"
"1174","AT2G22660"
"1175","AT2G22720"
"1176","AT2G22840"
"1177","AT2G22880"
"1178","AT2G22900"
"1179","AT2G22970"
"1180","AT2G23050"
"1181","AT2G23380"
"1182","AT2G23420"
"1183","AT2G23540"
"1184","AT2G23790"
"1185","AT2G23820"
"1186","AT2G23980"
"1187","AT2G24040"
"1188","AT2G24060"
"1189","AT2G24100"
"1190","AT2G24170"
"1191","AT2G24180"
"1192","AT2G24240"
"1193","AT2G24280"
"1194","AT2G24290"
"1195","AT2G24300"
"1196","AT2G24420"
"1197","AT2G24490"
"1198","AT2G24500"
"1199","AT2G24590"
"1200","AT2G24640"
"1201","AT2G24755"
"1202","AT2G24790"
"1203","AT2G25170"
"1204","AT2G25180"
"1205","AT2G25260"
"1206","AT2G25460"
