"","col_FLT_c1.which.mclass....5...1."
"601","AT1G52618"
"602","AT1G52620"
"603","AT1G52660"
"604","AT1G53025"
"605","AT1G53330"
"606","AT1G53340"
"607","AT1G53345"
"608","AT1G53350"
"609","AT1G53430"
"610","AT1G53542"
"611","AT1G53660"
"612","AT1G53700"
"613","AT1G53790"
"614","AT1G53887"
"615","AT1G53950"
"616","AT1G53970"
"617","AT1G53980"
"618","AT1G54050"
"619","AT1G54110"
"620","AT1G54200"
"621","AT1G54350"
"622","AT1G54400"
"623","AT1G54450"
"624","AT1G54540"
"625","AT1G54575"
"626","AT1G54790"
"627","AT1G54840"
"628","AT1G54970"
"629","AT1G55020"
"630","AT1G55040"
"631","AT1G55050"
"632","AT1G55110"
"633","AT1G55180"
"634","AT1G55200"
"635","AT1G55265"
"636","AT1G55280"
"637","AT1G55320"
"638","AT1G55370"
"639","AT1G55380"
"640","AT1G55390"
"641","AT1G55420"
"642","AT1G55475"
"643","AT1G55610"
"644","AT1G55700"
"645","AT1G55910"
"646","AT1G55915"
"647","AT1G55930"
"648","AT1G55940"
"649","AT1G55970"
"650","AT1G55990"
"651","AT1G56170"
"652","AT1G56240"
"653","AT1G56310"
"654","AT1G56345"
"655","AT1G56350"
"656","AT1G56500"
"657","AT1G56560"
"658","AT1G56630"
"659","AT1G56670"
"660","AT1G57590"
"661","AT1G57700"
"662","AT1G57790"
"663","AT1G58037"
"664","AT1G58160"
"665","AT1G58200"
"666","AT1G58223"
"667","AT1G58420"
"668","AT1G58520"
"669","AT1G58590"
"670","AT1G58643"
"671","AT1G59171"
"672","AT1G59312"
"673","AT1G59510"
"674","AT1G59560"
"675","AT1G59660"
"676","AT1G59700"
"677","AT1G59730"
"678","AT1G59840"
"679","AT1G59940"
"680","AT1G59970"
"681","AT1G59980"
"682","AT1G60000"
"683","AT1G60095"
"684","AT1G60110"
"685","AT1G60130"
"686","AT1G60160"
"687","AT1G60190"
"688","AT1G60390"
"689","AT1G60505"
"690","AT1G60525"
"691","AT1G60550"
"692","AT1G60560"
"693","AT1G60690"
"694","AT1G60700"
"695","AT1G60790"
"696","AT1G60870"
"697","AT1G60890"
"698","AT1G60930"
"699","AT1G60950"
"700","AT1G61000"
"701","AT1G61050"
"702","AT1G61180"
"703","AT1G61190"
"704","AT1G61215"
"705","AT1G61260"
"706","AT1G61280"
"707","AT1G61310"
"708","AT1G61360"
"709","AT1G61370"
"710","AT1G61380"
"711","AT1G61400"
"712","AT1G61420"
"713","AT1G61430"
"714","AT1G61500"
"715","AT1G61560"
"716","AT1G61640"
"717","AT1G61667"
"718","AT1G61760"
"719","AT1G61850"
"720","AT1G61860"
"721","AT1G61960"
"722","AT1G61970"
"723","AT1G62010"
"724","AT1G62050"
"725","AT1G62120"
"726","AT1G62130"
"727","AT1G62150"
"728","AT1G62170"
"729","AT1G62200"
"730","AT1G62250"
"731","AT1G62262"
"732","AT1G62280"
"733","AT1G62350"
"734","AT1G62500"
"735","AT1G62590"
"736","AT1G62670"
"737","AT1G62680"
"738","AT1G62700"
"739","AT1G62760"
"740","AT1G62830"
"741","AT1G62840"
"742","AT1G62910"
"743","AT1G62914"
"744","AT1G62930"
"745","AT1G62950"
"746","AT1G62960"
"747","AT1G62981"
"748","AT1G62990"
"749","AT1G63130"
"750","AT1G63150"
"751","AT1G63230"
"752","AT1G63240"
"753","AT1G63250"
"754","AT1G63450"
"755","AT1G63520"
"756","AT1G63650"
"757","AT1G63670"
"758","AT1G63680"
"759","AT1G63730"
"760","AT1G63740"
"761","AT1G63750"
"762","AT1G64180"
"763","AT1G64400"
"764","AT1G64430"
"765","AT1G64455"
"766","AT1G64570"
"767","AT1G64572"
"768","AT1G64583"
"769","AT1G64610"
"770","AT1G64690"
"771","AT1G64700"
"772","AT1G64780"
"773","AT1G64810"
"774","AT1G64860"
"775","AT1G64930"
"776","AT1G64940"
"777","AT1G64960"
"778","AT1G65070"
"779","AT1G65080"
"780","AT1G65180"
"781","AT1G65190"
"782","AT1G65380"
"783","AT1G65620"
"784","AT1G65850"
"785","AT1G65900"
"786","AT1G65920"
"787","AT1G65950"
"788","AT1G66080"
"789","AT1G66160"
"790","AT1G66173"
"791","AT1G66230"
"792","AT1G66345"
"793","AT1G66350"
"794","AT1G66450"
"795","AT1G66465"
"796","AT1G66480"
"797","AT1G66520"
"798","AT1G66600"
"799","AT1G66660"
"800","AT1G66690"
"801","AT1G66730"
"802","AT1G66810"
"803","AT1G66930"
"804","AT1G67035"
"805","AT1G67050"
"806","AT1G67150"
"807","AT1G67180"
"808","AT1G67190"
"809","AT1G67210"
"810","AT1G67400"
"811","AT1G67410"
"812","AT1G67440"
"813","AT1G67470"
"814","AT1G67500"
"815","AT1G67600"
"816","AT1G67690"
"817","AT1G67720"
"818","AT1G67790"
"819","AT1G67830"
"820","AT1G67910"
"821","AT1G67970"
"822","AT1G67980"
"823","AT1G68030"
"824","AT1G68120"
"825","AT1G68238"
"826","AT1G68340"
"827","AT1G68500"
"828","AT1G68590"
"829","AT1G68620"
"830","AT1G68640"
"831","AT1G68650"
"832","AT1G68690"
"833","AT1G68723"
"834","AT1G68795"
"835","AT1G68830"
"836","AT1G68850"
"837","AT1G68862"
"838","AT1G68880"
"839","AT1G68930"
"840","AT1G68940"
"841","AT1G68980"
"842","AT1G69020"
"843","AT1G69170"
"844","AT1G69200"
"845","AT1G69240"
"846","AT1G69280"
"847","AT1G69290"
"848","AT1G69485"
"849","AT1G69523"
"850","AT1G69550"
"851","AT1G69570"
"852","AT1G69572"
"853","AT1G69588"
"854","AT1G69670"
"855","AT1G69790"
"856","AT1G69880"
"857","AT1G69900"
"858","AT1G69935"
"859","AT1G69970"
"860","AT1G70070"
"861","AT1G70080"
"862","AT1G70140"
"863","AT1G70170"
"864","AT1G70335"
"865","AT1G70360"
"866","AT1G70460"
"867","AT1G70500"
"868","AT1G70505"
"869","AT1G70518"
"870","AT1G70610"
"871","AT1G70630"
"872","AT1G70650"
"873","AT1G70700"
"874","AT1G70750"
"875","AT1G71015"
"876","AT1G71050"
"877","AT1G71060"
"878","AT1G71140"
"879","AT1G71240"
"880","AT1G71360"
"881","AT1G71460"
"882","AT1G71500"
"883","AT1G71720"
"884","AT1G71750"
"885","AT1G71810"
"886","AT1G71866"
"887","AT1G71930"
"888","AT1G72120"
"889","AT1G72125"
"890","AT1G72180"
"891","AT1G72240"
"892","AT1G72275"
"893","AT1G72280"
"894","AT1G72450"
"895","AT1G72500"
"896","AT1G72520"
"897","AT1G72530"
"898","AT1G72600"
"899","AT1G72640"
"900","AT1G72860"
"901","AT1G72870"
"902","AT1G72890"
"903","AT1G72910"
"904","AT1G72970"
"905","AT1G73020"
"906","AT1G73090"
"907","AT1G73130"
"908","AT1G73210"
"909","AT1G73280"
"910","AT1G73310"
"911","AT1G73320"
"912","AT1G73370"
"913","AT1G73400"
"914","AT1G73510"
"915","AT1G73570"
"916","AT1G73580"
"917","AT1G73640"
"918","AT1G73690"
"919","AT1G73710"
"920","AT1G73750"
"921","AT1G73770"
"922","AT1G73860"
"923","AT1G73885"
"924","AT1G73910"
"925","AT1G74055"
"926","AT1G74088"
"927","AT1G74120"
"928","AT1G74150"
"929","AT1G74170"
"930","AT1G74200"
"931","AT1G74300"
"932","AT1G74310"
"933","AT1G74330"
"934","AT1G74390"
"935","AT1G74460"
"936","AT1G74490"
"937","AT1G74550"
"938","AT1G74600"
"939","AT1G74680"
"940","AT1G74710"
"941","AT1G74750"
"942","AT1G74830"
"943","AT1G74860"
"944","AT1G74900"
"945","AT1G75000"
"946","AT1G75010"
"947","AT1G75060"
"948","AT1G75110"
"949","AT1G75300"
"950","AT1G75640"
"951","AT1G75720"
"952","AT1G75820"
"953","AT1G75960"
"954","AT1G76020"
"955","AT1G76130"
"956","AT1G76220"
"957","AT1G76450"
"958","AT1G76470"
"959","AT1G76740"
"960","AT1G76780"
"961","AT1G77122"
"962","AT1G77170"
"963","AT1G77200"
"964","AT1G77240"
"965","AT1G77280"
"966","AT1G77360"
"967","AT1G77390"
"968","AT1G77400"
"969","AT1G77460"
"970","AT1G77490"
"971","AT1G77530"
"972","AT1G77570"
"973","AT1G77600"
"974","AT1G77700"
"975","AT1G77765"
"976","AT1G77850"
"977","AT1G77932"
"978","AT1G77990"
"979","AT1G78010"
"980","AT1G78070"
"981","AT1G78090"
"982","AT1G78140"
"983","AT1G78180"
"984","AT1G78190"
"985","AT1G78360"
"986","AT1G78430"
"987","AT1G78510"
"988","AT1G78540"
"989","AT1G78550"
"990","AT1G78810"
"991","AT1G78865"
"992","AT1G78915"
"993","AT1G78955"
"994","AT1G78960"
"995","AT1G79110"
"996","AT1G79160"
"997","AT1G79220"
"998","AT1G79310"
"999","AT1G79320"
"1000","AT1G79330"
"1001","AT1G79480"
"1002","AT1G79490"
"1003","AT1G79510"
"1004","AT1G79520"
"1005","AT1G79600"
"1006","AT1G79640"
"1007","AT1G79840"
"1008","AT1G80030"
"1009","AT1G80060"
"1010","AT1G80100"
"1011","AT1G80110"
"1012","AT1G80120"
"1013","AT1G80200"
"1014","AT1G80315"
"1015","AT1G80630"
"1016","AT1G80640"
"1017","AT1G80760"
"1018","AT1G80880"
"1019","AT1G80900"
"1020","AT1G80970"
"1021","AT2G01200"
"1022","AT2G01275"
"1023","AT2G01290"
"1024","AT2G01300"
"1025","AT2G01330"
"1026","AT2G01510"
"1027","AT2G01620"
"1028","AT2G01740"
"1029","AT2G01860"
"1030","AT2G01880"
"1031","AT2G01900"
"1032","AT2G01905"
"1033","AT2G01913"
"1034","AT2G02080"
"1035","AT2G02150"
"1036","AT2G02250"
"1037","AT2G02310"
"1038","AT2G02350"
"1039","AT2G02400"
"1040","AT2G02410"
"1041","AT2G02590"
"1042","AT2G02620"
"1043","AT2G02635"
"1044","AT2G02690"
"1045","AT2G02750"
"1046","AT2G02880"
"1047","AT2G03050"
"1048","AT2G03060"
"1049","AT2G03200"
"1050","AT2G03260"
"1051","AT2G03280"
"1052","AT2G03330"
"1053","AT2G03450"
"1054","AT2G03480"
"1055","AT2G03600"
"1056","AT2G03720"
"1057","AT2G03750"
"1058","AT2G03850"
"1059","AT2G03925"
"1060","AT2G04038"
"1061","AT2G04040"
"1062","AT2G04230"
"1063","AT2G04235"
"1064","AT2G04270"
"1065","AT2G04350"
"1066","AT2G04530"
"1067","AT2G04560"
"1068","AT2G04620"
"1069","AT2G04660"
"1070","AT2G04680"
"1071","AT2G04795"
"1072","AT2G04805"
"1073","AT2G04842"
"1074","AT2G05075"
"1075","AT2G05120"
"1076","AT2G05160"
"1077","AT2G05185"
"1078","AT2G05215"
"1079","AT2G05540"
"1080","AT2G05632"
"1081","AT2G05760"
"1082","AT2G06005"
"1083","AT2G06040"
"1084","AT2G06200"
"1085","AT2G06465"
"1086","AT2G07325"
"1087","AT2G07627"
"1088","AT2G07638"
"1089","AT2G07641"
"1090","AT2G07655"
"1091","AT2G07665"
"1092","AT2G07674"
"1093","AT2G07675"
"1094","AT2G07687"
"1095","AT2G07707"
"1096","AT2G07719"
"1097","AT2G07739"
"1098","AT2G07773"
"1099","AT2G07777"
"1100","AT2G07850"
"1101","AT2G08000"
"1102","AT2G08345"
"1103","AT2G08435"
"1104","AT2G08750"
"1105","AT2G09250"
"1106","AT2G09350"
"1107","AT2G09465"
"1108","AT2G09640"
"1109","AT2G09660"
"1110","AT2G09945"
"1111","AT2G09975"
"1112","AT2G11225"
"1113","AT2G12462"
"1114","AT2G13290"
"1115","AT2G13440"
"1116","AT2G13660"
"1117","AT2G13960"
"1118","AT2G14050"
"1119","AT2G14095"
"1120","AT2G14520"
"1121","AT2G14560"
"1122","AT2G14620"
"1123","AT2G14660"
"1124","AT2G15310"
"1125","AT2G15370"
"1126","AT2G15400"
"1127","AT2G15440"
"1128","AT2G15680"
"1129","AT2G15820"
"1130","AT2G15980"
"1131","AT2G16050"
"1132","AT2G16250"
"1133","AT2G16270"
"1134","AT2G16385"
"1135","AT2G16390"
"1136","AT2G16400"
"1137","AT2G16430"
"1138","AT2G16750"
"1139","AT2G16760"
"1140","AT2G16870"
"1141","AT2G16970"
"1142","AT2G16980"
"1143","AT2G16990"
"1144","AT2G17040"
"1145","AT2G17140"
"1146","AT2G17260"
"1147","AT2G17430"
"1148","AT2G17442"
"1149","AT2G17525"
"1150","AT2G17650"
"1151","AT2G17787"
"1152","AT2G17820"
"1153","AT2G17830"
"1154","AT2G17880"
"1155","AT2G17940"
"1156","AT2G18000"
"1157","AT2G18450"
"1158","AT2G18570"
"1159","AT2G18620"
"1160","AT2G18650"
"1161","AT2G18680"
"1162","AT2G18760"
"1163","AT2G18780"
"1164","AT2G18890"
"1165","AT2G18915"
"1166","AT2G18938"
"1167","AT2G18940"
"1168","AT2G18950"
"1169","AT2G19120"
"1170","AT2G19130"
"1171","AT2G19280"
"1172","AT2G19380"
"1173","AT2G19440"
"1174","AT2G19530"
"1175","AT2G19582"
"1176","AT2G19690"
"1177","AT2G19710"
"1178","AT2G20020"
"1179","AT2G20080"
"1180","AT2G20100"
"1181","AT2G20110"
"1182","AT2G20180"
"1183","AT2G20210"
"1184","AT2G20240"
"1185","AT2G20290"
"1186","AT2G20362"
"1187","AT2G20495"
"1188","AT2G20520"
"1189","AT2G20540"
"1190","AT2G20560"
"1191","AT2G20680"
"1192","AT2G20710"
"1193","AT2G20770"
"1194","AT2G20815"
"1195","AT2G20950"
"1196","AT2G21320"
"1197","AT2G21370"
"1198","AT2G21540"
"1199","AT2G21550"
"1200","AT2G21590"
"1201","AT2G21610"
"1202","AT2G21640"
"1203","AT2G21710"
"1204","AT2G21800"
"1205","AT2G21820"
"1206","AT2G21830"
"1207","AT2G21860"
"1208","AT2G21900"
"1209","AT2G22140"
"1210","AT2G22240"
"1211","AT2G22360"
"1212","AT2G22410"
"1213","AT2G22620"
"1214","AT2G22650"
"1215","AT2G22730"
"1216","AT2G22740"
"1217","AT2G22800"
"1218","AT2G22830"
"1219","AT2G22850"
"1220","AT2G22910"
"1221","AT2G22930"
"1222","AT2G23093"
"1223","AT2G23100"
