"","X","col_FLT_c1.which.mclass....5...1."
"600",600,"AT1G52590"
"905",905,"AT1G73020"
"1095",1095,"AT2G07707"
"3533",3533,"AT5G59700"
"1583",1583,"AT2G46910"
"447",447,"AT1G28560"
"247",247,"AT1G13480"
"141",141,"AT1G07740"
"2",2,"AT1G01080"
"1171",1171,"AT2G19280"
"1202",1202,"AT2G21640"
"12",12,"AT1G01740"
"1146",1146,"AT2G17260"
"924",924,"AT1G73910"
"1743",1743,"AT3G09745"
"1267",1267,"AT2G26180"
"2020",2020,"AT3G46190"
"2224",2224,"AT3G60990"
"2349",2349,"AT4G06410"
"2215",2215,"AT3G60290"
"2618",2618,"AT4G26180"
"3106",3106,"AT5G22410"
"2944",2944,"AT5G08650"
"2237",2237,"AT3G61898"
"2027",2027,"AT3G46790"
"2948",2948,"AT5G08855"
"1161",1161,"AT2G18680"
"1903",1903,"AT3G23260"
"1418",1418,"AT2G37210"
"1813",1813,"AT3G15140"
"3459",3459,"AT5G54510"
"1690",1690,"AT3G06360"
"3431",3431,"AT5G52570"
"2644",2644,"AT4G28010"
"3646",3646,"AT5G67640"
"731",731,"AT1G62262"
"1322",1322,"AT2G31150"
"2395",2395,"AT4G11211"
"3330",3330,"AT5G45840"
"391",391,"AT1G23180"
"991",991,"AT1G78865"
"2851",2851,"AT5G02460"
"1129",1129,"AT2G15820"
"753",753,"AT1G63250"
"233",233,"AT1G12620"
"2375",2375,"AT4G09940"
"1275",1275,"AT2G27360"
"183",183,"AT1G09680"
"604",604,"AT1G53025"
"189",189,"AT1G09863"
"745",745,"AT1G62950"
"1851",1851,"AT3G18100"
"1725",1725,"AT3G08590"
"2949",2949,"AT5G09230"
"2155",2155,"AT3G55760"
"3610",3610,"AT5G65450"
"1256",1256,"AT2G25050"
"758",758,"AT1G63680"
"827",827,"AT1G68500"
"2673",2673,"AT4G30700"
"1498",1498,"AT2G41870"
"3596",3596,"AT5G64520"
"2254",2254,"AT3G63445"
"3524",3524,"AT5G59070"
"2151",2151,"AT3G55515"
"1406",1406,"AT2G36050"
"3027",3027,"AT5G15410"
"2137",2137,"AT3G53950"
"2770",2770,"AT4G37390"
"2350",2350,"AT4G06534"
"2329",2329,"AT4G04180"
"2274",2274,"AT4G00955"
"155",155,"AT1G08300"
"3196",3196,"AT5G36925"
"880",880,"AT1G71360"
"484",484,"AT1G32270"
"3274",3274,"AT5G42290"
"643",643,"AT1G55610"
"2183",2183,"AT3G57980"
"1635",1635,"AT3G03125"
"2742",2742,"AT4G36050"
"852",852,"AT1G69572"
"2054",2054,"AT3G48480"
"890",890,"AT1G72180"
"3595",3595,"AT5G64480"
"2710",2710,"AT4G33880"
"252",252,"AT1G13800"
"2749",2749,"AT4G36470"
"2898",2898,"AT5G05630"
"1426",1426,"AT2G37440"
"2203",2203,"AT3G59330"
"385",385,"AT1G22830"
"2320",2320,"AT4G03600"
"3396",3396,"AT5G50440"
"3457",3457,"AT5G54260"
"1195",1195,"AT2G20950"
"2958",2958,"AT5G09580"
"865",865,"AT1G70360"
"3458",3458,"AT5G54300"
"2146",2146,"AT3G54990"
"3266",3266,"AT5G41920"
"2868",2868,"AT5G03406"
"952",952,"AT1G75820"
"3438",3438,"AT5G53060"
"1721",1721,"AT3G08225"
"3037",3037,"AT5G16540"
"1961",1961,"AT3G27540"
"2848",2848,"AT5G02360"
"90",90,"AT1G05553"
"2293",2293,"AT4G01840"
"3060",3060,"AT5G17880"
"469",469,"AT1G30610"
"870",870,"AT1G70610"
"343",343,"AT1G19115"
"345",345,"AT1G19230"
"2691",2691,"AT4G32300"
"2603",2603,"AT4G25300"
"1389",1389,"AT2G35210"
"1472",1472,"AT2G40030"
"1309",1309,"AT2G30370"
"589",589,"AT1G51840"
"824",824,"AT1G68120"
"1092",1092,"AT2G07674"
"222",222,"AT1G12211"
"1983",1983,"AT3G42640"
"2620",2620,"AT4G26270"
"2296",2296,"AT4G01930"
"2480",2480,"AT4G16470"
"30",30,"AT1G02910"
"3662",3662,"ATCG01040"
"2143",2143,"AT3G54720"
"2905",2905,"AT5G06380"
"712",712,"AT1G61420"
"1671",1671,"AT3G05190"
"2164",2164,"AT3G56250"
"961",961,"AT1G77122"
"1739",1739,"AT3G09650"
"1542",1542,"AT2G44000"
"3164",3164,"AT5G25910"
"1955",1955,"AT3G27170"
"2812",2812,"AT5G01050"
"89",89,"AT1G05530"
"2613",2613,"AT4G25835"
"2328",2328,"AT4G04055"
"1936",1936,"AT3G25700"
"485",485,"AT1G32340"
"1044",1044,"AT2G02690"
"2182",2182,"AT3G57965"
"2593",2593,"AT4G24175"
"2760",2760,"AT4G37170"
"3294",3294,"AT5G43822"
"3228",3228,"AT5G39670"
"1843",1843,"AT3G17680"
"957",957,"AT1G76450"
"1968",1968,"AT3G28380"
"748",748,"AT1G62990"
"760",760,"AT1G63740"
"310",310,"AT1G17590"
"2365",2365,"AT4G09100"
"3446",3446,"AT5G53730"
"3316",3316,"AT5G44900"
"3479",3479,"AT5G56050"
"2469",2469,"AT4G15820"
"1018",1018,"AT1G80880"
"769",769,"AT1G64610"
"703",703,"AT1G61190"
"1805",1805,"AT3G14550"
"47",47,"AT1G03820"
"2131",2131,"AT3G53220"
"177",177,"AT1G09530"
"3038",3038,"AT5G16570"
"1466",1466,"AT2G39435"
"1565",1565,"AT2G45770"
"2006",2006,"AT3G45020"
"869",869,"AT1G70518"
"3241",3241,"AT5G40270"
"2896",2896,"AT5G05530"
"2462",2462,"AT4G15450"
"2720",2720,"AT4G34590"
"113",113,"AT1G06420"
"2899",2899,"AT5G05790"
"1505",1505,"AT2G42260"
"444",444,"AT1G28470"
"1311",1311,"AT2G30505"
"1993",1993,"AT3G44006"
"673",673,"AT1G59510"
"1925",1925,"AT3G24760"
"2481",2481,"AT4G16770"
"21",21,"AT1G02230"
"2246",2246,"AT3G62780"
"2242",2242,"AT3G62150"
"2661",2661,"AT4G29540"
"1444",1444,"AT2G38010"
"401",401,"AT1G24330"
"1934",1934,"AT3G25640"
"1667",1667,"AT3G04860"
"901",901,"AT1G72870"
"3523",3523,"AT5G59060"
"2287",2287,"AT4G01575"
"620",620,"AT1G54200"
"695",695,"AT1G60790"
"1706",1706,"AT3G07290"
