"","WS_GC_c1.which.mclass....6...1."
"1176","AT2G26290"
"1177","AT2G26355"
"1178","AT2G26370"
"1179","AT2G26380"
"1180","AT2G26390"
"1181","AT2G26480"
"1182","AT2G26500"
"1183","AT2G26530"
"1184","AT2G26540"
"1185","AT2G26560"
"1186","AT2G26570"
"1187","AT2G26710"
"1188","AT2G26870"
"1189","AT2G27035"
"1190","AT2G27080"
"1191","AT2G27180"
"1192","AT2G27290"
"1193","AT2G27310"
"1194","AT2G27313"
"1195","AT2G27360"
"1196","AT2G27389"
"1197","AT2G27390"
"1198","AT2G27490"
"1199","AT2G27500"
"1200","AT2G27660"
"1201","AT2G27800"
"1202","AT2G27830"
"1203","AT2G28110"
"1204","AT2G28200"
"1205","AT2G28210"
"1206","AT2G28305"
"1207","AT2G28320"
"1208","AT2G28440"
"1209","AT2G28470"
"1210","AT2G28560"
"1211","AT2G28650"
"1212","AT2G28690"
"1213","AT2G28700"
"1214","AT2G28710"
"1215","AT2G28720"
"1216","AT2G28860"
"1217","AT2G28870"
"1218","AT2G28960"
"1219","AT2G28970"
"1220","AT2G28990"
"1221","AT2G29060"
"1222","AT2G29180"
"1223","AT2G29450"
"1224","AT2G29460"
"1225","AT2G29500"
"1226","AT2G29590"
"1227","AT2G29640"
"1228","AT2G29650"
"1229","AT2G29720"
"1230","AT2G29730"
"1231","AT2G29740"
"1232","AT2G29750"
"1233","AT2G29910"
"1234","AT2G30020"
"1235","AT2G30040"
"1236","AT2G30080"
"1237","AT2G30100"
"1238","AT2G30230"
"1239","AT2G30250"
"1240","AT2G30270"
"1241","AT2G30360"
"1242","AT2G30362"
