RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT3G25800,488.9738931,268.9335336,305.1674806,443.1042805,379.7850602,372.4072066,488.0570432,376.6500935,475.7343219,469.89715,477.8412804,375.1248493
AT3G25840,293.0424395,458.3053141,418.771129,407.0536326,488.1183275,522.959809,674.691608,419.678483,487.5694148,395.1100656,408.513141,546.0666771
AT3G25900,347.9165331,201.9560529,303.0325419,180.4275492,215.919635,261.526477,162.7091617,266.9471295,269.9060098,231.4576688,182.7566831,209.8541071
AT3G26030,391.718256,355.2004536,435.8020802,560.910806,532.1500582,428.7236381,502.2184405,470.0414968,508.0383445,530.08826,464.6414719,365.8616547
AT3G26340,263.4794737,257.5320784,292.9779397,246.8502275,210.3125548,219.1182486,249.2244185,285.9139022,240.9665806,305.499496,306.6005965,260.1484728
AT3G26360,340.0976746,375.8965959,318.0167491,319.0331376,307.3323188,269.829187,305.7814271,308.5640256,206.884279,374.3073476,436.3529988,318.1347815
AT3G26370,303.1802149,240.6931178,239.3807356,309.1289515,241.3033524,235.7953948,292.1192676,248.6845245,309.2102015,324.5699119,291.2652509,307.2509311
AT3G26420,724.1541435,354.2448494,652.5388801,604.4534787,471.7557864,511.6023444,591.0704704,328.9782363,553.4652649,602.1367642,702.124106,514.5060864
AT3G26430,631.409379,526.7682941,523.878081,621.8270343,506.5151718,336.1426621,556.3735312,383.6535814,414.706508,790.1109204,648.6146577,301.3295396
AT3G26470,134.975708,212.6785262,186.8982127,25.06411733,257.4739818,186.4094534,32.90472672,264.1974986,40.14516247,1.667060699,45.41862729,76.83747674
AT3G26512,232.2998043,612.2335735,379.2244138,8.431088343,144.9493768,128.3449718,157.1101367,191.1084562,186.9491975,0,10.25068708,86.91620515
AT3G26560,240.5538903,258.9058658,259.2847538,290.2794388,306.0059415,360.5256714,310.2150898,216.7129806,305.4540765,344.2837771,327.2536343,414.1150037
AT3G26610,277.198963,247.6661275,227.3566331,348.431756,371.7266007,485.1657742,295.9458197,454.9536642,453.7325507,382.7275074,367.5645582,254.0952103
AT3G26670,193.1320338,257.1492369,271.4654085,249.5608998,303.5473345,342.4745996,275.6531497,395.8607237,287.5014291,242.541226,209.7257981,237.9365374
