$RNA_seq	FLT_Light_Rep1	FLT_Light_Rep2	FLT_Light_Rep3	FLT_Dark_Rep1	FLT_Dark_Rep2	FLT_Dark_Rep3	GC_Light_Rep1	GC_Light_Rep2	GC_Light_Rep3	GC_Dark_Rep1	GC_Dark_Rep2	GC_Dark_Rep3
AT5G40000	31.12717504	28.82955074	263.9551001	132.2499667	14.11677311	211.1915569	51.19862614	1.935807504	1.058660355	6.477689199	17.84963495	52.64662603
AT5G40080	296.8569201	235.5305639	219.9748137	213.0705809	406.9744689	444.2144498	277.8989737	547.3117799	413.5719869	361.7129151	472.6248415	309.4410656
AT5G40200	364.9507672	331.9633161	214.6036488	337.3618851	365.6413836	277.5919337	314.1017657	301.8798097	216.2843527	325.279163	342.9808045	310.7551197
AT5G40340	320.0033839	312.1457423	413.5888619	245.6309109	268.617874	421.1112997	283.6617896	341.8008155	316.1648183	263.4065934	328.7027932	329.1333454
AT5G40510	425.7860703	272.1792329	369.407102	383.4205489	65.33710565	169.3379195	103.6629396	338.3457378	311.5348739	116.0646595	37.53636759	131.3412969
AT5G40590	58.94223049	47.55374752	72.84243553	152.4560722	27.56860262	288.527779	15.71237511	59.78890387	68.60402946	16.21699777	3.564125175	78.43316795
AT5G40630	225.7873655	330.1207508	266.2114913	224.4067013	252.1898725	277.1066844	344.3104006	214.8758566	219.1184251	455.2772205	564.3390022	325.0277919
AT5G40650	372.4316617	429.8795692	365.8849121	317.3393747	306.4469731	267.0526306	325.1310437	507.5671229	473.723292	300.8197632	326.6952794	324.5969364
AT5G40690	37.03345998	63.11690877	250.9500226	161.592042	47.06250238	277.8868591	115.7670293	227.3452725	250.5082622	34.8430351	83.8228862	237.3943932
AT5G40830	182.8374739	258.8843184	180.2288119	199.803284	328.9127392	79.32289614	158.290635	135.8691739	201.6192123	375.3059509	219.4496269	378.8354307
AT5G40870	409.6103421	308.4506423	241.3060864	339.4167006	340.7961564	238.3618549	334.4834242	120.7728491	290.2854918	417.6675468	305.3477393	243.6342315
AT5G40890	314.126909	342.2781761	384.1762103	250.5260751	207.3358612	149.8437171	195.982851	325.1813141	336.7452424	294.1678199	81.75084372	351.3219591
AT5G40950	225.7767063	214.2229857	205.5296704	237.6969863	329.5238939	238.265105	264.4998661	372.098562	350.8583098	259.6752734	388.1290716	186.7649514
AT5G40970	171.6279877	248.3446574	181.364441	169.3312104	463.1710619	292.2277443	205.7234657	319.3488583	393.761417	431.6068839	519.3820508	520.2659589
AT5G40980	74.20293104	196.0015708	126.1731949	81.74351078	369.9611247	155.0987555	108.4031989	184.0473917	205.844299	260.0503099	330.5756106	324.9289358
AT5G41010	284.2913406	308.9728105	329.9112117	324.0706604	464.1834785	561.9501406	345.6949828	495.5566972	492.7924438	468.4288393	546.9117931	367.1574621
