"","X","phyD_GC_c1.which.mclass....6...1."
"41",41,"AT1G04830"
"2905",2905,"AT5G57970"
"3",3,"AT1G01320"
"17",17,"AT1G02370"
"664",664,"AT1G70560"
"1819",1819,"AT3G58550"
"2212",2212,"AT4G30980"
"3046",3046,"ATCG01240"
"1012",1012,"AT2G29190"
"1854",1854,"AT3G61820"
"1546",1546,"AT3G21250"
"2175",2175,"AT4G27730"
"603",603,"AT1G64700"
"1634",1634,"AT3G29375"
"741",741,"AT1G77630"
"1963",1963,"AT4G09150"
"2753",2753,"AT5G45020"
"1925",1925,"AT4G02980"
"421",421,"AT1G47720"
"1539",1539,"AT3G20740"
"2550",2550,"AT5G17500"
"1431",1431,"AT3G13530"
"2012",2012,"AT4G13590"
"2091",2091,"AT4G19990"
"1006",1006,"AT2G28360"
"1732",1732,"AT3G52370"
"2690",2690,"AT5G38590"
"2990",2990,"AT5G64810"
"2290",2290,"AT4G37432"
"416",416,"AT1G45233"
"2261",2261,"AT4G34980"
"1147",1147,"AT2G40260"
"2418",2418,"AT5G08391"
"665",665,"AT1G70580"
"2408",2408,"AT5G07320"
"467",467,"AT1G51380"
"1955",1955,"AT4G08230"
"1168",1168,"AT2G41500"
"2570",2570,"AT5G19380"
"2984",2984,"AT5G64220"
"1044",1044,"AT2G32190"
"1733",1733,"AT3G52380"
"1280",1280,"AT3G02660"
"171",171,"AT1G14020"
"1246",1246,"AT2G47630"
"2583",2583,"AT5G20300"
"1438",1438,"AT3G14000"
"2769",2769,"AT5G46550"
"2710",2710,"AT5G41100"
"1823",1823,"AT3G58830"
"1151",1151,"AT2G40470"
"731",731,"AT1G76350"
"2848",2848,"AT5G51700"
"1256",1256,"AT3G01170"
"2749",2749,"AT5G44635"
"2830",2830,"AT5G50650"
"2774",2774,"AT5G46850"
"43",43,"AT1G04837"
"742",742,"AT1G77660"
"2319",2319,"AT5G01175"
"1675",1675,"AT3G46970"
"762",762,"AT1G79030"
"1331",1331,"AT3G06510"
"1101",1101,"AT2G37100"
"737",737,"AT1G77220"
"2250",2250,"AT4G34140"
"929",929,"AT2G22370"
"87",87,"AT1G07780"
"1900",1900,"AT4G01660"
"2644",2644,"AT5G26910"
"2860",2860,"AT5G53130"
"764",764,"AT1G79060"
"3038",3038,"ATCG00530"
"1354",1354,"AT3G07750"
"54",54,"AT1G05780"
"1268",1268,"AT3G01980"
"1303",1303,"AT3G04490"
"2907",2907,"AT5G58003"
"1957",1957,"AT4G08455"
"2534",2534,"AT5G16300"
"2293",2293,"AT4G37920"
"1838",1838,"AT3G60660"
"890",890,"AT2G18290"
"754",754,"AT1G78590"
"1891",1891,"AT4G00800"
"1436",1436,"AT3G13690"
"758",758,"AT1G78770"
"593",593,"AT1G64080"
"172",172,"AT1G14040"
"1505",1505,"AT3G19050"
"46",46,"AT1G05060"
"1615",1615,"AT3G27280"
"2304",2304,"AT4G38560"
"1199",1199,"AT2G43480"
"1231",1231,"AT2G46090"
"700",700,"AT1G73730"
"392",392,"AT1G34200"
"1551",1551,"AT3G21480"
"800",800,"AT2G02120"
"1362",1362,"AT3G08910"
"729",729,"AT1G76120"
"2896",2896,"AT5G56910"
"219",219,"AT1G17560"
"1483",1483,"AT3G17330"
"535",535,"AT1G56420"
"938",938,"AT2G23300"
"357",357,"AT1G30600"
"1048",1048,"AT2G32430"
"2594",2594,"AT5G21040"
"2214",2214,"AT4G31010"
"1809",1809,"AT3G57810"
"949",949,"AT2G24400"
"318",318,"AT1G27630"
"940",940,"AT2G23460"
"2501",2501,"AT5G14220"
"2582",2582,"AT5G20170"
"2553",2553,"AT5G17690"
"52",52,"AT1G05660"
"1313",1313,"AT3G05210"
"2443",2443,"AT5G09860"
"611",611,"AT1G65470"
"982",982,"AT2G26770"
"450",450,"AT1G50030"
"2838",2838,"AT5G51170"
"2358",2358,"AT5G03552"
"1586",1586,"AT3G24929"
"1678",1678,"AT3G47460"
"2312",2312,"AT4G39230"
"783",783,"AT1G80480"
"702",702,"AT1G73805"
"883",883,"AT2G17700"
"2391",2391,"AT5G06120"
"2761",2761,"AT5G45720"
"483",483,"AT1G53050"
"583",583,"AT1G63160"
"2240",2240,"AT4G33480"
"48",48,"AT1G05160"
"268",268,"AT1G21370"
"2221",2221,"AT4G31780"
"2442",2442,"AT5G09840"
"602",602,"AT1G64690"
"2067",2067,"AT4G17180"
"2019",2019,"AT4G14200"
"2935",2935,"AT5G59740"
"13",13,"AT1G02000"
"585",585,"AT1G63295"
"2643",2643,"AT5G26760"
"1163",1163,"AT2G41140"
"1051",1051,"AT2G32560"
"2696",2696,"AT5G39450"
"1748",1748,"AT3G53380"
"660",660,"AT1G70370"
"1097",1097,"AT2G36720"
"2669",2669,"AT5G35400"
"2310",2310,"AT4G39120"
"1411",1411,"AT3G12530"
"1024",1024,"AT2G30575"
"2513",2513,"AT5G15050"
"2426",2426,"AT5G08610"
"1590",1590,"AT3G25400"
"64",64,"AT1G06227"
"1805",1805,"AT3G57660"
