"","phyD_GC_c1.which.mclass....7...1."
"685","AT4G17730"
"686","AT4G17800"
"687","AT4G18030"
"688","AT4G18040"
"689","AT4G18070"
"690","AT4G18590"
"691","AT4G19006"
"692","AT4G19210"
"693","AT4G20210"
"694","AT4G20362"
"695","AT4G20830"
"696","AT4G20980"
"697","AT4G21150"
"698","AT4G21570"
"699","AT4G21600"
"700","AT4G21990"
"701","AT4G22000"
"702","AT4G22010"
"703","AT4G22300"
"704","AT4G22380"
"705","AT4G22670"
"706","AT4G22810"
"707","AT4G22820"
"708","AT4G22930"
"709","AT4G23590"
"710","AT4G23710"
"711","AT4G23760"
"712","AT4G23885"
"713","AT4G24160"
"714","AT4G24275"
"715","AT4G24330"
"716","AT4G24620"
"717","AT4G24690"
"718","AT4G24830"
"719","AT4G25210"
"720","AT4G25340"
"721","AT4G25550"
"722","AT4G25730"
"723","AT4G25810"
"724","AT4G26240"
"725","AT4G26410"
"726","AT4G26480"
"727","AT4G26540"
"728","AT4G26650"
"729","AT4G26670"
"730","AT4G26970"
"731","AT4G27230"
"732","AT4G27435"
"733","AT4G27760"
"734","AT4G28360"
"735","AT4G28770"
"736","AT4G28910"
"737","AT4G29260"
"738","AT4G29840"
"739","AT4G30550"
"740","AT4G30660"
"741","AT4G30760"
"742","AT4G30920"
"743","AT4G30930"
"744","AT4G30950"
"745","AT4G31480"
"746","AT4G31580"
"747","AT4G31910"
"748","AT4G31990"
"749","AT4G32060"
"750","AT4G32240"
"751","AT4G32330"
"752","AT4G32390"
"753","AT4G32410"
"754","AT4G32460"
"755","AT4G32610"
"756","AT4G32720"
"757","AT4G33080"
"758","AT4G33360"
"759","AT4G33380"
"760","AT4G33580"
"761","AT4G33610"
"762","AT4G33780"
"763","AT4G34350"
"764","AT4G34490"
"765","AT4G34620"
"766","AT4G34970"
"767","AT4G35080"
"768","AT4G35310"
"769","AT4G35350"
"770","AT4G35450"
"771","AT4G35785"
"772","AT4G35920"
"773","AT4G35980"
"774","AT4G36420"
"775","AT4G36520"
"776","AT4G36690"
"777","AT4G36760"
"778","AT4G37540"
"779","AT4G37590"
"780","AT4G38520"
"781","AT4G38630"
"782","AT4G39080"
"783","AT4G39220"
"784","AT4G39300"
"785","AT4G39520"
"786","AT4G39680"
"787","AT4G39800"
"788","AT4G39838"
"789","AT4G39840"
"790","AT4G39900"
"791","AT4G39910"
"792","AT4G39980"
"793","AT5G01870"
"794","AT5G02050"
"795","AT5G02260"
"796","AT5G02502"
"797","AT5G02530"
"798","AT5G02740"
"799","AT5G03290"
"800","AT5G03610"
"801","AT5G03740"
"802","AT5G04905"
"803","AT5G05080"
"804","AT5G05210"
"805","AT5G05360"
"806","AT5G05610"
"807","AT5G05670"
"808","AT5G05950"
"809","AT5G06140"
"810","AT5G06660"
"811","AT5G07110"
"812","AT5G07350"
"813","AT5G07460"
"814","AT5G08040"
"815","AT5G08100"
"816","AT5G08160"
"817","AT5G08300"
"818","AT5G08420"
