TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT4G37910,mtHsc70-1,-0.4092735,-0.09460975,-0.09811493,0.02773918,-1.074561,-0.3170901,-0.8408165,-0.01207722,-1.538406,0.3146638,0.3111586,0.4370127,-0.6652871,0.09218343,-0.431543,0.3971963,-1.129132,-0.5156298,-0.1063563,-0.507049,-0.09777544
AT4G38510,AtVAB2,0.07800587,0.06659266,0.1753121,0.07670684,-0.1865209,-0.228381,-0.07039238,-0.1564457,-0.09759917,-0.01141321,0.09730621,-0.001299023,-0.2645268,-0.3063868,-0.1483982,-0.2344516,-0.175605,-0.2754465,-0.3534524,-0.363772,-0.4417779
AT5G02770,MOS11,0.02872058,0.135486,-0.06044739,0.1256255,0.0871519,0.2040696,-0.200078,-0.169503,-0.2117854,0.1067654,-0.08916797,0.09690488,0.05843132,0.1753491,-0.2287986,-0.1982235,-0.240506,0.05460858,0.025888,0.3544425,0.3257219
AT5G04430,BTR1,0.03366129,0.1027742,0.2323144,0.4343383,-0.1252122,-0.08201912,-0.1548371,-0.01203598,-0.3401691,0.0691129,0.1986531,0.400677,-0.1588734,-0.1156804,-0.1884984,-0.04569727,-0.3738304,-0.02328825,-0.05694955,-0.1997188,-0.2333801
AT5G05950,MEE60,0.2690303,0.3191528,0.08522347,0.1078709,0.3989488,-0.2464071,0.3050892,0.1225386,0.4065156,0.05012244,-0.1838068,-0.1611594,0.1299185,-0.5154374,0.03605893,-0.1464917,0.1374853,0.7962928,0.5272625,0.4168893,0.147859
AT5G06860,ATPGIP1,0.6114836,-0.7189533,0.2148685,0.06912358,0.05771401,-0.2648765,1.641786,0.3107925,1.698014,-1.330437,-0.3966151,-0.54236,-0.5537696,-0.8763601,1.030303,-0.3006911,1.086531,-0.9197041,-1.531188,-1.121232,-1.732716
AT5G07470,ATMSRA3,0.5883836,-0.0422804,0.2239278,-0.08876533,0.3857065,0.1169407,0.6716995,0.4124837,1.064184,-0.630664,-0.3644558,-0.6771489,-0.2026771,-0.4714429,0.08331589,-0.1758999,0.4758009,0.264821,-0.3235626,0.2795773,-0.3088063
AT5G08040,TOM5,0.3559893,0.7752024,0.4177601,0.6059546,0.606967,0.2283815,0.3771087,0.3457422,-0.2361025,0.4192132,0.06177083,0.2499654,0.2509777,-0.1276078,0.02111948,-0.01024704,-0.5920918,1.46404,1.108051,0.7808906,0.4249013
AT5G08530,CI51,0.02190973,0.1146739,0.1939067,-0.03136184,-0.1552912,0.08813137,-0.009008609,-0.06979258,-0.1598527,0.09276417,0.171997,-0.05327156,-0.177201,0.06622164,-0.03091834,-0.09170231,-0.1817624,-0.3319541,-0.3538638,-0.105398,-0.1273077
AT5G10540,TOP2,-0.4169153,-0.620759,-0.1733477,-0.4847292,0.1263533,0.1031606,-0.1590909,-0.4380412,-0.08588001,-0.2038438,0.2435675,-0.06781389,0.5432686,0.5200759,0.2578243,-0.02112598,0.3310352,-0.5726938,-0.1557786,-0.08029437,0.3366209
