"","WS_c1.which.mclass....1...1."
"880","AT2G46660"
"881","AT2G46670"
"882","AT2G46860"
"883","AT2G47190"
"884","AT2G47200"
"885","AT2G47240"
"886","AT2G47275"
"887","AT2G47560"
"888","AT2G47810"
"889","AT2G47895"
"890","AT2G48080"
"891","AT2G48090"
"892","AT2G48150"
"893","AT3G01005"
"894","AT3G01065"
"895","AT3G01115"
"896","AT3G01135"
"897","AT3G01225"
"898","AT3G01240"
"899","AT3G01250"
"900","AT3G01311"
"901","AT3G01490"
"902","AT3G01570"
"903","AT3G01580"
"904","AT3G01600"
"905","AT3G01620"
"906","AT3G01730"
"907","AT3G01760"
"908","AT3G02150"
"909","AT3G02270"
"910","AT3G02275"
"911","AT3G02305"
"912","AT3G02365"
"913","AT3G02390"
"914","AT3G02430"
"915","AT3G02465"
"916","AT3G02480"
"917","AT3G02485"
"918","AT3G02565"
"919","AT3G02677"
"920","AT3G02925"
"921","AT3G02945"
"922","AT3G03095"
"923","AT3G03225"
"924","AT3G03290"
"925","AT3G03350"
"926","AT3G03530"
"927","AT3G03670"
"928","AT3G03776"
"929","AT3G03815"
"930","AT3G03820"
"931","AT3G03895"
"932","AT3G04000"
"933","AT3G04110"
"934","AT3G04115"
"935","AT3G04140"
"936","AT3G04185"
"937","AT3G04220"
"938","AT3G04370"
"939","AT3G04420"
"940","AT3G04450"
"941","AT3G04685"
"942","AT3G04775"
"943","AT3G04835"
"944","AT3G04975"
"945","AT3G04985"
"946","AT3G05075"
"947","AT3G05160"
"948","AT3G05245"
"949","AT3G05260"
"950","AT3G05285"
"951","AT3G05327"
"952","AT3G05345"
"953","AT3G05365"
"954","AT3G05620"
"955","AT3G05655"
"956","AT3G05715"
"957","AT3G05720"
"958","AT3G05770"
"959","AT3G05820"
"960","AT3G05858"
"961","AT3G06145"
"962","AT3G06220"
"963","AT3G06520"
"964","AT3G06605"
"965","AT3G06710"
"966","AT3G06755"
"967","AT3G06962"
"968","AT3G07040"
"969","AT3G07120"
"970","AT3G07125"
"971","AT3G07150"
"972","AT3G07205"
"973","AT3G07273"
"974","AT3G07450"
"975","AT3G07520"
"976","AT3G07725"
"977","AT3G07785"
"978","AT3G07805"
"979","AT3G07825"
"980","AT3G07835"
"981","AT3G07885"
"982","AT3G07920"
"983","AT3G08065"
"984","AT3G08220"
"985","AT3G08235"
"986","AT3G08450"
"987","AT3G08470"
"988","AT3G08660"
"989","AT3G08675"
"990","AT3G08705"
"991","AT3G08835"
"992","AT3G08895"
"993","AT3G08900"
"994","AT3G08970"
"995","AT3G08975"
"996","AT3G09120"
"997","AT3G09135"
"998","AT3G09240"
"999","AT3G09270"
"1000","AT3G09290"
"1001","AT3G09330"
"1002","AT3G09405"
"1003","AT3G09495"
"1004","AT3G09580"
"1005","AT3G09950"
"1006","AT3G09960"
"1007","AT3G09965"
"1008","AT3G10290"
"1009","AT3G10840"
"1010","AT3G10880"
"1011","AT3G10986"
"1012","AT3G11090"
"1013","AT3G11210"
"1014","AT3G11720"
"1015","AT3G11773"
"1016","AT3G12880"
"1017","AT3G12890"
"1018","AT3G12915"
"1019","AT3G13020"
"1020","AT3G13065"
"1021","AT3G13075"
"1022","AT3G13432"
"1023","AT3G14225"
"1024","AT3G14340"
"1025","AT3G14395"
"1026","AT3G14460"
"1027","AT3G14490"
"1028","AT3G14650"
"1029","AT3G14810"
"1030","AT3G15250"
"1031","AT3G15270"
"1032","AT3G15400"
"1033","AT3G15605"
"1034","AT3G15700"
"1035","AT3G15800"
"1036","AT3G15900"
"1037","AT3G15930"
"1038","AT3G16070"
"1039","AT3G16140"
"1040","AT3G16250"
"1041","AT3G16380"
"1042","AT3G16390"
"1043","AT3G16610"
"1044","AT3G16650"
"1045","AT3G17225"
"1046","AT3G17280"
"1047","AT3G17655"
"1048","AT3G17700"
"1049","AT3G17712"
"1050","AT3G17717"
"1051","AT3G18200"
"1052","AT3G18282"
"1053","AT3G18610"
"1054","AT3G18840"
"1055","AT3G18870"
"1056","AT3G18950"
"1057","AT3G19020"
"1058","AT3G19230"
"1059","AT3G19550"
"1060","AT3G20160"
"1061","AT3G20220"
"1062","AT3G20395"
"1063","AT3G20475"
"1064","AT3G20520"
"1065","AT3G20710"
"1066","AT3G20730"
"1067","AT3G20760"
"1068","AT3G20850"
"1069","AT3G20950"
"1070","AT3G21055"
"1071","AT3G21210"
"1072","AT3G21305"
"1073","AT3G21570"
"1074","AT3G21620"
"1075","AT3G21780"
"1076","AT3G21781"
"1077","AT3G22090"
"1078","AT3G22125"
"1079","AT3G22142"
"1080","AT3G22150"
"1081","AT3G22183"
"1082","AT3G22420"
"1083","AT3G22830"
"1084","AT3G22840"
"1085","AT3G22880"
"1086","AT3G22910"
"1087","AT3G23110"
"1088","AT3G23250"
"1089","AT3G23260"
"1090","AT3G23340"
"1091","AT3G23360"
"1092","AT3G23440"
"1093","AT3G23450"
"1094","AT3G23480"
"1095","AT3G23550"
"1096","AT3G24463"
"1097","AT3G24615"
"1098","AT3G24630"
"1099","AT3G25060"
"1100","AT3G25130"
"1101","AT3G25490"
"1102","AT3G25510"
"1103","AT3G25590"
"1104","AT3G25620"
"1105","AT3G25950"
"1106","AT3G25990"
"1107","AT3G26040"
"1108","AT3G26080"
"1109","AT3G26125"
"1110","AT3G26240"
"1111","AT3G26330"
"1112","AT3G26445"
"1113","AT3G26539"
"1114","AT3G26570"
"1115","AT3G26650"
"1116","AT3G26930"
"1117","AT3G27025"
"1118","AT3G27490"
"1119","AT3G27690"
"1120","AT3G27860"
"1121","AT3G28150"
"1122","AT3G28210"
"1123","AT3G28270"
"1124","AT3G28320"
"1125","AT3G28330"
"1126","AT3G28360"
"1127","AT3G28390"
"1128","AT3G28415"
"1129","AT3G28500"
"1130","AT3G28630"
"1131","AT3G28750"
"1132","AT3G28770"
"1133","AT3G28780"
"1134","AT3G28857"
"1135","AT3G28880"
"1136","AT3G28960"
"1137","AT3G29140"
"1138","AT3G29173"
"1139","AT3G29630"
"1140","AT3G29970"
"1141","AT3G32047"
"1142","AT3G33528"
"1143","AT3G41761"
"1144","AT3G43850"
"1145","AT3G44326"
"1146","AT3G44450"
"1147","AT3G44540"
"1148","AT3G44660"
"1149","AT3G44713"
"1150","AT3G44770"
"1151","AT3G44880"
"1152","AT3G44960"
"1153","AT3G44990"
"1154","AT3G45000"
"1155","AT3G45070"
"1156","AT3G45290"
"1157","AT3G45330"
"1158","AT3G45430"
"1159","AT3G45440"
"1160","AT3G45443"
"1161","AT3G45530"
"1162","AT3G45660"
"1163","AT3G45720"
"1164","AT3G45870"
"1165","AT3G45960"
"1166","AT3G46110"
"1167","AT3G46260"
"1168","AT3G46300"
"1169","AT3G46616"
"1170","AT3G46617"
"1171","AT3G46710"
"1172","AT3G46760"
"1173","AT3G46800"
"1174","AT3G46880"
"1175","AT3G46890"
"1176","AT3G47110"
"1177","AT3G47340"
"1178","AT3G47580"
"1179","AT3G47710"
"1180","AT3G47760"
"1181","AT3G48240"
"1182","AT3G48320"
"1183","AT3G48450"
"1184","AT3G48460"
"1185","AT3G48475"
"1186","AT3G48580"
"1187","AT3G49070"
"1188","AT3G49830"
"1189","AT3G50030"
"1190","AT3G50180"
"1191","AT3G50610"
"1192","AT3G50840"
"1193","AT3G51075"
"1194","AT3G51380"
"1195","AT3G51410"
"1196","AT3G51490"
"1197","AT3G51510"
"1198","AT3G51680"
"1199","AT3G51860"
"1200","AT3G51870"
"1201","AT3G51960"
"1202","AT3G52320"
"1203","AT3G52520"
"1204","AT3G52540"
"1205","AT3G52561"
"1206","AT3G52600"
"1207","AT3G52680"
"1208","AT3G53130"
"1209","AT3G53470"
"1210","AT3G53530"
"1211","AT3G53600"
"1212","AT3G53720"
"1213","AT3G53830"
"1214","AT3G54150"
"1215","AT3G54410"
"1216","AT3G54450"
"1217","AT3G54510"
"1218","AT3G54520"
"1219","AT3G55580"
"1220","AT3G55646"
"1221","AT3G56260"
"1222","AT3G56730"
"1223","AT3G56780"
"1224","AT3G56790"
"1225","AT3G56825"
"1226","AT3G56890"
"1227","AT3G57110"
"1228","AT3G57190"
"1229","AT3G57380"
"1230","AT3G57440"
