"","col_GC_c1.which.mclass....8...1."
"1025","AT3G11320"
"1026","AT3G11530"
"1027","AT3G11540"
"1028","AT3G11550"
"1029","AT3G11600"
"1030","AT3G11690"
"1031","AT3G11730"
"1032","AT3G11910"
"1033","AT3G12020"
"1034","AT3G12030"
"1035","AT3G12050"
"1036","AT3G12090"
"1037","AT3G12110"
"1038","AT3G12130"
"1039","AT3G12180"
"1040","AT3G12220"
"1041","AT3G12570"
"1042","AT3G12650"
"1043","AT3G12710"
"1044","AT3G12740"
"1045","AT3G12950"
"1046","AT3G12970"
"1047","AT3G13040"
"1048","AT3G13120"
"1049","AT3G13175"
"1050","AT3G13230"
"1051","AT3G13340"
"1052","AT3G13445"
"1053","AT3G13670"
"1054","AT3G13720"
"1055","AT3G13750"
"1056","AT3G13845"
"1057","AT3G13870"
"1058","AT3G13930"
"1059","AT3G14010"
"1060","AT3G14240"
"1061","AT3G14260"
"1062","AT3G14350"
"1063","AT3G14390"
"1064","AT3G14595"
"1065","AT3G14940"
"1066","AT3G15260"
"1067","AT3G15357"
"1068","AT3G15395"
"1069","AT3G15410"
"1070","AT3G15590"
"1071","AT3G15610"
"1072","AT3G15680"
"1073","AT3G15690"
"1074","AT3G15820"
"1075","AT3G15950"
"1076","AT3G16480"
"1077","AT3G16570"
"1078","AT3G16630"
"1079","AT3G16800"
"1080","AT3G16850"
"1081","AT3G16857"
"1082","AT3G16870"
"1083","AT3G16950"
"1084","AT3G17160"
"1085","AT3G17240"
"1086","AT3G17465"
"1087","AT3G17840"
"1088","AT3G17940"
"1089","AT3G18000"
"1090","AT3G18030"
"1091","AT3G18040"
"1092","AT3G18060"
"1093","AT3G18140"
"1094","AT3G18215"
"1095","AT3G18230"
"1096","AT3G18490"
"1097","AT3G18520"
"1098","AT3G18600"
"1099","AT3G18830"
"1100","AT3G18940"
"1101","AT3G19100"
"1102","AT3G19120"
"1103","AT3G19130"
"1104","AT3G19260"
"1105","AT3G19390"
"1106","AT3G19420"
"1107","AT3G19520"
"1108","AT3G19540"
"1109","AT3G19630"
"1110","AT3G19660"
"1111","AT3G19860"
"1112","AT3G19930"
"1113","AT3G19960"
"1114","AT3G19980"
"1115","AT3G20260"
"1116","AT3G20310"
"1117","AT3G20340"
"1118","AT3G20570"
"1119","AT3G20790"
"1120","AT3G20870"
"1121","AT3G21215"
"1122","AT3G21240"
"1123","AT3G21260"
"1124","AT3G21350"
"1125","AT3G21510"
"1126","AT3G21610"
"1127","AT3G22300"
"1128","AT3G22480"
"1129","AT3G22520"
"1130","AT3G22620"
"1131","AT3G22660"
"1132","AT3G22790"
"1133","AT3G22950"
"1134","AT3G22970"
"1135","AT3G23030"
"1136","AT3G23050"
"1137","AT3G23190"
"1138","AT3G23280"
"1139","AT3G23325"
"1140","AT3G23560"
"1141","AT3G23620"
"1142","AT3G23690"
"1143","AT3G23880"
"1144","AT3G23890"
"1145","AT3G24040"
"1146","AT3G24050"
"1147","AT3G24170"
"1148","AT3G24240"
"1149","AT3G24300"
"1150","AT3G24450"
"1151","AT3G24506"
"1152","AT3G24550"
"1153","AT3G24670"
"1154","AT3G25140"
"1155","AT3G25150"
"1156","AT3G25230"
"1157","AT3G25470"
"1158","AT3G25540"
"1159","AT3G25545"
"1160","AT3G25710"
"1161","AT3G25717"
"1162","AT3G25800"
"1163","AT3G25840"
"1164","AT3G26030"
"1165","AT3G26340"
"1166","AT3G26360"
"1167","AT3G26370"
"1168","AT3G26470"
"1169","AT3G26610"
"1170","AT3G26670"
"1171","AT3G26690"
"1172","AT3G26760"
"1173","AT3G26810"
"1174","AT3G26935"
"1175","AT3G27080"
"1176","AT3G27100"
"1177","AT3G27190"
"1178","AT3G27200"
"1179","AT3G27230"
"1180","AT3G27310"
"1181","AT3G27340"
"1182","AT3G27350"
"1183","AT3G27740"
"1184","AT3G27830"
"1185","AT3G28715"
"1186","AT3G28730"
"1187","AT3G28950"
"1188","AT3G29034"
"1189","AT3G29075"
"1190","AT3G29170"
"1191","AT3G29180"
"1192","AT3G29200"
"1193","AT3G29240"
"1194","AT3G29350"
"1195","AT3G30350"
"1196","AT3G32930"
"1197","AT3G41762"
"1198","AT3G41979"
"1199","AT3G42170"
"1200","AT3G43300"
"1201","AT3G43430"
"1202","AT3G43740"
"1203","AT3G43800"
"1204","AT3G44190"
"1205","AT3G44320"
"1206","AT3G44330"
"1207","AT3G46130"
"1208","AT3G46210"
"1209","AT3G46280"
"1210","AT3G46600"
"1211","AT3G46640"
"1212","AT3G46830"
"1213","AT3G46845"
"1214","AT3G47160"
"1215","AT3G47200"
"1216","AT3G47210"
"1217","AT3G47220"
"1218","AT3G47510"
"1219","AT3G47965"
"1220","AT3G48030"
"1221","AT3G48100"
"1222","AT3G48170"
"1223","AT3G48185"
"1224","AT3G48340"
"1225","AT3G48380"
"1226","AT3G48410"
"1227","AT3G48570"
"1228","AT3G48670"
"1229","AT3G48780"
"1230","AT3G48870"
"1231","AT3G49100"
"1232","AT3G49310"
"1233","AT3G49430"
"1234","AT3G49470"
"1235","AT3G49560"
"1236","AT3G49601"
"1237","AT3G49680"
"1238","AT3G49780"
"1239","AT3G49800"
"1240","AT3G49810"
"1241","AT3G50070"
"1242","AT3G50260"
