"","WS_c1.which.mclass....4...1."
"1214","AT5G13181"
"1215","AT5G13225"
"1216","AT5G13320"
"1217","AT5G13670"
"1218","AT5G13940"
"1219","AT5G14160"
"1220","AT5G14490"
"1221","AT5G14565"
"1222","AT5G15250"
"1223","AT5G15430"
"1224","AT5G15745"
"1225","AT5G15800"
"1226","AT5G16080"
"1227","AT5G16330"
"1228","AT5G16486"
"1229","AT5G16500"
"1230","AT5G16980"
"1231","AT5G17170"
"1232","AT5G17180"
"1233","AT5G17305"
"1234","AT5G17340"
"1235","AT5G17700"
"1236","AT5G17860"
"1237","AT5G17880"
"1238","AT5G17890"
"1239","AT5G18340"
"1240","AT5G18510"
"1241","AT5G18560"
"1242","AT5G18890"
"1243","AT5G19595"
