TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT1G42560,ATMLO9,0,0,0,0,0,-6.3755,-5.354474,-5.428794,-3.440041,0,0,0,0,-5.931595,-4.910569,-4.984888,-2.996135,0,0,0,0
AT1G45191,BGLU1,0,0,0,0,0,-7.013206,-6.209565,-5.578657,-6.438094,0,0,0,0,-6.569353,-5.765712,-5.134804,-5.994241,0,0,0,0
AT1G52690,LEA7,0,-1.734349,0,-3.61205,-0.9310869,0,-3.646695,0,0,-1.290189,0,-3.16789,-0.4869265,0,-3.202535,0,0,-3.424835,-2.980675,0,0
AT1G55260,LTPG6,0,-25.85498,0,-29.90524,0,0,-30.42257,-24.06285,-28.99018,-25.44382,0,-29.49408,0,0,-30.01142,-23.6517,-28.57903,0,0,0,0
AT1G55600,ATWRKY10,0,0,0,0,0,-4.76221,-3.859853,-4.769531,-5.071091,0,0,0,0,-4.31829,-3.415933,-4.325611,-4.627171,-1.078173,-0.6342533,0,0
AT1G55720,ATCAX6,0,-1.014058,-2.359762,0,0,-6.243367,-6.396489,-5.160721,-4.993014,-0.5701187,-1.915823,0,0,-5.799428,-5.95255,-4.716782,-4.549075,0,0,0,0
AT1G56150,SAUR71,0,0,-5.179811,-4.230993,-5.275228,0,-3.995839,0,0,0,-4.735627,-3.78681,-4.831044,0,-3.551655,0,0,0,0,-4.521601,-4.077418
AT1G60986,SCRL4,0,0,-3.190164,0,-1.715967,-1.247024,0,-2.254282,0,0,-2.745763,0,-1.271567,-0.8026236,0,-1.809881,0,-1.074988,-0.6305875,-4.154919,-3.710519
AT1G62360,BUM,0,0,-3.16956,-4.436482,-0.9156727,0,0,0,0,0,-2.725703,-3.992624,-0.4718154,0,0,0,0,0,0,0,0
AT1G65480,FT,0,0,0,0,0,-4.229682,-3.688738,-4.007683,-4.855277,0,0,0,0,-3.785558,-3.244614,-3.563559,-4.411153,0,0,0,0
