TAIR,SYMBOL,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_dark.
AT2G38220,APD3,0,-4.563579,-4.753431,-7.162129,-6.775913,-6.797186,-6.425146,-3.937015,-4.126866,-6.535565,-6.149349,-6.170622,-5.798582,-3.888971,-3.262407,-2.165552,-1.538988,-3.118268,-2.491704,-3.17538,-2.548816
AT2G38540,ATLTP1,0,-3.197621,0,-4.252375,0,-1.437593,-1.244279,-2.563743,0,-3.618497,0,-0.8037157,-0.6104011,-3.10421,-2.470332,0,0,-4.145321,-3.511443,-2.723501,-2.089623
AT2G40130,SMXL8,0,0,-0.8961182,-4.068722,-1.246457,-1.404071,-1.226558,0,-0.2721471,-3.444751,-0.6224861,-0.7800995,-0.6025873,0,0,0,0,0,0,-1.403743,-0.7797723
AT2G45410,LBD19,0,-5.079583,0,0,-3.454812,0,0,-4.447037,0,0,-2.822266,0,0,-1.049169,-0.4166238,0,0,-0.9337476,-0.3012021,0,0
AT2G45570,CYP76C2,0,0,-1.944371,-4.374832,-5.08408,-4.425347,-5.265164,0,-1.319084,-3.749545,-4.458794,-3.80006,-4.639877,0,0,0,0,0,0,0,0
AT2G47750,GH3.9,0,0,-4.196851,-4.498955,-1.229036,0,-1.243431,0,-3.572644,-3.874748,-0.6048295,0,-0.6192239,-2.9343,-2.310093,-5.479706,-4.855499,0,0,0,0
AT3G01500,ATBCA1,0,-3.281172,-2.25649,-1.106588,0,-4.571871,-2.025005,-2.654904,-1.630222,-0.4803191,0,-3.945603,-1.398736,-1.061139,-0.4348708,-3.781502,-3.155233,-3.955727,-3.329458,-4.887293,-4.261025
AT3G03820,SAUR29,0,0,-0.8950752,-3.389026,-5.613491,-4.086194,-4.152687,0,-0.2596322,-2.753583,-4.978048,-3.450751,-3.517244,-1.051164,-0.4157207,0,0,-2.232957,-1.597514,0,0
AT3G03840,SAUR27,0,0,-0.8961496,-3.993474,-2.871863,0,0,0,-0.25994,-3.357265,-2.235653,0,0,0,0,0,0,-0.9369507,-0.3007411,0,0
AT3G05790,LON4,0,0,0,0,-3.862788,-3.356443,-1.222486,0,0,0,-3.238625,-2.73228,-0.5983227,0,0,0,0,0,0,0,0
