TAIR,SYMBOL,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_dark.
AT1G09720,NET2B,0,-3.416802635,0,0,0,-4.007395255,0,0,0,-1.903579224,-2.494171845,0,0,0,0,0,0,-2.487232446,-3.077825067,0,0
AT1G10010,AAP8,0,-0.744501287,0,0,0,-1.332744388,0,0,0,0,0,-2.544044384,-3.132287486,-0.453238102,-1.041481203,-2.523030656,-3.111273757,0,0,0,0
AT1G10540,ATNAT8,0,-2.147529145,-4.258288082,-3.301804541,-3.285594002,-2.737156233,-4.84791517,-3.89143163,-3.87522109,0,0,-0.30886212,-0.898489209,-4.324833542,-4.91446063,0,0,0,0,-1.730733739,-2.320360827
AT1G18350,ATMKK7,0,-3.598707498,-0.717091011,-0.906418786,0,-4.184779463,-1.303162977,-1.492490752,0,0,0,0,0,0,0,0,0,-0.449914783,-1.035986749,0,0
AT1G19890,ATMGH3,0,-4.844121993,-3.741995113,-2.45908386,0,-5.425345518,-4.323218638,-3.040307385,0,0,0,0,0,0,0,-0.869821314,-1.451044839,0,0,0,0
AT1G22380,AtUGT85A3,0,-0.71027596,-3.079263431,0,-4.253835415,-1.299170479,-3.66815795,0,-4.842729935,0,0,-1.99107878,-2.5799733,0,0,0,0,0,0,0,0
AT1G24260,AGL9,0,0,0,-0.946667079,-3.812681973,0,0,-1.53337013,-4.399385023,0,0,0,0,0,0,0,0,0,0,0,0
AT1G25210,AtLpxC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.163068575,-3.749820844,-4.933500162,-5.520252431
AT1G28270,AtRALF4,0,-5.170098007,0,0,0,-5.757061023,0,0,0,-2.642437366,-3.229400382,-4.652792991,-5.239756007,-3.331964792,-3.918927809,0,0,-2.171353581,-2.758316598,0,0
AT1G32060,PRK,0,-4.315855,0,-3.059062,0,-4.90515,0,-3.648358,0,-3.247978,-3.837273,-4.760897,-5.350193,-3.974855,-4.56415,0,0,0,0,0,0
AT1G32560,AtLEA4-1,0,-0.7093608,-1.370774,-2.806954,-0.7302664,-1.292965,-1.954379,-3.390559,-1.313871,-1.33002,-1.913624,-1.08303,-1.666635,-1.624287,-2.207891,0,0,-1.290829,-1.874433,0,0
AT1G34140,PAB1,0,-0.709921,0,0,0,-1.296797,0,0,0,-3.29851,-3.885386,0,0,-0.4195786,-1.006455,0,0,0,0,-2.223938,-2.810814
AT1G42560,ATMLO9,0,-5.83292,-4.811894,-4.886214,-2.897461,-6.421184,-5.400158,-5.474477,-3.485724,0,0,0,0,0,0,0,0,0,0,0,0
AT1G44575,CP22,0,0,0,-3.500536,0,0,0,-4.088063,0,-1.395851,-1.983378,0,0,-5.114883,-5.702409,-0.9409336,-1.52846,0,0,0,0
AT1G45191,BGLU1,0,-6.470427,-5.666786,-5.035878,-5.895315,-7.059432,-6.255791,-5.624882,-6.48432,0,0,0,0,0,0,0,0,0,0,0,0
AT1G48020,ATPMEI1,0,0,0,0,0,0,0,0,0,-2.500136,-3.082111,-4.03243,-4.614406,-2.453362,-3.035338,0,0,0,0,-4.169483,-4.751459
AT1G50610,PRK5,0,-2.366144,0,0,0,-2.956438,0,0,0,0,0,-2.852554,-3.442848,-0.4186581,-1.008952,-0.8704009,-1.460695,-0.4535247,-1.043819,-2.276253,-2.866546
AT1G53480,ATMRD1,0,-1.772785,-2.694606,0,-3.163799,-2.357937,-3.279757,0,-3.748951,-11.45312,-12.03828,-11.44539,-12.03054,-11.41816,-12.00331,-11.687,-12.27216,0,0,-1.174375,-1.759527
AT1G54470,RPP27,0,-0.7104313,-0.7203488,-2.149968,-3.601785,-1.300252,-1.31017,-2.739788,-4.191606,0,0,-0.3083673,-0.8981881,0,0,-0.8703633,-1.460184,-0.4531187,-1.042939,0,0
AT1G55600,ATWRKY10,0,-4.219694,-3.317336,-4.227015,-4.528575,-4.807725,-3.905368,-4.815046,-5.116606,-0.535657,-1.123688,0,0,0,0,0,0,0,0,0,0
AT1G55720,ATCAX6,0,-5.700921,-5.854042,-4.618274,-4.450567,-6.28869,-6.441812,-5.206044,-5.038337,0,0,0,0,0,0,0,0,-0.4716112,-1.059381,-1.817315,-2.405085
AT1G59670,ATGSTU15,0,-5.75868,-5.792271,-5.282094,-5.521916,-6.342368,-6.375958,-5.865782,-6.105604,0,0,0,0,-1.6682,-2.251887,0,0,0,0,-1.074129,-1.657816
AT1G65480,FT,0,-3.688199,-3.147255,-3.4662,-4.313794,-4.272522,-3.731578,-4.050523,-4.898117,0,0,0,0,0,0,0,0,0,0,0,0
AT1G66970,GDPDL1,0,0,-0.7644456,0,0,0,-1.355142,0,0,0,0,0,0,0,0,0,0,-2.331893,-2.922589,-4.807118,-5.397814
AT1G68090,ANN5,0,-2.285673,-3.778355,-1.651962,-4.129283,-2.872683,-4.365365,-2.238972,-4.716294,-0.5519876,-1.138998,-2.133498,-2.720508,-0.4039559,-0.990966,-2.519269,-3.106279,-1.861425,-2.448435,0,0
AT1G68170,UMAMIT23,0,0,0,-3.450272,0,0,0,-4.038032,0,0,0,0,0,-2.479453,-3.067213,0,0,-0.5951873,-1.182947,0,0
AT1G70910,DEP,0,0,-2.843255,0,0,0,-3.421738,0,0,-0.5359777,-1.114461,-2.431429,-3.009912,-2.359757,-2.93824,0,0,0,0,0,0
AT1G74810,BOR5,0,-3.589463,0,0,0,-4.180156,0,0,0,-0.5669665,-1.157659,-0.3895936,-0.9802865,-1.626372,-2.217065,-0.9435757,-1.534269,0,0,-2.674025,-3.264717
AT1G75430,BLH11,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.617759,-4.204745,-0.9026994,-1.489685,0,0,0,0
AT1G77210,AtSTP14,0,-4.566676,0,0,0,-5.156178,0,0,0,-2.919151,-3.508653,-2.197498,-2.787,0,0,0,0,-2.225265,-2.814766,-1.091188,-1.680689
AT1G79400,ATCHX2,0,0,0,0,0,0,0,0,0,-1.869154,-2.459246,-4.54903,-5.139122,-1.022404,-1.612495,0,0,-0.4533511,-1.043443,0,0
AT1G80330,ATGA3OX4,0,0,0,0,0,0,0,0,0,-0.5356958,-1.121495,-1.827016,-2.412816,-2.222474,-2.808274,0,0,-3.128515,-3.714315,0,0
AT1G80590,ATWRKY66,0,-8.115756,-8.605917,-8.506116,-6.752135,-8.698796,-9.188957,-9.089155,-7.335175,-2.33342,-2.91646,-2.001649,-2.584688,0,0,0,0,-1.389219,-1.972258,0,0
AT2G03210,ATFUT2,0,-0.7006468,-1.512991,0,-2.529936,-1.289664,-2.102009,0,-3.118953,-2.612521,-3.201538,-3.780673,-4.369691,-0.4677006,-1.056718,0,0,-0.5013807,-1.090398,0,0
AT2G18260,ATSYP112,0,-1.496199,0,-2.073392,-2.082309,-2.083573,0,-2.660766,-2.669684,-1.320251,-1.907626,-0.357969,-0.9453438,-0.947279,-1.534654,0,0,-3.93268,-4.520055,0,0
AT2G21200,SAUR7,0,-0.7094461,-0.7153967,-2.053869,0,-1.293556,-1.299506,-2.637978,0,-0.5357503,-1.11986,-1.299424,-1.883534,-1.018709,-1.602818,0,0,0,0,-2.211454,-2.795564
AT2G21490,LEA,0,0,0,0,0,0,0,0,0,-2.046523,-2.630155,-2.598664,-3.182297,-2.716549,-3.300181,0,0,0,0,0,0
AT2G21770,CESA09,0,0,0,0,0,0,0,0,0,0,0,-1.641014,-2.232386,-4.352187,-4.943559,0,0,-1.172629,-1.764001,0,0
AT2G23220,CYP81D6,0,0,-4.198965,-0.8933158,-0.7337556,0,-4.787302,-1.481652,-1.322092,0,0,0,0,0,0,0,0,0,0,-2.276718,-2.865055
AT2G24450,FLA3,0,0,0,0,0,0,0,0,0,0,0,-2.142379,-2.729049,-3.218944,-3.805613,0,0,-0.4504235,-1.037093,0,0
AT2G25820,ESE2,0,-2.360231,0,0,0,-2.945882,0,0,0,-2.427739,-3.01339,-1.080627,-1.666277,-0.4199192,-1.00557,0,0,-0.4495562,-1.035207,0,0
AT2G26020,PDF1.2b,0,-8.801224,-4.128116,-7.901994,-3.311623,-9.379464,-4.706356,-8.480235,-3.889864,0,0,0,0,0,0,0,0,0,0,0,0
AT2G29630,PY,0,-5.274468,0,-1.978219,-3.488481,-5.865242,0,-2.568993,-4.079255,0,0,-0.3236315,-0.9144055,0,0,-0.890955,-1.481729,-2.919088,-3.509862,-3.535588,-4.126362
AT2G32370,HDG3,0,-1.525178,0,0,0,-2.115846,0,0,0,-1.322555,-1.913223,-1.083002,-1.673669,-3.658382,-4.24905,0,0,-2.58575,-3.176418,0,0
AT2G32860,BGLU33,0,0,-1.697728,-2.694509,0,0,-2.287488,-3.284269,0,-2.557917,-3.147676,0,0,0,0,0,0,0,0,-2.255226,-2.844986
AT2G35990,LOG2,0,0,0,0,0,0,0,0,0,-0.649768,-1.235659,-2.890857,-3.476748,-3.122602,-3.708493,-0.9781077,-1.563999,-1.619078,-2.204969,-2.474316,-3.060207
AT3G01530,ATMYB57,0,-3.783037,0,-1.641286,0,-4.371239,0,-2.229489,0,-3.04413,-3.632333,-2.593309,-3.181512,-2.162041,-2.750244,0,0,-2.478432,-3.066635,0,0
AT3G02885,GASA5,0,-0.7298304,-2.691192,0,0,-1.313101,-3.274462,0,0,0,0,-2.678274,-3.261544,-3.579892,-4.163162,0,0,-2.550398,-3.133668,-1.099444,-1.682715
AT3G04510,LSH2,0,-0.7100154,0,0,0,-1.297439,0,0,0,-0.535593,-1.123017,-2.143105,-2.730528,0,0,0,0,-2.745281,-3.332704,0,0
AT3G05790,LON4,0,0,-3.354927,-2.848582,-0.7146254,0,-3.94567,-3.439325,-1.305368,0,0,0,0,0,0,0,0,0,0,0,0
AT3G06560,PAPS3,0,-2.9421,0,-2.765096,0,-3.531147,0,-3.354144,0,-1.525431,-2.114478,0,0,-2.743722,-3.33277,0,0,-0.4524556,-1.041503,0,0
AT3G12660,FLA14,0,-2.07618,0,0,0,-2.658344,0,0,0,-2.286543,-2.868708,-3.558135,-4.1403,-2.627203,-3.209367,0,0,0,0,0,0
AT3G13390,sks11,0,-1.525747,0,0,0,-2.115676,0,0,0,-1.323579,-1.913508,-1.083226,-1.673155,-0.418759,-1.008688,0,0,-2.656678,-3.246607,-1.061412,-1.651341
AT3G13960,AtGRF5,0,-2.61078,0,0,-1.970807,-3.200258,0,0,-2.560285,-2.292363,-2.88184,-2.482574,-3.072052,0,0,0,0,-0.4528241,-1.042302,0,0
