TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT5G24550,BGLU32,0,-2.334825,-2.493161,0,0,0,0,0,0,-3.412335,-3.570672,0,0,0,0,-1.130335,-1.288672,0,0,0,0
AT5G24655,LSU4,0,-5.134398,-5.335253,-5.220977,-5.421832,-6.260437,-6.461293,-3.182763,-3.383618,-6.37249,-6.573345,-3.198922,-3.399777,-6.455125,-6.65598,-5.777002,-5.977858,0,0,0,0
AT5G24660,LSU2,0,-4.662738,-4.856955,-6.311477,-6.505693,-6.070552,-6.264769,-6.14282,-6.337037,-6.688359,-6.882576,-5.758508,-5.952725,-7.11983,-7.314047,-5.898325,-6.092542,0,0,0,0
AT5G24770,ATVSP2,0,-2.433771,-2.595294,0,0,0,0,0,0,0,0,0,0,-1.044391,-1.205915,-2.821437,-2.982961,0,0,-0.8013434,-0.9628673
AT5G25910,AtRLP52,0,-5.085942,-5.233483,-6.266231,-6.413772,-4.043176,-4.190717,-5.776725,-5.924266,-5.49275,-5.640291,-5.603413,-5.750955,-4.572888,-4.720429,-5.420834,-5.568375,-0.7896087,-0.9371498,-1.723892,-1.871433
AT5G26140,ATLOG9,0,0,0,0,0,-3.07704,-3.278747,0,0,-1.155157,-1.356864,0,0,-3.4632,-3.664907,0,0,0,0,0,0
AT5G26220,AtGGCT2;1,0,-1.396389,-1.568905,0,0,-0.4818388,-0.654355,0,0,-1.517144,-1.68966,-4.526083,-4.6986,0,0,0,0,0,0,0,0
AT5G26950,AGL93,0,-3.832214,-4.020067,-2.07471,-2.262563,-3.998169,-4.186022,0,0,-0.4915428,-0.6793956,-4.186,-4.373853,-2.709286,-2.897139,-1.902038,-2.089891,0,0,0,0
AT5G27060,AtRLP53,0,-3.248553,-3.392048,-3.619979,-3.763475,-3.354755,-3.498251,0,0,-3.372836,-3.516331,-2.615731,-2.759227,-2.683619,-2.827114,-5.31055,-5.454045,0,0,0,0
AT5G28030,DES1,0,-2.819597,-2.972184,-1.657024,-1.809611,-1.624702,-1.777289,-3.49728,-3.649867,-1.555924,-1.708511,-3.328018,-3.480605,-3.975539,-4.128126,-3.162808,-3.315396,0,0,0,0
