TAIR,SYMBOL,Log2fc_.Col.0_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_dark.
AT4G12440,APT4,0,-3.046987,0,-2.013623,0,0,-1.4929,-1.12074,-4.380623,-2.325878,-1.781917,-3.275131,0,-2.241767,0,0,-1.721043,-1.348883,-4.608766,-2.554022,-2.010061
AT4G13090,XTH2,0,0,0,0,0,0,-2.928127,-5.475048,-4.32541,-6.879926,0,0,0,0,0,0,-3.156656,-5.703578,-4.55394,-7.108455,0
AT4G13240,ATROPGEF9,0,0,0,-1.659833,0,-3.319198,-3.201387,0,0,-1.312885,0,0,0,-1.887387,0,-3.546752,-3.42894,0,0,-1.540438,0
AT4G13420,ATHAK5,0,-2.692485,0,0,0,-1.387549,0,0,-5.630116,0,-5.404416,-2.920045,0,0,0,-1.615109,0,0,-5.857676,0,-5.631976
AT4G13570,HTA4,0,0,-1.097777,0,0,0,0,-0.9371642,-4.205359,-4.551558,-3.312937,0,-1.326573,0,0,0,0,-1.165959,-4.434154,-4.780354,-3.541732
AT4G14670,CLPB2,0,0,0,0,0,0,0,0,-4.309189,-2.086063,-1.160366,0,0,0,0,0,0,0,-4.536712,-2.313586,-1.387889
AT4G20370,TSF,0,0,0,0,-1.49483,-4.166943,-1.700938,0,0,0,0,0,0,0,-1.72317,-4.395283,-1.929278,0,0,0,0
AT4G21750,ATML1,0,-3.504322,0,0,-3.43401,-6.172848,0,-2.802828,-5.095548,-1.359579,-5.347147,-3.731534,0,0,-3.661221,-6.400059,0,-3.03004,-5.322759,-1.58679,-5.574359
AT4G21940,CPK15,0,0,-3.608213,-0.9010789,-3.235809,-4.312984,-3.749449,-2.532537,-1.160069,-4.241121,-2.656456,0,-3.835577,-1.128442,-3.463173,-4.540348,-3.976812,-2.7599,-1.387432,-4.468484,-2.883819
AT4G22210,LCR85,0,0,0,0,0,0,-1.836756,-5.535773,-5.270579,-6.787802,-5.016214,0,0,0,0,0,-2.066652,-5.765668,-5.500474,-7.017697,-5.246109
AT4G23170,CRK9,0,0,-2.629519,0,0,-4.126897,0,-1.136242,0,0,0,0,-2.85706,0,0,-4.354438,0,-1.363783,0,0,0
AT4G24890,ATPAP24,0,-2.130793,0,0,-6.134452,0,0,-2.565265,-4.884387,-4.503392,-1.160765,-2.358144,0,0,-6.361802,0,0,-2.792615,-5.111738,-4.730743,-1.388116
AT4G24972,TPD1,0,-3.574002,0,0,0,0,0,0,0,-3.265135,0,-3.801747,0,0,0,0,0,0,0,-3.492879,0
AT4G25010,AtSWEET14,0,-0.8454346,-6.075454,0,0,0,-7.071574,-2.774205,-5.545938,0,-8.336723,-1.073174,-6.303194,0,0,0,-7.299314,-3.001945,-5.773677,0,-8.564462
AT4G25850,ORP4B,0,0,0,0,0,-6.103135,0,0,-6.111216,0,-4.584161,0,0,0,0,-6.330954,0,0,-6.339036,0,-4.811981
AT4G26150,CGA1,0,0,0,0,0,0,0,-1.136087,-3.108733,-5.225799,0,0,0,0,0,0,0,-1.363744,-3.33639,-5.453456,0
AT4G27550,ATTPS4,0,0,0,0,-4.751244,0,0,0,-3.11862,0,-2.825309,0,0,0,-4.978723,0,0,0,-3.346099,0,-3.052788
AT4G34250,KCS16,0,0,0,0,-14.0104,-19.27513,0,0,-19.48412,-12.38473,-16.47173,0,0,0,-24.31263,-29.57737,0,0,-29.78636,-22.68696,-26.77396
AT4G34770,SAUR1,0,-0.8467692,-3.603129,-2.59585,0,0,-2.820814,0,0,-2.117555,-1.154347,-1.075353,-3.831713,-2.824434,0,0,-3.049399,0,0,-2.346139,-1.382931
AT4G36260,SRS2,0,0,0,0,0,-6.178722,0,0,-5.689742,0,-4.5855,0,0,0,0,-6.406514,0,0,-5.917534,0,-4.813292
AT4G36570,ATRL3,0,-3.163762,0,0,0,0,0,-5.174058,-1.140095,0,0,-3.392167,0,0,0,0,0,-5.402463,-1.3685,0,0
AT4G38770,ATPRP4,0,-4.335281,-1.294111,-2.567175,-1.528016,-4.243483,0,0,-4.63228,-3.553816,-3.12418,-4.56264,-1.52147,-2.794534,-1.755375,-4.470842,0,0,-4.859639,-3.781175,-3.351538
AT4G38840,SAUR14,0,-1.939879,0,0,-1.501133,-2.586907,-1.599259,0,0,-2.990739,0,-2.169042,0,0,-1.730297,-2.816071,-1.828422,0,0,-3.219902,0
AT4G39330,ATCAD9,0,0,0,0,0,-3.744202,0,0,-4.036217,-3.126248,0,0,0,0,0,-3.972047,0,0,-4.264062,-3.354093,0
AT4G39770,TPPH,0,-7.130014,0,0,-4.294933,-1.386956,0,0,-2.375036,-2.461049,-2.984454,-7.358047,0,0,-4.522966,-1.614989,0,0,-2.603069,-2.689082,-3.212487
AT5G05280,DAF,0,0,-2.323091,0,0,0,0,-4.202183,-3.105092,-2.103548,-3.994018,0,-2.551415,0,0,0,0,-4.430507,-3.333416,-2.331872,-4.222342
AT5G07180,ERL2,0,-3.548975,-3.171856,0,0,0,0,0,0,-4.560602,0,-3.776372,-3.399254,0,0,0,0,0,0,-4.788,0
AT5G07190,ATS3,0,-1.997935,0,0,-1.515133,-1.403159,0,0,0,-3.618392,0,-2.225952,0,0,-1.743151,-1.631177,0,0,0,-3.84641,0
AT5G08000,E13L3,0,-4.656461,0,0,0,0,-5.820568,0,-1.186204,-1.371642,0,-4.884422,0,0,0,0,-6.048529,0,-1.414165,-1.599603,0
AT5G08030,AtGDPD6,0,-2.25781,0,-2.181818,-1.49407,0,-2.894122,0,0,0,0,-2.485643,0,-2.409651,-1.721903,0,-3.121955,0,0,0,0
AT5G14400,CYP724A1,0,0,0,0,0,0,-1.602214,-3.705625,-2.680739,-3.838249,0,0,0,0,0,0,-1.83011,-3.93352,-2.908634,-4.066144,0
AT5G16500,LIP1,0,0,-4.407347,0,0,-1.387663,-2.473563,-2.204832,0,0,0,0,-4.634823,0,0,-1.615139,-2.701039,-2.432307,0,0,0
AT5G16580,BGLU2,0,0,-2.630182,0,0,0,-0.8012141,0,0,0,-4.079594,0,-2.858085,0,0,0,-1.029117,0,0,0,-4.307497
AT5G17320,HDG9,0,-0.8445467,-4.142979,0,0,0,0,-4.669414,0,-1.308812,-1.160958,-1.072066,-4.370499,0,0,0,0,-4.896933,0,-1.536331,-1.388477
AT5G18560,PUCHI,0,0,0,0,0,-1.387646,-4.150341,0,0,-2.089897,-1.159544,0,0,0,0,-1.615333,-4.378028,0,0,-2.317584,-1.387231
AT5G19600,SULTR3;5,0,0,-2.809386,0,-2.560971,-3.318597,-5.289679,0,-3.835464,0,-4.579397,0,-3.037168,0,-2.788752,-3.546378,-5.517461,0,-4.063245,0,-4.807179
AT5G22380,anac090,0,-1.442335,-1.295639,-2.405403,-2.571973,0,-2.474087,-2.049784,-2.173465,0,0,-1.670563,-1.523866,-2.633631,-2.8002,0,-2.702315,-2.278011,-2.401693,0,0
AT5G24110,ATWRKY30,0,-3.114596,0,0,0,-4.429502,-4.132341,-1.854247,0,-3.513647,0,-3.342411,0,0,0,-4.657318,-4.360156,-2.082062,0,-3.741462,0
AT5G24950,CYP71A15,0,-0.8453544,0,0,0,0,0,-4.30585,-3.072388,-2.975677,-5.995496,-1.072829,0,0,0,0,0,-4.533325,-3.299863,-3.203152,-6.22297
AT5G25610,ATRD22,0,-2.582218,-2.773949,-0.8783372,-3.242767,-1.387802,0,0,-6.394994,0,-1.160188,-2.80971,-3.001441,-1.10583,-3.47026,-1.615294,0,0,-6.622487,0,-1.387681
AT5G26140,ATLOG9,0,-3.471683,0,-1.5498,0,-3.857843,0,0,0,0,0,-3.700199,0,-1.778316,0,-4.086359,0,0,0,0,0
AT5G27070,AGL53,0,0,0,-2.009511,0,0,-0.8037463,-3.050884,-1.140655,-3.881089,-1.155944,0,0,-2.237874,0,0,-1.032109,-3.279247,-1.369018,-4.109452,-1.384307
AT5G37640,UBQ9,0,-2.385985,0,0,0,0,0,0,-1.141798,-2.576812,-4.1678,-2.614148,0,0,0,0,0,0,-1.369962,-2.804976,-4.395964
AT5G37820,NIP4;2,0,-0.9195822,-4.406346,0,-3.008923,0,-4.348201,0,0,0,0,-1.147627,-4.634392,0,-3.236968,0,-4.576246,0,0,0,0
AT5G38410,RBCS3B,0,-7.450712,-1.375844,-2.172794,-1.610589,-3.578212,-3.674142,-6.000524,0,-6.396648,-4.029304,-7.67843,-1.603562,-2.400512,-1.838306,-3.80593,-3.90186,-6.228242,0,-6.624365,-4.257022
AT5G38430,RBCS1B,0,-5.674952,0,0,0,-1.702964,0,0,0,-4.732905,0,-5.902742,0,0,0,-1.930754,0,0,0,-4.960694,0
AT5G38800,AtbZIP43,0,0,-3.02915,0,-4.361877,0,0,0,0,0,0,0,-3.257635,0,-4.590362,0,0,0,0,0,0
AT5G39750,AGL81,0,0,0,0,0,0,0,-3.250791,-2.785532,-2.576676,0,0,0,0,0,0,0,-3.478791,-3.013532,-2.804676,0
AT5G42410,SAUR43,0,-0.8476056,0,0,-2.579471,-2.999913,-2.058888,0,0,-2.12929,0,-1.07662,0,0,-2.808485,-3.228927,-2.287902,0,0,-2.358304,0
AT5G42600,MRN1,0,0,-18.01419,-11.75774,-14.5197,-15.57019,-18.91239,0,0,0,-14.91085,0,-31.79933,-25.54287,-28.30483,-29.35533,-32.69752,0,0,0,-28.69599
AT5G43370,APT1,0,-0.8095078,0,-0.9171406,0,-2.752357,0,-9.212633,-6.937134,-8.780061,-5.796785,-1.036917,0,-1.14455,0,-2.979766,0,-9.440042,-7.164543,-9.00747,-6.024194
