"","col_GC_c1.which.mclass....1...1."
"883","AT2G07768"
"884","AT2G07775"
"885","AT2G07795"
"886","AT2G07805"
"887","AT2G07965"
"888","AT2G08020"
"889","AT2G08060"
"890","AT2G08205"
"891","AT2G08235"
"892","AT2G08320"
"893","AT2G08330"
"894","AT2G08405"
"895","AT2G08420"
"896","AT2G08430"
"897","AT2G08445"
"898","AT2G08450"
"899","AT2G08460"
"900","AT2G08470"
"901","AT2G08475"
"902","AT2G08500"
"903","AT2G08505"
"904","AT2G08525"
"905","AT2G08575"
"906","AT2G08595"
"907","AT2G08610"
"908","AT2G08655"
"909","AT2G08660"
"910","AT2G08680"
"911","AT2G08695"
"912","AT2G08700"
"913","AT2G08735"
"914","AT2G08740"
"915","AT2G08760"
"916","AT2G08770"
"917","AT2G08795"
"918","AT2G08815"
"919","AT2G08825"
"920","AT2G08850"
"921","AT2G08900"
"922","AT2G08905"
"923","AT2G08910"
"924","AT2G08915"
"925","AT2G08955"
"926","AT2G09025"
"927","AT2G09045"
"928","AT2G09165"
"929","AT2G09195"
"930","AT2G09205"
"931","AT2G09230"
"932","AT2G09255"
"933","AT2G09295"
"934","AT2G09300"
"935","AT2G09305"
"936","AT2G09310"
"937","AT2G09335"
"938","AT2G09365"
"939","AT2G09425"
"940","AT2G09435"
"941","AT2G09440"
"942","AT2G09455"
"943","AT2G09510"
"944","AT2G09525"
"945","AT2G09575"
"946","AT2G09605"
"947","AT2G09610"
"948","AT2G09665"
"949","AT2G09695"
"950","AT2G09700"
"951","AT2G09705"
"952","AT2G09710"
"953","AT2G09735"
"954","AT2G09745"
"955","AT2G09775"
"956","AT2G09845"
"957","AT2G09885"
"958","AT2G09895"
"959","AT2G09905"
"960","AT2G09965"
"961","AT2G10537"
"962","AT2G10940"
"963","AT2G11205"
"964","AT2G11215"
"965","AT2G11270"
"966","AT2G11810"
"967","AT2G11815"
"968","AT2G11891"
"969","AT2G12170"
"970","AT2G13965"
"971","AT2G14080"
"972","AT2G14160"
"973","AT2G14510"
"974","AT2G14560"
"975","AT2G14690"
"976","AT2G14760"
"977","AT2G14810"
"978","AT2G14920"
"979","AT2G15080"
"980","AT2G15130"
