"","X","phyD_GC_c1.which.mclass....2...1."
"496",496,"AT1G21010"
"537",537,"AT1G23060"
"2880",2880,"AT3G27270"
"4493",4493,"AT5G12100"
"1760",1760,"AT2G23470"
"4359",4359,"AT5G05965"
"1144",1144,"AT1G66520"
"2367",2367,"AT3G02990"
"645",645,"AT1G29550"
"697",697,"AT1G32330"
"3830",3830,"AT4G21840"
"3646",3646,"AT4G14340"
"2618",2618,"AT3G14540"
"2048",2048,"AT2G37360"
"4160",4160,"AT4G37432"
"5045",5045,"AT5G48090"
"306",306,"AT1G12730"
"1170",1170,"AT1G67600"
"2092",2092,"AT2G38960"
"3436",3436,"AT4G02210"
"2240",2240,"AT2G45100"
"2769",2769,"AT3G21480"
"4182",4182,"AT4G38330"
"786",786,"AT1G48070"
"5347",5347,"AT5G61370"
"4197",4197,"AT4G39140"
"2516",2516,"AT3G09710"
"686",686,"AT1G31480"
"2391",2391,"AT3G04010"
"1496",1496,"AT2G02170"
"4161",4161,"AT4G37445"
"3639",3639,"AT4G14190"
"3891",3891,"AT4G24730"
"412",412,"AT1G17450"
"3416",3416,"AT4G01570"
"5281",5281,"AT5G58190"
"5440",5440,"AT5G65205"
"2254",2254,"AT2G45770"
"4567",4567,"AT5G16870"
"1127",1127,"AT1G65560"
"734",734,"AT1G35340"
"3757",3757,"AT4G18501"
"1748",1748,"AT2G23093"
"4417",4417,"AT5G08391"
"3216",3216,"AT3G55740"
"3418",3418,"AT4G01580"
"1811",1811,"AT2G25560"
"144",144,"AT1G06490"
"10",10,"AT1G01500"
"2512",2512,"AT3G09560"
"830",830,"AT1G50000"
"3523",3523,"AT4G08590"
"5344",5344,"AT5G61280"
"3421",3421,"AT4G01720"
"2569",2569,"AT3G12520"
"245",245,"AT1G09960"
"2384",2384,"AT3G03660"
"4832",4832,"AT5G37360"
"4919",4919,"AT5G41580"
"24",24,"AT1G02060"
"2319",2319,"AT3G01210"
"3991",3991,"AT4G29360"
"1715",1715,"AT2G21385"
"3480",3480,"AT4G04220"
"3380",3380,"AT3G66652"
"3806",3806,"AT4G20910"
"16",16,"AT1G01790"
"2810",2810,"AT3G24090"
"801",801,"AT1G48770"
"4833",4833,"AT5G37478"
"2293",2293,"AT2G47090"
"2619",2619,"AT3G14550"
"4149",4149,"AT4G37170"
"2593",2593,"AT3G13530"
"4542",4542,"AT5G15710"
"5026",5026,"AT5G46870"
"1882",1882,"AT2G29970"
"4773",4773,"AT5G26910"
"2079",2079,"AT2G38300"
"2792",2792,"AT3G23070"
"1448",1448,"AT1G79630"
"2025",2025,"AT2G36090"
"2903",2903,"AT3G28650"
"113",113,"AT1G05300"
"2648",2648,"AT3G15780"
"4686",4686,"AT5G23030"
"4671",4671,"AT5G22240"
"1873",1873,"AT2G29525"
"5421",5421,"AT5G64520"
"1076",1076,"AT1G62760"
"2037",2037,"AT2G36960"
"5103",5103,"AT5G50290"
"3372",3372,"AT3G63255"
"1372",1372,"AT1G76270"
"3810",3810,"AT4G21065"
"5474",5474,"AT5G67200"
"683",683,"AT1G31360"
"651",651,"AT1G29750"
"875",875,"AT1G52315"
"515",515,"AT1G21910"
"4929",4929,"AT5G42210"
"5303",5303,"AT5G59240"
"164",164,"AT1G07119"
"4490",4490,"AT5G11870"
"1418",1418,"AT1G78360"
"2817",2817,"AT3G24360"
"1732",1732,"AT2G22610"
"3435",3435,"AT4G02195"
"3250",3250,"AT3G57390"
"3937",3937,"AT4G26890"
"2760",2760,"AT3G20910"
"779",779,"AT1G47655"
"170",170,"AT1G07320"
"244",244,"AT1G09910"
"1660",1660,"AT2G18915"
"2118",2118,"AT2G40150"
"3385",3385,"AT4G00310"
"5139",5139,"AT5G51540"
"3011",3011,"AT3G47630"
"2188",2188,"AT2G42960"
"3951",3951,"AT4G27480"
"437",437,"AT1G18290"
"3503",3503,"AT4G06395"
"333",333,"AT1G13860"
"1368",1368,"AT1G76065"
"2309",2309,"AT2G47820"
"3785",3785,"AT4G19900"
"4169",4169,"AT4G37730"
"4358",4358,"AT5G05940"
"5238",5238,"AT5G56230"
"1968",1968,"AT2G33680"
"40",40,"AT1G02910"
"936",936,"AT1G54840"
"551",551,"AT1G23880"
"2121",2121,"AT2G40240"
"1329",1329,"AT1G73965"
"3248",3248,"AT3G57160"
"822",822,"AT1G49730"
"4962",4962,"AT5G43790"
"43",43,"AT1G03010"
"4157",4157,"AT4G37390"
"4925",4925,"AT5G41920"
"2776",2776,"AT3G21740"
"4058",4058,"AT4G32690"
"1280",1280,"AT1G72280"
"2925",2925,"AT3G42670"
"4821",4821,"AT5G36170"
"993",993,"AT1G58590"
"1253",1253,"AT1G70790"
"432",432,"AT1G18180"
"3134",3134,"AT3G52050"
"2782",2782,"AT3G22430"
"3752",3752,"AT4G18390"
"14",14,"AT1G01710"
"5496",5496,"ATCG00440"
"3859",3859,"AT4G23420"
"3118",3118,"AT3G51450"
"1032",1032,"AT1G61180"
"1078",1078,"AT1G62840"
"4241",4241,"AT5G01360"
"4005",4005,"AT4G30060"
"1726",1726,"AT2G22240"
"1244",1244,"AT1G70470"
"2504",2504,"AT3G09210"
"3464",3464,"AT4G03400"
"4156",4156,"AT4G37340"
"4614",4614,"AT5G18930"
"4025",4025,"AT4G30940"
"5165",5165,"AT5G52660"
"83",83,"AT1G04360"
"3971",3971,"AT4G28320"
"5",5,"AT1G01220"
"34",34,"AT1G02430"
"1332",1332,"AT1G74088"
"3650",3650,"AT4G14390"
"5368",5368,"AT5G62030"
"791",791,"AT1G48310"
"2031",2031,"AT2G36570"
"3723",3723,"AT4G17300"
"3105",3105,"AT3G51060"
"4371",4371,"AT5G06580"
"1212",1212,"AT1G68940"
"3284",3284,"AT3G58940"
"5334",5334,"AT5G60720"
"3946",3946,"AT4G27310"
"4775",4775,"AT5G26960"
"3873",3873,"AT4G23900"
"846",846,"AT1G51130"
"3098",3098,"AT3G50750"
"1399",1399,"AT1G77500"
"2881",2881,"AT3G27330"
"4051",4051,"AT4G32295"
"4212",4212,"AT4G39630"
"5048",5048,"AT5G48220"
"3491",3491,"AT4G04880"
"4350",4350,"AT5G05560"
"1379",1379,"AT1G76630"
"4617",4617,"AT5G19020"
"838",838,"AT1G50659"
"4560",4560,"AT5G16570"
"5426",5426,"AT5G64600"
"4879",4879,"AT5G40100"
"1342",1342,"AT1G74590"
"4861",4861,"AT5G39190"
"943",943,"AT1G55170"
"3949",3949,"AT4G27410"
"2360",2360,"AT3G02765"
"2663",2663,"AT3G16320"
"3927",3927,"AT4G26500"
"2110",2110,"AT2G39830"
"3502",3502,"AT4G06135"
"2588",2588,"AT3G13380"
"346",346,"AT1G14580"
"2520",2520,"AT3G09830"
"5302",5302,"AT5G59220"
"2909",2909,"AT3G29100"
"1188",1188,"AT1G67970"
"3257",3257,"AT3G57670"
"3692",3692,"AT4G15950"
"2330",2330,"AT3G01680"
"1480",1480,"AT2G01340"
"1611",1611,"AT2G16270"
"5256",5256,"AT5G57080"
"2012",2012,"AT2G35658"
"2615",2615,"AT3G14370"
"554",554,"AT1G23980"
"86",86,"AT1G04463"
"1506",1506,"AT2G02930"
"4706",4706,"AT5G23810"
"3400",3400,"AT4G00770"
"1547",1547,"AT2G05510"
"2702",2702,"AT3G18320"
"2236",2236,"AT2G44940"
"5100",5100,"AT5G50250"
"4572",4572,"AT5G16990"
"1888",1888,"AT2G30140"
"176",176,"AT1G07607"
"3863",3863,"AT4G23510"
"805",805,"AT1G48930"
"3705",3705,"AT4G16440"
"1555",1555,"AT2G06040"
"2530",2530,"AT3G10320"
"2756",2756,"AT3G20810"
"109",109,"AT1G05187"
"2582",2582,"AT3G13100"
"2654",2654,"AT3G16010"
"3732",3732,"AT4G17615"
"3987",3987,"AT4G29190"
"4048",4048,"AT4G32208"
"4673",4673,"AT5G22550"
"3747",3747,"AT4G18240"
"1815",1815,"AT2G25690"
"1538",1538,"AT2G04795"
"3857",3857,"AT4G23190"
"2929",2929,"AT3G43540"
"1546",1546,"AT2G05440"
"1210",1210,"AT1G68872"
"351",351,"AT1G14790"
"3072",3072,"AT3G49890"
"94",94,"AT1G04730"
"3298",3298,"AT3G59410"
"4709",4709,"AT5G23910"
"2451",2451,"AT3G06620"
"2515",2515,"AT3G09660"
"1430",1430,"AT1G78960"
"802",802,"AT1G48780"
"3172",3172,"AT3G53810"
"1636",1636,"AT2G17670"
"2787",2787,"AT3G22760"
"1491",1491,"AT2G02020"
"3074",3074,"AT3G50040"
"447",447,"AT1G18560"
"3038",3038,"AT3G48730"
"1096",1096,"AT1G63740"
"1921",1921,"AT2G31450"
"732",732,"AT1G35140"
"5455",5455,"AT5G66000"
"2631",2631,"AT3G15150"
"4541",4541,"AT5G15700"
"3712",3712,"AT4G16620"
"1947",1947,"AT2G32645"
"5032",5032,"AT5G47530"
"1929",1929,"AT2G31920"
"5278",5278,"AT5G58140"
"4177",4177,"AT4G38150"
"5466",5466,"AT5G66550"
"107",107,"AT1G05160"
"2697",2697,"AT3G18100"
"2358",2358,"AT3G02680"
"1256",1256,"AT1G70950"
"2018",2018,"AT2G35750"
"926",926,"AT1G54310"
"3967",3967,"AT4G28162"
"2122",2122,"AT2G40320"
"3263",3263,"AT3G57830"
"3454",3454,"AT4G03100"
"4761",4761,"AT5G26160"
"4908",4908,"AT5G41150"
"1446",1446,"AT1G79610"
"1819",1819,"AT2G26030"
"1554",1554,"AT2G06005"
"2207",2207,"AT2G43560"
"996",996,"AT1G59510"
"1202",1202,"AT1G68650"
"4620",4620,"AT5G19160"
"99",99,"AT1G04837"
"553",553,"AT1G23970"
"4585",4585,"AT5G17600"
"564",564,"AT1G24620"
"1242",1242,"AT1G70250"
"4268",4268,"AT5G02080"
"4171",4171,"AT4G37890"
"2824",2824,"AT3G24535"
"26",26,"AT1G02230"
"1209",1209,"AT1G68862"
"529",529,"AT1G22870"
"2406",2406,"AT3G04630"
"2173",2173,"AT2G42365"
"4760",4760,"AT5G26040"
"3617",3617,"AT4G13070"
"1365",1365,"AT1G75700"
"2270",2270,"AT2G46400"
"4325",4325,"AT5G04480"
"4784",4784,"AT5G27550"
"2923",2923,"AT3G42640"
"4995",4995,"AT5G45220"
"2052",2052,"AT2G37440"
"3336",3336,"AT3G61370"
"3297",3297,"AT3G59390"
"133",133,"AT1G05900"
"3744",3744,"AT4G18160"
"4045",4045,"AT4G32175"
"893",893,"AT1G53345"
"1638",1638,"AT2G17730"
"3548",3548,"AT4G10340"
"2763",2763,"AT3G20960"
"226",226,"AT1G09390"
"3112",3112,"AT3G51238"
"2368",2368,"AT3G03020"
"2342",2342,"AT3G02060"
"4768",4768,"AT5G26730"
"5369",5369,"AT5G62100"
"4342",4342,"AT5G05310"
"4694",4694,"AT5G23320"
"2970",2970,"AT3G45830"
"4967",4967,"AT5G44000"
"4777",4777,"AT5G27100"
"795",795,"AT1G48540"
"3549",3549,"AT4G10350"
"660",660,"AT1G30370"
"4865",4865,"AT5G39530"
"4640",4640,"AT5G20040"
"5149",5149,"AT5G51790"
"2135",2135,"AT2G41000"
"3986",3986,"AT4G29170"
"1251",1251,"AT1G70740"
"2276",2276,"AT2G46590"
"5200",5200,"AT5G54520"
"3541",3541,"AT4G09780"
"631",631,"AT1G28560"
"1645",1645,"AT2G18245"
"5095",5095,"AT5G49990"
"4166",4166,"AT4G37608"
"266",266,"AT1G10920"
"5235",5235,"AT5G55970"
"519",519,"AT1G22275"
"4980",4980,"AT5G44530"
"5447",5447,"AT5G65470"
"637",637,"AT1G29195"
"1272",1272,"AT1G71970"
"5163",5163,"AT5G52545"
"3509",3509,"AT4G07260"
"2788",2788,"AT3G22800"
"3196",3196,"AT3G54890"
"2230",2230,"AT2G44670"
"2412",2412,"AT3G05015"
"3936",3936,"AT4G26880"
"1919",1919,"AT2G31340"
"696",696,"AT1G32220"
"1895",1895,"AT2G30470"
"4198",4198,"AT4G39180"
"3947",3947,"AT4G27340"
"54",54,"AT1G03520"
"4568",4568,"AT5G16890"
"5245",5245,"AT5G56520"
"1109",1109,"AT1G64630"
"5029",5029,"AT5G47250"
"1972",1972,"AT2G33835"
"2399",2399,"AT3G04360"
