"","phyD_GC_c1.which.mclass....2...1."
"681","AT1G31335"
"682","AT1G31350"
"683","AT1G31360"
"684","AT1G31410"
"685","AT1G31460"
"686","AT1G31480"
"687","AT1G31650"
"688","AT1G31720"
"689","AT1G31810"
"690","AT1G31814"
"691","AT1G31835"
"692","AT1G31870"
"693","AT1G31880"
"694","AT1G32150"
"695","AT1G32200"
"696","AT1G32220"
"697","AT1G32330"
"698","AT1G32340"
"699","AT1G32530"
"700","AT1G32550"
"701","AT1G32583"
"702","AT1G32610"
"703","AT1G32690"
"704","AT1G32730"
"705","AT1G32740"
"706","AT1G32760"
"707","AT1G33030"
"708","AT1G33080"
"709","AT1G33280"
"710","AT1G33290"
"711","AT1G33340"
"712","AT1G33390"
"713","AT1G33400"
"714","AT1G33420"
"715","AT1G33480"
"716","AT1G33540"
"717","AT1G33560"
"718","AT1G33610"
"719","AT1G33612"
"720","AT1G33770"
"721","AT1G34040"
"722","AT1G34120"
"723","AT1G34160"
"724","AT1G34180"
"725","AT1G34210"
"726","AT1G34260"
"727","AT1G34270"
"728","AT1G34355"
"729","AT1G34470"
"730","AT1G34570"
"731","AT1G34760"
"732","AT1G35140"
"733","AT1G35210"
"734","AT1G35340"
"735","AT1G35350"
"736","AT1G35460"
"737","AT1G35510"
"738","AT1G35560"
"739","AT1G35610"
"740","AT1G35660"
"741","AT1G35910"
"742","AT1G36320"
"743","AT1G36640"
"744","AT1G36940"
"745","AT1G36990"
"746","AT1G38065"
"747","AT1G38131"
"748","AT1G42540"
"749","AT1G43020"
"750","AT1G43245"
"751","AT1G43620"
"752","AT1G43765"
"753","AT1G43770"
"754","AT1G44020"
"755","AT1G44110"
"756","AT1G44120"
"757","AT1G44125"
"758","AT1G44350"
"759","AT1G44446"
"760","AT1G44780"
"761","AT1G44920"
"762","AT1G45110"
"763","AT1G45150"
"764","AT1G45160"
"765","AT1G45163"
"766","AT1G45165"
"767","AT1G45180"
"768","AT1G45230"
"769","AT1G45231"
"770","AT1G45233"
"771","AT1G45249"
"772","AT1G47056"
"773","AT1G47271"
"774","AT1G47340"
"775","AT1G47510"
"776","AT1G47600"
"777","AT1G47603"
"778","AT1G47620"
"779","AT1G47655"
"780","AT1G47720"
"781","AT1G47750"
"782","AT1G47760"
"783","AT1G47870"
"784","AT1G48040"
"785","AT1G48050"
"786","AT1G48070"
"787","AT1G48120"
"788","AT1G48260"
"789","AT1G48270"
"790","AT1G48280"
"791","AT1G48310"
"792","AT1G48355"
"793","AT1G48360"
"794","AT1G48370"
"795","AT1G48540"
"796","AT1G48560"
"797","AT1G48640"
"798","AT1G48690"
"799","AT1G48698"
"800","AT1G48745"
"801","AT1G48770"
"802","AT1G48780"
"803","AT1G48840"
"804","AT1G48880"
"805","AT1G48930"
"806","AT1G48960"
"807","AT1G49005"
"808","AT1G49110"
"809","AT1G49160"
"810","AT1G49180"
"811","AT1G49200"
"812","AT1G49230"
"813","AT1G49320"
"814","AT1G49350"
"815","AT1G49390"
"816","AT1G49430"
"817","AT1G49520"
"818","AT1G49540"
"819","AT1G49560"
"820","AT1G49630"
"821","AT1G49710"
"822","AT1G49730"
"823","AT1G49832"
"824","AT1G49840"
"825","AT1G49870"
"826","AT1G49880"
"827","AT1G49910"
"828","AT1G49960"
"829","AT1G49980"
"830","AT1G50000"
"831","AT1G50090"
"832","AT1G50240"
"833","AT1G50250"
"834","AT1G50260"
"835","AT1G50360"
"836","AT1G50460"
"837","AT1G50590"
"838","AT1G50659"
"839","AT1G50700"
"840","AT1G50840"
"841","AT1G50890"
"842","AT1G50910"
"843","AT1G50930"
"844","AT1G50970"
"845","AT1G51035"
"846","AT1G51130"
"847","AT1G51140"
"848","AT1G51220"
"849","AT1G51270"
"850","AT1G51310"
"851","AT1G51350"
"852","AT1G51355"
"853","AT1G51360"
"854","AT1G51370"
"855","AT1G51402"
"856","AT1G51450"
"857","AT1G51470"
"858","AT1G51550"
"859","AT1G51580"
"860","AT1G51610"
"861","AT1G51640"
"862","AT1G51645"
"863","AT1G51700"
"864","AT1G51790"
"865","AT1G51800"
"866","AT1G51840"
"867","AT1G51940"
"868","AT1G51965"
"869","AT1G52080"
"870","AT1G52155"
"871","AT1G52160"
"872","AT1G52190"
"873","AT1G52240"
"874","AT1G52260"
"875","AT1G52315"
"876","AT1G52330"
"877","AT1G52343"
"878","AT1G52520"
"879","AT1G52550"
"880","AT1G52565"
"881","AT1G52590"
"882","AT1G52618"
"883","AT1G52630"
"884","AT1G52700"
"885","AT1G52870"
"886","AT1G53025"
"887","AT1G53035"
"888","AT1G53110"
"889","AT1G53140"
"890","AT1G53163"
"891","AT1G53200"
"892","AT1G53270"
"893","AT1G53345"
"894","AT1G53350"
"895","AT1G53390"
"896","AT1G53430"
"897","AT1G53440"
"898","AT1G53450"
"899","AT1G53460"
"900","AT1G53490"
"901","AT1G53542"
"902","AT1G53633"
"903","AT1G53635"
"904","AT1G53650"
"905","AT1G53660"
"906","AT1G53790"
"907","AT1G53800"
"908","AT1G53830"
"909","AT1G53860"
"910","AT1G53885"
"911","AT1G53887"
"912","AT1G53903"
"913","AT1G53940"
"914","AT1G53950"
"915","AT1G53970"
"916","AT1G53980"
"917","AT1G53990"
"918","AT1G54110"
"919","AT1G54180"
"920","AT1G54200"
"921","AT1G54210"
"922","AT1G54217"
"923","AT1G54220"
"924","AT1G54260"
"925","AT1G54290"
"926","AT1G54310"
"927","AT1G54330"
"928","AT1G54350"
"929","AT1G54450"
"930","AT1G54520"
"931","AT1G54540"
"932","AT1G54570"
"933","AT1G54575"
"934","AT1G54650"
"935","AT1G54790"
"936","AT1G54840"
"937","AT1G54850"
"938","AT1G54950"
"939","AT1G54960"
"940","AT1G55020"
"941","AT1G55110"
"942","AT1G55120"
"943","AT1G55170"
"944","AT1G55180"
"945","AT1G55250"
"946","AT1G55265"
"947","AT1G55280"
"948","AT1G55300"
"949","AT1G55320"
"950","AT1G55365"
"951","AT1G55370"
"952","AT1G55380"
"953","AT1G55390"
"954","AT1G55450"
"955","AT1G55460"
"956","AT1G55475"
"957","AT1G55610"
"958","AT1G55630"
"959","AT1G55670"
"960","AT1G55700"
"961","AT1G55750"
"962","AT1G55830"
"963","AT1G55870"
"964","AT1G55910"
"965","AT1G55915"
"966","AT1G55930"
"967","AT1G56000"
"968","AT1G56050"
"969","AT1G56090"
"970","AT1G56170"
"971","AT1G56260"
"972","AT1G56310"
"973","AT1G56345"
"974","AT1G56350"
"975","AT1G56420"
"976","AT1G56440"
"977","AT1G56560"
"978","AT1G56630"
"979","AT1G56670"
"980","AT1G57590"
"981","AT1G57600"
"982","AT1G57700"
"983","AT1G57790"
"984","AT1G58007"
"985","AT1G58170"
"986","AT1G58190"
"987","AT1G58200"
"988","AT1G58210"
"989","AT1G58220"
"990","AT1G58340"
"991","AT1G58410"
"992","AT1G58520"
"993","AT1G58590"
"994","AT1G58643"
"995","AT1G59312"
"996","AT1G59510"
"997","AT1G59540"
"998","AT1G59560"
"999","AT1G59640"
"1000","AT1G59660"
"1001","AT1G59700"
"1002","AT1G59730"
"1003","AT1G59750"
"1004","AT1G59820"
"1005","AT1G59910"
"1006","AT1G59940"
"1007","AT1G59970"
"1008","AT1G59980"
"1009","AT1G60000"
"1010","AT1G60130"
"1011","AT1G60230"
"1012","AT1G60360"
"1013","AT1G60390"
"1014","AT1G60505"
"1015","AT1G60525"
"1016","AT1G60545"
"1017","AT1G60550"
"1018","AT1G60560"
"1019","AT1G60620"
"1020","AT1G60670"
"1021","AT1G60690"
"1022","AT1G60700"
"1023","AT1G60787"
"1024","AT1G60790"
"1025","AT1G60870"
"1026","AT1G60890"
"1027","AT1G61000"
"1028","AT1G61030"
"1029","AT1G61050"
"1030","AT1G61065"
"1031","AT1G61170"
"1032","AT1G61180"
"1033","AT1G61190"
"1034","AT1G61210"
"1035","AT1G61215"
"1036","AT1G61260"
"1037","AT1G61280"
"1038","AT1G61350"
"1039","AT1G61360"
"1040","AT1G61370"
"1041","AT1G61380"
"1042","AT1G61420"
"1043","AT1G61430"
"1044","AT1G61450"
"1045","AT1G61470"
"1046","AT1G61500"
"1047","AT1G61520"
"1048","AT1G61560"
"1049","AT1G61667"
"1050","AT1G61760"
"1051","AT1G61850"
"1052","AT1G61960"
"1053","AT1G61970"
"1054","AT1G61980"
"1055","AT1G62010"
"1056","AT1G62050"
"1057","AT1G62085"
"1058","AT1G62110"
"1059","AT1G62120"
"1060","AT1G62130"
"1061","AT1G62150"
"1062","AT1G62170"
"1063","AT1G62200"
"1064","AT1G62250"
"1065","AT1G62305"
"1066","AT1G62310"
"1067","AT1G62350"
"1068","AT1G62370"
"1069","AT1G62515"
"1070","AT1G62520"
"1071","AT1G62590"
"1072","AT1G62610"
"1073","AT1G62680"
"1074","AT1G62700"
"1075","AT1G62750"
"1076","AT1G62760"
"1077","AT1G62830"
"1078","AT1G62840"
"1079","AT1G62930"
"1080","AT1G62950"
"1081","AT1G62960"
"1082","AT1G62975"
"1083","AT1G62981"
"1084","AT1G62990"
"1085","AT1G63130"
"1086","AT1G63230"
"1087","AT1G63250"
"1088","AT1G63295"
"1089","AT1G63450"
"1090","AT1G63480"
"1091","AT1G63490"
"1092","AT1G63610"
"1093","AT1G63650"
"1094","AT1G63670"
"1095","AT1G63680"
"1096","AT1G63740"
"1097","AT1G63750"
"1098","AT1G63855"
"1099","AT1G64065"
"1100","AT1G64080"
"1101","AT1G64105"
"1102","AT1G64185"
"1103","AT1G64370"
"1104","AT1G64400"
"1105","AT1G64450"
"1106","AT1G64510"
"1107","AT1G64580"
"1108","AT1G64610"
"1109","AT1G64630"
"1110","AT1G64690"
"1111","AT1G64700"
"1112","AT1G64760"
"1113","AT1G64795"
"1114","AT1G64810"
"1115","AT1G64860"
"1116","AT1G64890"
"1117","AT1G64900"
"1118","AT1G64960"
"1119","AT1G64970"
"1120","AT1G65070"
"1121","AT1G65080"
"1122","AT1G65180"
"1123","AT1G65380"
"1124","AT1G65420"
"1125","AT1G65481"
"1126","AT1G65486"
