"","WS_c1.which.mclass....4...1."
"726","AT1G33270"
"727","AT1G33330"
"728","AT1G33360"
"729","AT1G33390"
"730","AT1G33400"
"731","AT1G33415"
"732","AT1G33520"
"733","AT1G33560"
"734","AT1G33780"
"735","AT1G33970"
"736","AT1G33990"
"737","AT1G34020"
"738","AT1G34040"
"739","AT1G34110"
"740","AT1G34180"
"741","AT1G34210"
"742","AT1G34220"
"743","AT1G34260"
"744","AT1G34300"
"745","AT1G34355"
"746","AT1G34418"
"747","AT1G34510"
"748","AT1G34630"
"749","AT1G34670"
"750","AT1G34750"
"751","AT1G34780"
"752","AT1G35140"
"753","AT1G35190"
"754","AT1G35250"
"755","AT1G35260"
"756","AT1G35460"
"757","AT1G35470"
"758","AT1G35510"
"759","AT1G35516"
"760","AT1G35660"
"761","AT1G35670"
"762","AT1G35780"
"763","AT1G36280"
"764","AT1G36310"
"765","AT1G36990"
"766","AT1G38131"
"767","AT1G42430"
"768","AT1G42480"
"769","AT1G42990"
"770","AT1G43130"
"771","AT1G43580"
"772","AT1G43620"
"773","AT1G43650"
"774","AT1G43700"
"775","AT1G43800"
"776","AT1G43900"
"777","AT1G44110"
"778","AT1G44760"
"779","AT1G44770"
"780","AT1G44790"
"781","AT1G44810"
"782","AT1G44820"
"783","AT1G44835"
"784","AT1G44900"
"785","AT1G44910"
"786","AT1G44960"
"787","AT1G44970"
"788","AT1G45150"
"789","AT1G45207"
"790","AT1G45249"
"791","AT1G45332"
"792","AT1G45976"
"793","AT1G46264"
"794","AT1G46480"
"795","AT1G47210"
"796","AT1G47230"
"797","AT1G47240"
"798","AT1G47250"
"799","AT1G47290"
"800","AT1G47310"
"801","AT1G47330"
"802","AT1G47380"
"803","AT1G47480"
"804","AT1G47570"
"805","AT1G47640"
"806","AT1G47830"
"807","AT1G47870"
"808","AT1G47970"
"809","AT1G48050"
"810","AT1G48120"
"811","AT1G48160"
"812","AT1G48170"
"813","AT1G48210"
"814","AT1G48240"
"815","AT1G48280"
"816","AT1G48315"
"817","AT1G48320"
"818","AT1G48370"
"819","AT1G48430"
"820","AT1G48440"
"821","AT1G48500"
"822","AT1G48510"
"823","AT1G48570"
"824","AT1G48610"
"825","AT1G48635"
"826","AT1G48800"
"827","AT1G48840"
"828","AT1G48950"
"829","AT1G48970"
"830","AT1G49050"
"831","AT1G49160"
"832","AT1G49300"
"833","AT1G49400"
"834","AT1G49410"
"835","AT1G49470"
"836","AT1G49510"
"837","AT1G49540"
"838","AT1G49590"
"839","AT1G49710"
"840","AT1G49720"
"841","AT1G49740"
"842","AT1G49780"
"843","AT1G49840"
"844","AT1G49890"
"845","AT1G49950"
"846","AT1G49980"
"847","AT1G50060"
"848","AT1G50120"
"849","AT1G50170"
"850","AT1G50240"
"851","AT1G50260"
"852","AT1G50280"
"853","AT1G50360"
"854","AT1G50380"
"855","AT1G50420"
"856","AT1G50440"
"857","AT1G50460"
"858","AT1G50560"
"859","AT1G50570"
