"","WS_GC_c1.which.mclass....7...1."
"721","AT1G67410"
"722","AT1G67440"
"723","AT1G67710"
"724","AT1G67760"
"725","AT1G67790"
"726","AT1G67792"
"727","AT1G67870"
"728","AT1G67910"
"729","AT1G67970"
"730","AT1G68030"
"731","AT1G68050"
"732","AT1G68120"
"733","AT1G68238"
"734","AT1G68330"
"735","AT1G68350"
"736","AT1G68450"
"737","AT1G68500"
"738","AT1G68620"
"739","AT1G68640"
"740","AT1G68725"
"741","AT1G68740"
"742","AT1G68795"
"743","AT1G68830"
"744","AT1G68930"
"745","AT1G68940"
"746","AT1G68945"
"747","AT1G69020"
"748","AT1G69050"
"749","AT1G69280"
"750","AT1G69350"
"751","AT1G69400"
"752","AT1G69440"
"753","AT1G69480"
"754","AT1G69550"
"755","AT1G69570"
"756","AT1G69572"
"757","AT1G69610"
"758","AT1G69710"
"759","AT1G69790"
"760","AT1G69800"
"761","AT1G69810"
"762","AT1G69830"
"763","AT1G69900"
"764","AT1G69935"
"765","AT1G70000"
"766","AT1G70070"
"767","AT1G70100"
"768","AT1G70360"
"769","AT1G70420"
"770","AT1G70430"
"771","AT1G70505"
"772","AT1G70510"
"773","AT1G70518"
"774","AT1G70520"
"775","AT1G70581"
"776","AT1G70630"
"777","AT1G70650"
"778","AT1G70700"
"779","AT1G70800"
"780","AT1G70810"
"781","AT1G71015"
"782","AT1G71030"
"783","AT1G71050"
"784","AT1G71240"
"785","AT1G71330"
"786","AT1G71360"
"787","AT1G71380"
"788","AT1G71420"
"789","AT1G71460"
"790","AT1G71490"
"791","AT1G71720"
"792","AT1G71760"
"793","AT1G71810"
"794","AT1G71930"
"795","AT1G71970"
"796","AT1G72070"
"797","AT1G72120"
"798","AT1G72125"
"799","AT1G72180"
"800","AT1G72220"
"801","AT1G72240"
"802","AT1G72275"
"803","AT1G72280"
"804","AT1G72450"
"805","AT1G72500"
"806","AT1G72520"
"807","AT1G72530"
"808","AT1G72600"
"809","AT1G72610"
"810","AT1G72640"
"811","AT1G72720"
"812","AT1G72860"
"813","AT1G72890"
"814","AT1G72920"
"815","AT1G72930"
"816","AT1G72940"
"817","AT1G73090"
"818","AT1G73110"
"819","AT1G73130"
"820","AT1G73210"
"821","AT1G73270"
"822","AT1G73280"
"823","AT1G73300"
"824","AT1G73310"
"825","AT1G73360"
"826","AT1G73480"
"827","AT1G73550"
"828","AT1G73570"
"829","AT1G73600"
"830","AT1G73640"
"831","AT1G73690"
"832","AT1G73740"
"833","AT1G73750"
"834","AT1G73780"
"835","AT1G73860"
"836","AT1G73885"
"837","AT1G73910"
"838","AT1G74000"
"839","AT1G74010"
"840","AT1G74120"
"841","AT1G74150"
"842","AT1G74180"
"843","AT1G74300"
"844","AT1G74310"
"845","AT1G74385"
"846","AT1G74400"
"847","AT1G74450"
"848","AT1G74540"
"849","AT1G74545"
"850","AT1G74590"
"851","AT1G74600"
"852","AT1G74640"
"853","AT1G74710"
"854","AT1G74730"
"855","AT1G74850"
"856","AT1G74860"
"857","AT1G74900"
"858","AT1G75000"
"859","AT1G75060"
"860","AT1G75100"
"861","AT1G75110"
"862","AT1G75120"
"863","AT1G75125"
"864","AT1G75250"
"865","AT1G75260"
"866","AT1G75300"
"867","AT1G75450"
"868","AT1G75490"
"869","AT1G75600"
"870","AT1G75690"
"871","AT1G75700"
"872","AT1G75717"
"873","AT1G75720"
"874","AT1G75820"
"875","AT1G76110"
"876","AT1G76130"
"877","AT1G76250"
"878","AT1G76450"
"879","AT1G76470"
"880","AT1G76480"
"881","AT1G76650"
"882","AT1G76730"
"883","AT1G76740"
"884","AT1G76980"
"885","AT1G77000"
"886","AT1G77122"
"887","AT1G77138"
"888","AT1G77170"
"889","AT1G77280"
"890","AT1G77360"
"891","AT1G77390"
"892","AT1G77400"
"893","AT1G77405"
"894","AT1G77410"
"895","AT1G77530"
"896","AT1G77570"
"897","AT1G77640"
"898","AT1G77765"
"899","AT1G77850"
"900","AT1G77880"
"901","AT1G78180"
"902","AT1G78510"
"903","AT1G78730"
"904","AT1G78820"
"905","AT1G78950"
"906","AT1G78955"
"907","AT1G78960"
"908","AT1G79110"
"909","AT1G79120"
"910","AT1G79310"
"911","AT1G79420"
"912","AT1G79480"
"913","AT1G79510"
"914","AT1G79600"
"915","AT1G79640"
"916","AT1G79700"
"917","AT1G79890"
"918","AT1G79900"
"919","AT1G80110"
"920","AT1G80320"
"921","AT1G80340"
"922","AT1G80450"
"923","AT1G80555"
