"","X","WS_FLT_c1.which.mclass....4...1."
"1020",1020,"AT2G08350"
"3044",3044,"AT5G43030"
"1939",1939,"AT3G47750"
"896",896,"AT2G02000"
"441",441,"AT1G26762"
"285",285,"AT1G09950"
"308",308,"AT1G12130"
"1653",1653,"AT3G11350"
"2578",2578,"AT4G38560"
"1010",1010,"AT2G07965"
"2500",2500,"AT4G30880"
"3198",3198,"AT5G55150"
"1358",1358,"AT2G42510"
"370",370,"AT1G19394"
"400",400,"AT1G23450"
"2195",2195,"AT4G06780"
"2090",2090,"AT3G66656"
"1501",1501,"AT3G03825"
"1173",1173,"AT2G21530"
"2383",2383,"AT4G19975"
"2890",2890,"AT5G22500"
"176",176,"AT1G07703"
"670",670,"AT1G60350"
"1198",1198,"AT2G24450"
"1967",1967,"AT3G50560"
"1282",1282,"AT2G34238"
"1585",1585,"AT3G08350"
"2393",2393,"AT4G21280"
"450",450,"AT1G28370"
"2887",2887,"AT5G21960"
"2401",2401,"AT4G21940"
"1439",1439,"AT3G01385"
"393",393,"AT1G22380"
"3339",3339,"ATMG01050"
"855",855,"AT1G77010"
"2378",2378,"AT4G19560"
"3065",3065,"AT5G44330"
"2223",2223,"AT4G08150"
"236",236,"AT1G09163"
"1951",1951,"AT3G49155"
"1293",1293,"AT2G35310"
"2136",2136,"AT4G03755"
"1287",1287,"AT2G34810"
"2607",2607,"AT5G00920"
"643",643,"AT1G55945"
"419",419,"AT1G24800"
"2144",2144,"AT4G04260"
"998",998,"AT2G07705"
"2520",2520,"AT4G33320"
"1835",1835,"AT3G27865"
"1949",1949,"AT3G48850"
"1033",1033,"AT2G08525"
"3250",3250,"AT5G61180"
"6",6,"AT1G01680"
"1432",1432,"AT3G01225"
"473",473,"AT1G30950"
"2007",2007,"AT3G54800"
"2290",2290,"AT4G11880"
"1948",1948,"AT3G48840"
"1463",1463,"AT3G02270"
"140",140,"AT1G06457"
"1357",1357,"AT2G42220"
"2750",2750,"AT5G08185"
"2800",2800,"AT5G11140"
"14",14,"AT1G03120"
"1319",1319,"AT2G37140"
"2271",2271,"AT4G10160"
"976",976,"AT2G07045"
"1979",1979,"AT3G51560"
"1922",1922,"AT3G46700"
"2164",2164,"AT4G05155"
"3345",3345,"ATMG01230"
"1597",1597,"AT3G08700"
"455",455,"AT1G29071"
"2746",2746,"AT5G08030"
"1303",1303,"AT2G36110"
"1488",1488,"AT3G03341"
"2356",2356,"AT4G18080"
"1472",1472,"AT3G02695"
"2579",2579,"AT4G38590"
"2853",2853,"AT5G17200"
"1068",1068,"AT2G09310"
"2709",2709,"AT5G06585"
"1180",1180,"AT2G22426"
"1584",1584,"AT3G08300"
"822",822,"AT1G73290"
"1149",1149,"AT2G19150"
"1647",1647,"AT3G10745"
"64",64,"AT1G04767"
"2932",2932,"AT5G26220"
"2656",2656,"AT5G03715"
"3221",3221,"AT5G58670"
"1062",1062,"AT2G09205"
"1430",1430,"AT3G01185"
"610",610,"AT1G52857"
"1154",1154,"AT2G19960"
"3089",3089,"AT5G45770"
"1910",1910,"AT3G46150"
"777",777,"AT1G67670"
"2157",2157,"AT4G04750"
"2675",2675,"AT5G04310"
"387",387,"AT1G21890"
"368",368,"AT1G19373"
"495",495,"AT1G33090"
"291",291,"AT1G10640"
"3172",3172,"AT5G53700"
"675",675,"AT1G60720"
"3214",3214,"AT5G57260"
"2538",2538,"AT4G35010"
"3232",3232,"AT5G59370"
"1592",1592,"AT3G08585"
"979",979,"AT2G07621"
"1941",1941,"AT3G47870"
"1836",1836,"AT3G27900"
"2912",2912,"AT5G24355"
"1559",1559,"AT3G07175"
"2989",2989,"AT5G38386"
"96",96,"AT1G05463"
"3209",3209,"AT5G56510"
"937",937,"AT2G04545"
"1195",1195,"AT2G24195"
"2852",2852,"AT5G17180"
"2015",2015,"AT3G55860"
"1698",1698,"AT3G15050"
"1234",1234,"AT2G28500"
"2228",2228,"AT4G08305"
"246",246,"AT1G09323"
"1975",1975,"AT3G51190"
"2998",2998,"AT5G38990"
"771",771,"AT1G67270"
"1301",1301,"AT2G35990"
"2132",2132,"AT4G03685"
"3193",3193,"AT5G54710"
"3301",3301,"ATCG00600"
"1075",1075,"AT2G09495"
"1108",1108,"AT2G12170"
"23",23,"AT1G03790"
"3095",3095,"AT5G46220"
"310",310,"AT1G12570"
"1193",1193,"AT2G23970"
"748",748,"AT1G65800"
"3064",3064,"AT5G44316"
"463",463,"AT1G29775"
"2790",2790,"AT5G09711"
"24",24,"AT1G04013"
"2336",2336,"AT4G16515"
"2768",2768,"AT5G08990"
"1560",1560,"AT3G07255"
"2280",2280,"AT4G11190"
"719",719,"AT1G63550"
"1643",1643,"AT3G10510"
"2707",2707,"AT5G06465"
"557",557,"AT1G49100"
"703",703,"AT1G62450"
"243",243,"AT1G09267"
"1759",1759,"AT3G21760"
"1561",1561,"AT3G07265"
"2105",2105,"AT4G01340"
"3298",3298,"ATCG00560"
"2663",2663,"AT5G04010"
"2879",2879,"AT5G20420"
"1748",1748,"AT3G20400"
"579",579,"AT1G51000"
"605",605,"AT1G52790"
"3159",3159,"AT5G52310"
"2244",2244,"AT4G08868"
"967",967,"AT2G06345"
"697",697,"AT1G62240"
"1403",1403,"AT2G46360"
"1940",1940,"AT3G47790"
"2327",2327,"AT4G15396"
"2583",2583,"AT4G38850"
"2253",2253,"AT4G09300"
"1333",1333,"AT2G39510"
"46",46,"AT1G04427"
"3090",3090,"AT5G45810"
"3",3,"AT1G01190"
"19",19,"AT1G03630"
"745",745,"AT1G65483"
"2041",2041,"AT3G59295"
"2481",2481,"AT4G28740"
"443",443,"AT1G27565"
"1135",1135,"AT2G17590"
"2913",2913,"AT5G24510"
"3315",3315,"ATMG00150"
"2441",2441,"AT4G25490"
"677",677,"AT1G60787"
"1834",1834,"AT3G27860"
"832",832,"AT1G74430"
"3275",3275,"AT5G64667"
"2665",2665,"AT5G04055"
"2161",2161,"AT4G05015"
"472",472,"AT1G30920"
"3217",3217,"AT5G57690"
"780",780,"AT1G68010"
"1606",1606,"AT3G09055"
"2259",2259,"AT4G09575"
"2817",2817,"AT5G13670"
"1129",1129,"AT2G16245"
"1945",1945,"AT3G48770"
"2424",2424,"AT4G24140"
"768",768,"AT1G67100"
"2572",2572,"AT4G37780"
"467",467,"AT1G30455"
"2539",2539,"AT4G35160"
"3270",3270,"AT5G63820"
"2716",2716,"AT5G06870"
"3312",3312,"ATMG00050"
"2705",2705,"AT5G06295"
"525",525,"AT1G44318"
"2197",2197,"AT4G06805"
"1313",1313,"AT2G36710"
"1481",1481,"AT3G03105"
"2183",2183,"AT4G06080"
"2931",2931,"AT5G26140"
"3048",3048,"AT5G43200"
"1438",1438,"AT3G01375"
"193",193,"AT1G08097"
"3162",3162,"AT5G52480"
"1329",1329,"AT2G39030"
"1616",1616,"AT3G09330"
"660",660,"AT1G58684"
"1809",1809,"AT3G26200"
"2049",2049,"AT3G60120"
"2909",2909,"AT5G24140"
"821",821,"AT1G73190"
"894",894,"AT2G01960"
"3340",3340,"ATMG01060"
"1116",1116,"AT2G14070"
"3083",3083,"AT5G45095"
"3105",3105,"AT5G46650"
"48",48,"AT1G04493"
"835",835,"AT1G74670"
"2608",2608,"AT5G00975"
"1884",1884,"AT3G44550"
"857",857,"AT1G77235"
"1497",1497,"AT3G03605"
"1239",1239,"AT2G29360"
"829",829,"AT1G74130"
"2531",2531,"AT4G34400"
"1045",1045,"AT2G08775"
"98",98,"AT1G05510"
"2138",2138,"AT4G03930"
"446",446,"AT1G28040"
"2726",2726,"AT5G07265"
"860",860,"AT1G77790"
"1399",1399,"AT2G45840"
"1524",1524,"AT3G04915"
"61",61,"AT1G04670"
"1427",1427,"AT3G01085"
"1467",1467,"AT3G02455"
"2062",2062,"AT3G61090"
"3040",3040,"AT5G42410"
"2236",2236,"AT4G08535"
"2581",2581,"AT4G38780"
"2069",2069,"AT3G61510"
"1002",1002,"AT2G07728"
"849",849,"AT1G76465"
"2129",2129,"AT4G03505"
"2729",2729,"AT5G07445"
"3052",3052,"AT5G43550"
"668",668,"AT1G60110"
"194",194,"AT1G08115"
"1694",1694,"AT3G14700"
"3156",3156,"AT5G52250"
"3187",3187,"AT5G54470"
"2596",2596,"AT5G00765"
"1351",1351,"AT2G41445"
"1386",1386,"AT2G44460"
"788",788,"AT1G68750"
"442",442,"AT1G27080"
"1747",1747,"AT3G20180"
"901",901,"AT2G02240"
"1534",1534,"AT3G05335"
"3299",3299,"ATCG00570"
"1692",1692,"AT3G14620"
"2823",2823,"AT5G14345"
"1671",1671,"AT3G13276"
"603",603,"AT1G52618"
"1057",1057,"AT2G09045"
"403",403,"AT1G23730"
"3327",3327,"ATMG00610"
"1447",1447,"AT3G01635"
"2496",2496,"AT4G30064"
"2040",2040,"AT3G59030"
"1070",1070,"AT2G09365"
"358",358,"AT1G18020"
"1059",1059,"AT2G09170"
"1569",1569,"AT3G07665"
"2294",2294,"AT4G12330"
"1163",1163,"AT2G20800"
"59",59,"AT1G04643"
"1480",1480,"AT3G03075"
"1294",1294,"AT2G35343"
"3163",3163,"AT5G52600"
"1107",1107,"AT2G11891"
"508",508,"AT1G34844"
"2175",2175,"AT4G05790"
"1164",1164,"AT2G20825"
"1789",1789,"AT3G24600"
"1893",1893,"AT3G44830"
"2609",2609,"AT5G00985"
"883",883,"AT1G80470"
"792",792,"AT1G69085"
"996",996,"AT2G07691"
"851",851,"AT1G76750"
"1208",1208,"AT2G25297"
"546",546,"AT1G47990"
"658",658,"AT1G58590"
"2528",2528,"AT4G33970"
"54",54,"AT1G04563"
"3075",3075,"AT5G44590"
"2507",2507,"AT4G31520"
"309",309,"AT1G12294"
"679",679,"AT1G60970"
"2333",2333,"AT4G16050"
"2801",2801,"AT5G11290"
"3280",3280,"AT5G65370"
"2885",2885,"AT5G20860"
"661",661,"AT1G58808"
"2977",2977,"AT5G37490"
"1314",1314,"AT2G36780"
"3160",3160,"AT5G52320"
"2956",2956,"AT5G35760"
"1974",1974,"AT3G51171"
"2771",2771,"AT5G09060"
"2712",2712,"AT5G06760"
"2359",2359,"AT4G18195"
"2858",2858,"AT5G17700"
"1594",1594,"AT3G08645"
"1157",1157,"AT2G20380"
"1119",1119,"AT2G14690"
"2684",2684,"AT5G05125"
"1797",1797,"AT3G25013"
"72",72,"AT1G04933"
"2759",2759,"AT5G08830"
"2697",2697,"AT5G06115"
