"","WS_FLT_c1.which.mclass....4...1."
"791","AT1G68935"
"792","AT1G69085"
"793","AT1G69470"
"794","AT1G69540"
"795","AT1G70175"
"796","AT1G70260"
"797","AT1G70270"
"798","AT1G70390"
"799","AT1G70440"
"800","AT1G70640"
"801","AT1G70720"
"802","AT1G70830"
"803","AT1G70910"
"804","AT1G71140"
"805","AT1G71250"
"806","AT1G71280"
"807","AT1G71300"
"808","AT1G71370"
"809","AT1G71390"
"810","AT1G71690"
"811","AT1G72030"
"812","AT1G72100"
"813","AT1G72110"
"814","AT1G72460"
"815","AT1G72590"
"816","AT1G72620"
"817","AT1G72645"
"818","AT1G72760"
"819","AT1G72960"
"820","AT1G73050"
"821","AT1G73190"
"822","AT1G73290"
"823","AT1G73510"
"824","AT1G73560"
"825","AT1G73687"
"826","AT1G73700"
"827","AT1G73810"
"828","AT1G74035"
"829","AT1G74130"
"830","AT1G74205"
"831","AT1G74290"
"832","AT1G74430"
"833","AT1G74453"
"834","AT1G74456"
"835","AT1G74670"
"836","AT1G74810"
"837","AT1G74820"
"838","AT1G74870"
"839","AT1G74880"
"840","AT1G74890"
"841","AT1G75160"
"842","AT1G75166"
"843","AT1G75240"
"844","AT1G75360"
"845","AT1G75430"
"846","AT1G75920"
"847","AT1G75945"
"848","AT1G76062"
"849","AT1G76465"
"850","AT1G76705"
"851","AT1G76750"
"852","AT1G76892"
"853","AT1G76952"
"854","AT1G76965"
"855","AT1G77010"
"856","AT1G77090"
"857","AT1G77235"
"858","AT1G77520"
"859","AT1G77730"
"860","AT1G77790"
"861","AT1G77932"
"862","AT1G77950"
"863","AT1G78030"
"864","AT1G78160"
"865","AT1G78206"
"866","AT1G78230"
"867","AT1G78390"
"868","AT1G78460"
"869","AT1G78470"
"870","AT1G78478"
"871","AT1G78500"
"872","AT1G78750"
"873","AT1G78820"
"874","AT1G78840"
"875","AT1G78990"
"876","AT1G79100"
"877","AT1G79170"
"878","AT1G79400"
"879","AT1G79485"
"880","AT1G79915"
"881","AT1G80330"
"882","AT1G80390"
"883","AT1G80470"
"884","AT1G80970"
"885","AT1G80980"
"886","AT2G01023"
"887","AT2G01280"
"888","AT2G01360"
"889","AT2G01422"
"890","AT2G01580"
"891","AT2G01610"
"892","AT2G01770"
"893","AT2G01810"
"894","AT2G01960"
"895","AT2G01990"
"896","AT2G02000"
"897","AT2G02010"
"898","AT2G02060"
"899","AT2G02061"
"900","AT2G02147"
"901","AT2G02240"
"902","AT2G02320"
"903","AT2G02340"
"904","AT2G02380"
"905","AT2G02720"
"906","AT2G02741"
"907","AT2G02850"
"908","AT2G02990"
"909","AT2G03020"
"910","AT2G03130"
"911","AT2G03210"
"912","AT2G03230"
"913","AT2G03250"
"914","AT2G03290"
"915","AT2G03310"
"916","AT2G03410"
"917","AT2G03460"
"918","AT2G03530"
"919","AT2G03630"
"920","AT2G03710"
"921","AT2G03821"
"922","AT2G03855"
"923","AT2G03895"
"924","AT2G04005"
"925","AT2G04050"
"926","AT2G04065"
"927","AT2G04125"
"928","AT2G04145"
"929","AT2G04255"
"930","AT2G04285"
