"","col_GC_c1.which.mclass....9...1."
"1156","AT2G13800"
"1157","AT2G13840"
"1158","AT2G14115"
"1159","AT2G14285"
"1160","AT2G14520"
"1161","AT2G14620"
"1162","AT2G14680"
"1163","AT2G14850"
"1164","AT2G14860"
"1165","AT2G15310"
"1166","AT2G15390"
"1167","AT2G15530"
"1168","AT2G15560"
"1169","AT2G15730"
"1170","AT2G15790"
"1171","AT2G15880"
"1172","AT2G15900"
"1173","AT2G16070"
"1174","AT2G16090"
"1175","AT2G16230"
"1176","AT2G16270"
"1177","AT2G16390"
"1178","AT2G16405"
"1179","AT2G16650"
"1180","AT2G16660"
"1181","AT2G16700"
"1182","AT2G16770"
"1183","AT2G16880"
"1184","AT2G16900"
"1185","AT2G16920"
"1186","AT2G16990"
"1187","AT2G17030"
"1188","AT2G17033"
"1189","AT2G17110"
"1190","AT2G17150"
"1191","AT2G17230"
"1192","AT2G17270"
"1193","AT2G17300"
"1194","AT2G17480"
"1195","AT2G17550"
"1196","AT2G17580"
"1197","AT2G17670"
"1198","AT2G17700"
"1199","AT2G17730"
"1200","AT2G17760"
"1201","AT2G17900"
"1202","AT2G17970"
"1203","AT2G17975"
"1204","AT2G18245"
"1205","AT2G18360"
"1206","AT2G18465"
"1207","AT2G18520"
"1208","AT2G18620"
"1209","AT2G18700"
"1210","AT2G18790"
"1211","AT2G18850"
"1212","AT2G18890"
"1213","AT2G18915"
"1214","AT2G18940"
"1215","AT2G19090"
"1216","AT2G19170"
"1217","AT2G19260"
"1218","AT2G19380"
"1219","AT2G19390"
"1220","AT2G19490"
"1221","AT2G19530"
"1222","AT2G19590"
"1223","AT2G19620"
"1224","AT2G19660"
"1225","AT2G19690"
"1226","AT2G19860"
"1227","AT2G19870"
"1228","AT2G19930"
"1229","AT2G20010"
"1230","AT2G20020"
"1231","AT2G20050"
"1232","AT2G20100"
"1233","AT2G20110"
"1234","AT2G20210"
"1235","AT2G20240"
"1236","AT2G20290"
"1237","AT2G20310"
"1238","AT2G20320"
"1239","AT2G20400"
"1240","AT2G20410"
"1241","AT2G20440"
"1242","AT2G20590"
