"","X","WS_c1.which.mclass....8...1."
"1448",1448,"AT3G07310"
"3079",3079,"AT5G47720"
"1376",1376,"AT3G02420"
"861",861,"AT2G04280"
"2393",2393,"AT4G30990"
"3095",3095,"AT5G48560"
"3158",3158,"AT5G54500"
"237",237,"AT1G17720"
"1963",1963,"AT3G58660"
"1301",1301,"AT2G45440"
"2150",2150,"AT4G12770"
"1295",1295,"AT2G45070"
"2623",2623,"AT5G06360"
"647",647,"AT1G67350"
"422",422,"AT1G33050"
"2157",2157,"AT4G13290"
"1004",1004,"AT2G24260"
"2535",2535,"AT4G39150"
"1846",1846,"AT3G50500"
"1961",1961,"AT3G58560"
"1039",1039,"AT2G27020"
"83",83,"AT1G07360"
"6",6,"AT1G01490"
"1441",1441,"AT3G06810"
"476",476,"AT1G48850"
"2020",2020,"AT3G63260"
"2305",2305,"AT4G25550"
"2917",2917,"AT5G26667"
"1472",1472,"AT3G09470"
"141",141,"AT1G11260"
"2955",2955,"AT5G36940"
"2768",2768,"AT5G16280"
"2817",2817,"AT5G19090"
"14",14,"AT1G02100"
"1328",1328,"AT2G47180"
"2285",2285,"AT4G24020"
"982",982,"AT2G22770"
"1991",1991,"AT3G61220"
"1934",1934,"AT3G56860"
"2178",2178,"AT4G14680"
"10",10,"AT1G01650"
"3368",3368,"AT5G67470"
"458",458,"AT1G47200"
"2763",2763,"AT5G15810"
"1311",1311,"AT2G46140"
"1497",1497,"AT3G11320"
"2371",2371,"AT4G29480"
"1482",1482,"AT3G10340"
"2595",2595,"AT5G04410"
"2871",2871,"AT5G22880"
"1075",1075,"AT2G29510"
"2726",2726,"AT5G13590"
"1187",1187,"AT2G37710"
"1594",1594,"AT3G16857"
"827",827,"AT2G01100"
"1156",1156,"AT2G36060"
"1657",1657,"AT3G21230"
"65",65,"AT1G06150"
"1511",1511,"AT3G12290"
"2673",2673,"AT5G10330"
"2664",2664,"AT5G09670"
"1068",1068,"AT2G28890"
"1439",1439,"AT3G06670"
"614",614,"AT1G63700"
"1161",1161,"AT2G36320"
"1434",1434,"AT3G06390"
"1922",1922,"AT3G56070"
"782",782,"AT1G78580"
"2170",2170,"AT4G14350"
"2692",2692,"AT5G11900"
"3099",3099,"AT5G48830"
"371",371,"AT1G28440"
"3052",3052,"AT5G45350"
"293",293,"AT1G21590"
"2805",2805,"AT5G18500"
"679",679,"AT1G70290"
"3260",3260,"AT5G60710"
"2554",2554,"AT5G01020"
"3250",3250,"AT5G60160"
"1602",1602,"AT3G17420"
"985",985,"AT2G22840"
"1953",1953,"AT3G57890"
"1848",1848,"AT3G50670"
"2238",2238,"AT4G19640"
"1569",1569,"AT3G15210"
"2963",2963,"AT5G37780"
"97",97,"AT1G08490"
"3227",3227,"AT5G58410"
"943",943,"AT2G19940"
"1203",1203,"AT2G39020"
"2870",2870,"AT5G22850"
"2027",2027,"AT4G00340"
"1709",1709,"AT3G25540"
"1242",1242,"AT2G41560"
"2242",2242,"AT4G20070"
"248",248,"AT1G18330"
"1987",1987,"AT3G60820"
"3016",3016,"AT5G42950"
"3341",3341,"AT5G65930"
"1309",1309,"AT2G45980"
"2146",2146,"AT4G12550"
"2363",2363,"AT4G29080"
"2470",2470,"AT4G34920"
"1081",1081,"AT2G30010"
"1115",1115,"AT2G33120"
"23",23,"AT1G03060"
"530",530,"AT1G53570"
"312",312,"AT1G23390"
"1201",1201,"AT2G38860"
"753",753,"AT1G76400"
"1839",1839,"AT3G49870"
"466",466,"AT1G47900"
"3127",3127,"AT5G51550"
"24",24,"AT1G03140"
"2351",2351,"AT4G28540"
"2786",2786,"AT5G17000"
"1570",1570,"AT3G15240"
"2294",2294,"AT4G24570"
"3236",3236,"AT5G59160"
"1653",1653,"AT3G20790"
"2725",2725,"AT5G13580"
"561",561,"AT1G56220"
"708",708,"AT1G72730"
"244",244,"AT1G18160"
"1770",1770,"AT3G43600"
"1571",1571,"AT3G15410"
"2119",2119,"AT4G10080"
"3316",3316,"AT5G64330"
"2680",2680,"AT5G10780"
"2897",2897,"AT5G24710"
"3061",3061,"AT5G46210"
"583",583,"AT1G60200"
"609",609,"AT1G63050"
"3142",3142,"AT5G53130"
"2258",2258,"AT4G21570"
"973",973,"AT2G22240"
"702",702,"AT1G72410"
"1412",1412,"AT3G04910"
"1952",1952,"AT3G57880"
"2342",2342,"AT4G27870"
"2599",2599,"AT5G04560"
"2268",2268,"AT4G22130"
"1342",1342,"AT2G47890"
"47",47,"AT1G04860"
"2236",2236,"AT4G19490"
"3",3,"AT1G01120"
"19",19,"AT1G02730"
"750",750,"AT1G75850"
"2054",2054,"AT4G01900"
"2497",2497,"AT4G36800"
"445",445,"AT1G42440"
"1143",1143,"AT2G35380"
"2094",2094,"AT4G05150"
"1746",1746,"AT3G27770"
"2457",2457,"AT4G34000"
"681",681,"AT1G70330"
"2918",2918,"AT5G26740"
"837",837,"AT2G01680"
"2973",2973,"AT5G38560"
"2682",2682,"AT5G10980"
"2175",2175,"AT4G14465"
"475",475,"AT1G48790"
"1739",1739,"AT3G27280"
"785",785,"AT1G78670"
"1617",1617,"AT3G18280"
"2274",2274,"AT4G22570"
"2364",2364,"AT4G29100"
"1136",1136,"AT2G34770"
"3066",3066,"AT5G46630"
"2439",2439,"AT4G33210"
"773",773,"AT1G77840"
"2588",2588,"AT5G03730"
"470",470,"AT1G48420"
"2556",2556,"AT5G01090"
"3288",3288,"AT5G62710"
"2734",2734,"AT5G13850"
"752",752,"AT1G76200"
"2723",2723,"AT5G13550"
"528",528,"AT1G53500"
"2211",2211,"AT4G17640"
"1321",1321,"AT2G46650"
"1491",1491,"AT3G10770"
"3355",3355,"AT5G66860"
"1181",1181,"AT2G37410"
"1960",1960,"AT3G58550"
"2936",2936,"AT5G28850"
"194",194,"AT1G14740"
"1410",1410,"AT3G04830"
"1338",1338,"AT2G47650"
"1627",1627,"AT3G19050"
"664",664,"AT1G69220"
"1821",1821,"AT3G48050"
"2063",2063,"AT4G02350"
"1302",1302,"AT2G45620"
"2882",2882,"AT5G23820"
"900",900,"AT2G16780"
"1421",1421,"AT3G05545"
"1124",1124,"AT2G33830"
"1460",1460,"AT3G07950"
"309",309,"AT1G23180"
"48",48,"AT1G04870"
"840",840,"AT2G01830"
"2625",2625,"AT5G06460"
"1897",1897,"AT3G54440"
"863",863,"AT2G04390"
"1507",1507,"AT3G12010"
"1247",1247,"AT2G41790"
"834",834,"AT2G01490"
"2548",2548,"AT4G39840"
"1052",1052,"AT2G27810"
"98",98,"AT1G08510"
"2152",2152,"AT4G12790"
"449",449,"AT1G43690"
"2744",2744,"AT5G14520"
"866",866,"AT2G04520"
"1409",1409,"AT3G04740"
"1534",1534,"AT3G13330"
"61",61,"AT1G05960"
"1437",1437,"AT3G06550"
"1476",1476,"AT3G09850"
"2076",2076,"AT4G03080"
"2778",2778,"AT5G16730"
"3273",3273,"AT5G61480"
"2598",2598,"AT5G04550"
"2083",2083,"AT4G03550"
"3289",3289,"AT5G62720"
"855",855,"AT2G03240"
"2143",2143,"AT4G12080"
"3262",3262,"AT5G60980"
"3070",3070,"AT5G46890"
"672",672,"AT1G69530"
"195",195,"AT1G14850"
"1706",1706,"AT3G25470"
"53",53,"AT1G05380"
"1831",1831,"AT3G48890"
"2613",2613,"AT5G05270"
"1360",1360,"AT3G01670"
"1395",1395,"AT3G03790"
"793",793,"AT1G79090"
"2821",2821,"AT5G19290"
"2806",2806,"AT5G18525"
"907",907,"AT2G17190"
"1545",1545,"AT3G13860"
"826",826,"AT1G80930"
"1703",1703,"AT3G25150"
"3218",3218,"AT5G58060"
"1683",1683,"AT3G23660"
"607",607,"AT1G62800"
"1064",1064,"AT2G28540"
"406",406,"AT1G31130"
"1190",1190,"AT2G37990"
"1456",1456,"AT3G07780"
"2513",2513,"AT4G37640"
"2053",2053,"AT4G01870"
"1077",1077,"AT2G29700"
"360",360,"AT1G27760"
"1067",1067,"AT2G28790"
"1580",1580,"AT3G15940"
"2309",2309,"AT4G25730"
"1171",1171,"AT2G37080"
"59",59,"AT1G05910"
"1490",1490,"AT3G10740"
"2743",2743,"AT5G14460"
"694",694,"AT1G71840"
"3134",3134,"AT5G52520"
"511",511,"AT1G52150"
"2981",2981,"AT5G40340"
"1172",1172,"AT2G37110"
"1801",1801,"AT3G46000"
"3304",3304,"AT5G63890"
"2626",2626,"AT5G06630"
"889",889,"AT2G15290"
"797",797,"AT1G79350"
"3130",3130,"AT5G52060"
"857",857,"AT2G03510"
"1216",1216,"AT2G39940"
"549",549,"AT1G55090"
"663",663,"AT1G69070"
"2545",2545,"AT4G39690"
"55",55,"AT1G05520"
"3093",3093,"AT5G48412"
"2525",2525,"AT4G38630"
"311",311,"AT1G23330"
"684",684,"AT1G70620"
"2349",2349,"AT4G28470"
"2295",2295,"AT4G24680"
"1554",1554,"AT3G14220"
"15",15,"AT1G02120"
"665",665,"AT1G69252"
"2995",2995,"AT5G41940"
"3364",3364,"AT5G67330"
"3080",3080,"AT5G47750"
"2616",2616,"AT5G05730"
"2840",2840,"AT5G20160"
"2789",2789,"AT5G17160"
"2730",2730,"AT5G13740"
"2375",2375,"AT4G29720"
"3140",3140,"AT5G52820"
"1605",1605,"AT3G17650"
"1165",1165,"AT2G36570"
"1126",1126,"AT2G33850"
"2702",2702,"AT5G12350"
"1809",1809,"AT3G46590"
"73",73,"AT1G06700"
"2788",2788,"AT5G17050"
"2218",2218,"AT4G18040"
"3203",3203,"AT5G57150"
"3028",3028,"AT5G43745"
"1945",1945,"AT3G57530"
"1514",1514,"AT3G12500"
"124",124,"AT1G09760"
"1705",1705,"AT3G25290"
"1297",1297,"AT2G45160"
"1283",1283,"AT2G44140"
"2611",2611,"AT5G05080"
"1784",1784,"AT3G44750"
"2376",2376,"AT4G29750"
"2569",2569,"AT5G01890"
"1625",1625,"AT3G19000"
"2781",2781,"AT5G16780"
"2701",2701,"AT5G12290"
"3365",3365,"AT5G67380"
"3143",3143,"AT5G53160"
"3017",3017,"AT5G42970"
"2869",2869,"AT5G22830"
"2536",2536,"AT4G39170"
"253",253,"AT1G18590"
"1167",1167,"AT2G36810"
"2807",2807,"AT5G18580"
"683",683,"AT1G70580"
"1243",1243,"AT2G41620"
"2275",2275,"AT4G22930"
"1933",1933,"AT3G56680"
"345",345,"AT1G26880"
"2629",2629,"AT5G06970"
"1864",1864,"AT3G51840"
"2273",2273,"AT4G22540"
"145",145,"AT1G11670"
"3018",3018,"AT5G43010"
"283",283,"AT1G20696"
"3097",3097,"AT5G48760"
"2290",2290,"AT4G24330"
"347",347,"AT1G27020"
"3181",3181,"AT5G55850"
"545",545,"AT1G54710"
"3039",3039,"AT5G44180"
"1518",1518,"AT3G12620"
"1740",1740,"AT3G27325"
"1214",1214,"AT2G39900"
"3154",3154,"AT5G54370"
"2142",2142,"AT4G12040"
"1044",1044,"AT2G27100"
"379",379,"AT1G29310"
"2713",2713,"AT5G13030"
"2283",2283,"AT4G23940"
"2836",2836,"AT5G20060"
"30",30,"AT1G03820"
"2482",2482,"AT4G35890"
"2779",2779,"AT5G16750"
"603",603,"AT1G62200"
"1256",1256,"AT2G42310"
"1071",1071,"AT2G29200"
"1303",1303,"AT2G45670"
"3228",3228,"AT5G58430"
"2596",2596,"AT5G04420"
"67",67,"AT1G06230"
"2270",2270,"AT4G22220"
"1613",1613,"AT3G18110"
"2177",2177,"AT4G14570"
"3212",3212,"AT5G57655"
"1548",1548,"AT3G14010"
"911",911,"AT2G17265"
"1010",1010,"AT2G25070"
"1025",1025,"AT2G25980"
"250",250,"AT1G18460"
"1000",1000,"AT2G24120"
"3009",3009,"AT5G42590"
"1468",1468,"AT3G09070"
"574",574,"AT1G59750"
"2580",2580,"AT5G03380"
"2873",2873,"AT5G23110"
"2893",2893,"AT5G24400"
"66",66,"AT1G06200"
"1072",1072,"AT2G29210"
"968",968,"AT2G21580"
"3157",3157,"AT5G54440"
"1096",1096,"AT2G31570"
"1568",1568,"AT3G15120"
"2579",2579,"AT5G03340"
"935",935,"AT2G18980"
"1463",1463,"AT3G08650"
"1585",1585,"AT3G16480"
"1582",1582,"AT3G16260"
"1087",1087,"AT2G30740"
"419",419,"AT1G32750"
"1151",1151,"AT2G35859"
"162",162,"AT1G12580"
"3170",3170,"AT5G55180"
"3274",3274,"AT5G61510"
"655",655,"AT1G68060"
"1455",1455,"AT3G07680"
"220",220,"AT1G16560"
"1250",1250,"AT2G41960"
"990",990,"AT2G23300"
"320",320,"AT1G24170"
"2078",2078,"AT4G03190"
"1367",1367,"AT3G01850"
"76",76,"AT1G06820"
"3084",3084,"AT5G47890"
"1349",1349,"AT2G48100"
"2155",2155,"AT4G13050"
